layer,expert,relative_popularity
0,0,0.755019100
0,1,0.681660300
0,2,0.776254542
0,3,0.724131184
0,4,0.689382279
0,5,0.727026926
0,6,0.696139011
0,7,0.657529116
1,0,0.718339700
1,1,0.605405758
1,2,0.800385726
1,3,0.571622100
1,4,0.757914842
1,5,0.821621168
1,6,0.700000000
1,7,0.729922668
2,0,0.766602068
2,1,0.779150284
2,2,0.705791484
2,3,0.632432684
2,4,0.779150284
2,5,0.689382279
2,6,0.715443958
2,7,0.642085158
3,0,0.800385726
3,1,0.704826237
3,2,0.644980900
3,3,0.621814963
3,4,0.729922668
3,5,0.678764558
3,6,0.685521289
3,7,0.834169384
4,0,0.669112084
4,1,0.705791484
4,2,0.674903568
4,3,0.700000000
4,4,0.721235442
4,5,0.685521289
4,6,0.736679400
4,7,0.815829684
5,0,0.748262368
5,1,0.815829684
5,2,0.627606447
5,3,0.663320600
5,4,0.745366626
5,5,0.669112084
5,6,0.724131184
5,7,0.711582968
6,0,0.776254542
6,1,0.669112084
6,2,0.769497810
6,3,0.663320600
6,4,0.674903568
6,5,0.674903568
6,6,0.711582968
6,7,0.773358800
7,0,0.642085158
7,1,0.834169384
7,2,0.732818411
7,3,0.715443958
7,4,0.784941768
7,5,0.711582968
7,6,0.689382279
7,7,0.595753284
8,0,0.664285847
8,1,0.696139011
8,2,0.571622100
8,3,0.800385726
8,4,0.732818411
8,5,0.711582968
8,6,0.870848784
8,7,0.657529116
9,0,0.858300568
9,1,0.642085158
9,2,0.674903568
9,3,0.519498742
9,4,0.550386658
9,5,0.994400447
9,6,0.674903568
9,7,0.784941768
10,0,0.760810584
10,1,0.674903568
10,2,0.700000000
10,3,0.806177210
10,4,0.965443026
10,5,0.674903568
10,6,0.519498742
10,7,0.598649026
11,0,0.800385726
11,1,0.797489984
11,2,0.989574210
11,3,0.224133048
11,4,0.657529116
11,5,0.797489984
11,6,0.779150284
11,7,0.657529116
12,0,0.669112084
12,1,0.876640268
12,2,0.708687226
12,3,0.779150284
12,4,0.748262368
12,5,0.729922668
12,6,0.755019100
12,7,0.443244200
13,0,0.818725426
13,1,0.883397000
13,2,0.788802758
13,3,0.653668126
13,4,0.616023479
13,5,0.616023479
13,6,0.678764558
13,7,0.646911395
14,0,0.669112084
14,1,0.721235442
14,2,0.766602068
14,3,0.664285847
14,4,0.689382279
14,5,0.855404826
14,6,0.727026926
14,7,0.620849716
15,0,0.631467437
15,1,0.791698500
15,2,0.678764558
15,3,0.521429237
15,4,0.788802758
15,5,0.794594242
15,6,0.773358800
15,7,0.724131184
16,0,0.708687226
16,1,0.861196310
16,2,0.696139011
16,3,0.601544768
16,4,0.693243268
16,5,0.681660300
16,6,0.669112084
16,7,0.791698500
17,0,0.727026926
17,1,0.605405758
17,2,0.766602068
17,3,0.545560421
17,4,0.685521289
17,5,0.745366626
17,6,0.757914842
17,7,0.876640268
18,0,0.815829684
18,1,0.674903568
18,2,0.748262368
18,3,0.685521289
18,4,0.727026926
18,5,0.663320600
18,6,0.678764558
18,7,0.711582968
19,0,0.700000000
19,1,0.614092984
19,2,0.763706326
19,3,0.681660300
19,4,0.760810584
19,5,0.842856610
19,6,0.752123358
19,7,0.598649026
20,0,0.685521289
20,1,0.748262368
20,2,0.681660300
20,3,0.732818411
20,4,0.711582968
20,5,0.745366626
20,6,0.700000000
20,7,0.700000000
21,0,0.797489984
21,1,0.784941768
21,2,0.672007826
21,3,0.718339700
21,4,0.650772384
21,5,0.711582968
21,6,0.704826237
21,7,0.664285847
22,0,0.674903568
22,1,0.821621168
22,2,0.721235442
22,3,0.715443958
22,4,0.791698500
22,5,0.727026926
22,6,0.623745458
22,7,0.616023479
23,0,0.681660300
23,1,0.696139011
23,2,0.732818411
23,3,0.700000000
23,4,0.831273642
23,5,0.674903568
23,6,0.663320600
23,7,0.729922668
24,0,0.763706326
24,1,0.657529116
24,2,0.776254542
24,3,0.705791484
24,4,0.631467437
24,5,0.708687226
24,6,0.739575142
24,7,0.721235442
25,0,0.669112084
25,1,0.794594242
25,2,0.736679400
25,3,0.755019100
25,4,0.674903568
25,5,0.663320600
25,6,0.696139011
25,7,0.718339700
26,0,0.755019100
26,1,0.696139011
26,2,0.834169384
26,3,0.757914842
26,4,0.605405758
26,5,0.669112084
26,6,0.696139011
26,7,0.700000000
27,0,0.708687226
27,1,0.663320600
27,2,0.752123358
27,3,0.631467437
27,4,0.650772384
27,5,0.791698500
27,6,0.721235442
27,7,0.784941768
28,0,0.952894810
28,1,0.663320600
28,2,0.776254542
28,3,0.711582968
28,4,0.736679400
28,5,0.632432684
28,6,0.620849716
28,7,0.616023479
29,0,0.705791484
29,1,0.718339700
29,2,0.700000000
29,3,0.821621168
29,4,0.696139011
29,5,0.715443958
29,6,0.598649026
29,7,0.752123358
30,0,0.729922668
30,1,0.700000000
30,2,0.776254542
30,3,0.696139011
30,4,0.681660300
30,5,0.545560421
30,6,0.745366626
30,7,0.834169384
31,0,0.727026926
31,1,0.721235442
31,2,0.669112084
31,3,0.595753284
31,4,0.797489984
31,5,0.782046026
31,6,0.664285847
31,7,0.757914842
