category,name,memory_type,capacity_GB,peak_bandwidth_TB_per_s,peak_compute_BF16_dense_TFLOPS,TDP_W,static_power_W,decode_power_frac_TDP_min,decode_power_frac_TDP_max,e_decode_dynamic_pJ_per_bit_min,e_decode_dynamic_pJ_per_bit_max,prefill_power_frac_TDP_min,prefill_power_frac_TDP_max,compute_bound_power_W_min,compute_bound_power_W_max,e_compute_total_equivalent_pJ_per_FLOP_min,e_compute_total_equivalent_pJ_per_FLOP_max,e_compute_dynamic_pJ_per_FLOP_min,e_compute_dynamic_pJ_per_FLOP_max,host_link,host_link_per_direction_GBps,host_link_bidirectional_GBps,host_memory,host_memory_bandwidth_GBps,coherent_unified_memory,notes,provenance_status,source
gpu_energy,A100 SXM 80GB,HBM2e,80,2.039,312.0,400,67.0,0.45,0.6,6.93,10.61,0.75,1.0,300.0,400.0,0.962,1.282,0.746794871794872,1.067307692307692,PCIe Gen5 x16,64.0,128.0,,,,,"MEASURED_REFERENCE (decode/prefill frac, idle), VENDOR_SPEC (platform)",arXiv:2604.10852v1 Fig.8; NVIDIA A100 datasheet; idle floor 65-69 W from ai-gpu-energy-optimizer whitepaper
gpu_energy,H100 SXM,HBM3,80,3.35,989.5,700,69.5,0.45,0.6,9.16,13.08,0.75,1.0,525.0,700.0,0.531,0.707,0.46033350176857,0.637190500252653,PCIe Gen5 x16,64.0,128.0,,,,,"MEASURED_REFERENCE (decode/prefill frac, idle), VENDOR_SPEC (platform)",arXiv:2604.10852v1 Fig.8; NVIDIA H100 datasheet; idle 69-76 W from ai-gpu-energy-optimizer whitepaper
gpu_energy,H200 SXM,HBM3e,141,4.8,989.5,700,74.0,0.45,0.6,6.28,9.01,0.75,1.0,525.0,700.0,0.531,0.707,0.455785750378979,0.632642748863062,PCIe Gen5 x16,64.0,128.0,,,,"decode frac assumed = H100 (same GH100 silicon); idle floor ~74 W, post-load HBM3e ghost +79-136 W; H200 NVL measured idle ~121 W",DERIVED (frac from H100); MEASURED_REFERENCE (idle); VENDOR_SPEC (platform),arXiv:2604.10852v1; NVIDIA H200 datasheet; ai-gpu-energy-optimizer whitepaper; h200-gpu-benchmark-suite
gpu_energy,MI300X,HBM3,192,5.3,1307.4,750,,0.8,0.8,,,0.75,1.0,562.5,750.0,0.43,0.574,,,PCIe Gen5 x16,64.0,128.0,,,,no measured idle anchor found; dynamic split not computed,"MEASURED_REFERENCE (decode/prefill frac), VENDOR_SPEC (platform)",arXiv:2604.10852v1 Fig.8; AMD MI300X datasheet
gpu_energy,"IOM3D baseline GPU+HBM (rev v2, planned)",HBM3e 12Hi x4,145.0,4.8,989.5,700,74.0,0.45,0.6,6.28,9.01,0.75,1.0,525.0,700.0,0.531,0.707,0.455785750378979,0.632642748863062,PCIe Gen5 x16,64.0,128.0,,,,"H200-anchored; 4x 36.24 GB stacks 11.8x12.2 mm; PCIe Gen5 host link; P_static = 74 W (H200 SXM measured idle floor); e_decode_dynamic identical to H200 by construction; board-level value includes HBM dynamic energy (1.397 pJ/bit, booked separately in E4); not yet implemented in configs",PLANNED_REV_V2,H200 datasheet + arXiv:2604.10852v1 frac + measured idle anchors; capacity from tmp/check_capacity_11p8x12p2.py
gpu_energy,"IOM3D-HBM proposed (rev v2, planned)",IGZO M3D 106 slabs,497.9,4.8,989.5,700,74.0,0.45,0.6,6.28,9.01,0.75,1.0,525.0,700.0,0.531,0.707,0.455785750378979,0.632642748863062,PCIe Gen5 x16,64.0,128.0,,,,"same H200 GPU silicon -> GPU-side e_decode_dynamic and P_static identical to baseline; M3D memory energy (0.855 pJ/bit) booked separately in E4, not subtracted here; scenario matched bw capped at 39.2 Tb/s (4.9 TB/s) -> u = 4.9/4.8 clamps at 1; 106-slab capability 42.4 Tb/s held as design margin; not yet implemented in configs",PLANNED_REV_V2,canonical case orthogonal_m3d_igzo slab IO + cap_bits_per_second; M3D read energy 0.855 pJ/bit from case model (E4 memory side)
host_link,PCIe Gen5 x16 to x86 host (MAIN BASELINE),,,,,,,,,,,,,,,,,,,PCIe Gen5 x16,64.0,128.0,DDR5 (EPYC 9654 12ch),460.8,no,"measured pinned H2D 56.2 GB/s -> eta 0.878 vs min(460.8, 64); mainstream DGX H200 deployment","VENDOR_SPEC (link, DDR5); VENDOR_REPORTED_MEASURED (eta)",NVIDIA H100 PCIe PB-11133-001; DGX H200 docs; Tyan HX FT65TB8050; AMD EPYC 9654 spec
host_link,NVLink-C2C to Grace LPDDR5X (ROBUSTNESS SENSITIVITY),,,,,,,,,,,,,,,,,,,NVLink-C2C,450.0,900.0,LPDDR5X up to 480 GB,546.0,"yes (hardware-coherent, EGM)",7x PCIe Gen5; vendor claim >5x lower energy per byte; even at 450 GB/s still ~11x below HBM 4.9 TB/s so capacity story holds,VENDOR_SPEC (NVIDIA whitepaper / dev blog),NVIDIA Grace Hopper Architecture In-Depth; GH200 whitepaper
host_link,H200 NVL (2-GPU PCIe card variant),,,,,,,,,,,,,,,,,,,PCIe Gen5 x16,64.0,128.0,host-dependent,,no,600 W TDP variant; same host link class as main baseline,VENDOR_SPEC,NVIDIA H200 NVL specs (techpowerup/hmc-tech catalogued)
idle_power_anchor,A100 SXM idle floor,,,,,400,67.0,,,,,,,,,,,,,,,,,,,idle floor 65-69 W; post-load ghost power -> 146.66 W (HBM2e clock stays up),MEASURED_REFERENCE,ai-gpu-energy-optimizer whitepaper (72+ HW tests)
