model,H,P,G,B,phase,FLOPs,bytes,AI_FLOP_per_byte
Llama-3.1-8B,20000,128,32,1,Prefill,3134262870016,18672257536.0,167.85666457165985
Llama-3.1-8B,20000,128,32,1,Decode,818249990144,564790558720.0,1.4487671182011645
Llama-3.1-8B,64000,128,32,1,Prefill,6087052886016,24439425536.0,249.06693805259826
Llama-3.1-8B,64000,128,32,1,Decode,1556447494144,749339934720.0,2.0770913467004606
Llama-3.1-8B,126000,128,32,1,Prefill,10247802454016,32565889536.0,314.67902765829734
Llama-3.1-8B,126000,128,32,1,Decode,2596634886144,1009386782720.0,2.5724875048857228
Qwen2.5-32B,20000,128,32,1,Prefill,11356460810240,72752876544.0,156.09638202239
Qwen2.5-32B,20000,128,32,1,Decode,2891867750400,2215972765696.0,1.3050105105834695
Qwen2.5-32B,64000,128,32,1,Prefill,18738435850240,84287212544.0,222.3164734562562
Qwen2.5-32B,64000,128,32,1,Decode,4737361510400,2585071517696.0,1.832584312646899
Qwen2.5-32B,126000,128,32,1,Prefill,29140309770240,100540140544.0,289.83756748865045
Qwen2.5-32B,126000,128,32,1,Decode,7337829990400,3105165213696.0,2.3631045324206648
