model,context,cached_history,batch,prefill_tokens,decode_tokens,policy,feol_frequency_ghz,t_prefill,t_decode,t_e2e,tokens_per_s,e_prefill,e_decode,e_e2e,tokens_per_j,tmax_c,thermal_feasible,source,dominant_bottleneck,baseline_bottleneck_status,ARRAY_service_s,LOCAL_FABRIC_service_s,MAC_service_s,INTER_REGION_NOC_service_s,EXTERNAL_BOUNDARY_service_s,GPU_COMPUTE_service_s,normalized_throughput,normalized_energy_efficiency,noc_service_s,reduction_service_s,miv_service_status,NMP_average_utilization,peak_noc_utilization,peak_external_port_utilization,fabric_region_peak_Bps,local_array_bytes,boundary_bytes,GPU_power_W,event_conservation,energy_conservation,placement_status,elapsed_s,reduction_service_status
Llama-3.1-8B,LC20K,20000,1,128,32,M3D_NMP_CPA,1.0,0.005498659504183582,0.04611752843984707,0.05161618794403065,619.9605448333144,2.24655288189863,14.39922030235573,16.64577318425436,1.9224099503091616,60.79326769503945,True,FROZEN_31c9f324_BASELINE,ARRAY,LARGEST_SERVICE_SUM; STAGE_CLASSIFICATION_NOT_STORED,0.026983780927674814,0.02179240269025319,0.013895008000000037,0.005258336000000005,0.010774501744535455,0.0017088546399999973,1.0,1.0,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,20000,1,128,32,M3D_NMP_CPA,1.25,0.005498659504183582,0.04452199848372753,0.05002065798791111,639.7356869582502,2.24655288189863,14.230413232998282,16.47696611489691,1.9421051045962057,61.73134500017295,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,ARRAY,,0.026983780927674814,0.0174569505902532,0.01111600639999999,0.0042307339036195555,0.010774501744535455,0.0017088546399999973,1.0318974203918938,1.0102450334715947,0.003391873103619557,0.0008388607999999984,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.04515171685110046,0.023553044579717616,0.9846326861936459,79891612117.5868,564790558720.0,36169072640.0,149.9093990068041,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,25.505648599995766,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,1,128,32,M3D_NMP_CPA,1.5,0.005498659504183582,0.04347050118614052,0.0489691606903241,653.4725028751194,2.24655288189863,14.119164818913577,16.365717700812205,1.9553068545482666,62.38720678813155,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,ARRAY,,0.026983780927674814,0.014566649190253193,0.009263338666666659,0.003545665839365941,0.010774501744535455,0.0017088546399999973,1.0540549851455712,1.0171123252008836,0.002846615172699268,0.0006990506666666729,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.03853656721858596,0.02010223577489382,0.9846326861936459,95843963730.42708,564790558720.0,36169072640.0,151.74555285226646,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,27.376892799977213,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,1,128,32,M3D_NMP_CPA,2.0,0.005498659504183582,0.04219903094573141,0.04769769044991499,670.8920221955324,2.24655288189863,13.984643267478292,16.23119614937692,1.971512124276091,63.223929884555275,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,ARRAY,,0.026983780927674814,0.010953779391032434,0.006947504000000018,0.0026893307590488973,0.010774501744535455,0.0017088546399999973,1.0821527721186057,1.0255419890846031,0.0021650427590488974,0.0005242879999999999,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.029773264695455846,0.01553079034513065,0.9846326861936459,127722752398.12575,564790558720.0,36169072640.0,154.08805111728432,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,23.52752360003069,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,1,128,32,M3D_NMP_CPA,2.5,0.005498659504183582,0.041581147990193086,0.047079807494376666,679.6969168538373,2.24655288189863,13.919271250782337,16.165824132680967,1.9794846051373607,63.64901833813866,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,ARRAY,,0.026983780927674814,0.008786115410887373,0.005558003199999995,0.0021755297108586777,0.010774501744535455,0.0017088546399999973,1.0963551189158076,1.0296891174637441,0.0017560993108586779,0.00041943039999999985,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.024172548935595835,0.012609100435013183,0.9846326861936459,159567035072.2432,564790558720.0,36169072640.0,155.27813470370486,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,23.475806600006763,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,1,128,32,M3D_NMP_CPA,3.0,0.005498659504183582,0.041238613958066286,0.046737273462249866,684.6783654559289,2.24655288189863,13.883031150183323,16.12958403208195,1.9839321297035055,63.890161479027995,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,ARRAY,,0.026983780927674814,0.007341056835887372,0.004631669333333329,0.001832995678731861,0.010774501744535455,0.0017088546399999973,1.104390224768279,1.0320026326249767,0.0014834703453985292,0.0003495253333333319,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.020311108087783525,0.010594863401921204,0.9846326861936459,191376867747.04376,564790558720.0,36169072640.0,155.9532429222331,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,21.09405070001958,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,8,128,32,M3D_NMP_CPA,1.0,0.03582014708589715,0.22764626665745763,0.2634664137433548,971.6608518054682,16.616630457154645,86.78591657171286,103.4025470288675,2.475761065426473,70.51417424229146,True,FROZEN_31c9f324_BASELINE,EXTERNAL_BOUNDARY,LARGEST_SERVICE_SUM; STAGE_CLASSIFICATION_NOT_STORED,0.05106215995406897,0.07615314747136637,0.08310403200000012,0.03726473599999995,0.08520672839872499,0.013670837119999979,1.0,1.0,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,20000,8,128,32,M3D_NMP_CPA,1.25,0.03582014708589715,0.2049581802586076,0.24077832734450474,1063.2186161577415,16.616630457154645,84.38551703071452,101.00214748786917,2.5345995740412035,74.45626321305508,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,EXTERNAL_BOUNDARY,,0.05106215995406897,0.06094681832136629,0.0664832255999999,0.029835901274960268,0.08520672839872499,0.013670837119999979,1.0942281086884869,1.0237658267739964,0.025641597274960265,0.004194304000000003,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.07846457913105777,0.04003703720342652,0.9846326861936459,79978119231.31276,1156237492224.0,289352581120.0,205.91522849070245,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,152.44917079998413,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,8,128,32,M3D_NMP_CPA,1.5,0.03582014708589715,0.19109838755377842,0.22691853463967557,1128.1581753844082,16.616630457154645,82.91915096254358,99.53578141969822,2.571939420664832,77.29686445195432,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,EXTERNAL_BOUNDARY,,0.05106215995406897,0.050809265554699626,0.05540268800000009,0.024883344791600343,0.08520672839872499,0.013670837119999979,1.1610616742335027,1.038847995705834,0.021388091458267033,0.003495253333333309,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.07012948303455017,0.03578389937984741,0.9846326861936459,95968493416.56102,1156237492224.0,289352581120.0,215.4826442334271,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,153.01452730002347,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,8,128,32,M3D_NMP_CPA,2.0,0.03582014708589715,0.17562818389773385,0.211448330983631,1210.6976622095822,16.616630457154645,81.28240341573408,97.89903387288872,2.614938982261952,81.01034763268274,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,EXTERNAL_BOUNDARY,,0.05106215995406897,0.03813762746922839,0.04155201600000006,0.01869264918740051,0.08520672839872499,0.013670837119999979,1.2460084812102428,1.0562162151990642,0.016071209187400518,0.0026214399999999922,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.05723012743652041,0.02920153947792247,0.9846326861936459,127943994422.99872,1156237492224.0,289352581120.0,227.94513898518807,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,158.37720310001168,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
Llama-3.1-8B,LC20K,20000,8,128,32,M3D_NMP_CPA,2.5,0.03582014708589715,0.16812783526579334,0.20394798235169048,1255.222027931369,16.616630457154645,80.48886653047477,97.10549698762941,2.636308014906846,83.12086726378072,True,NEW_PHYSICAL_FREQUENCY_EXECUTION,EXTERNAL_BOUNDARY,,0.05106215995406897,0.03053474108641318,0.03324161279999995,0.014978231824880669,0.08520672839872499,0.013670837119999979,1.2918314302763239,1.0648475136483808,0.012881079824880666,0.002097152000000003,INCLUDED_IN_ARRAY_GROUP_SERVICE_NOT_SEPARATELY_ADDITIVE,0.047826575914794674,0.024403217250530584,0.9846326861936459,159912500857.10733,1156237492224.0,289352581120.0,234.81278354122526,PASS,PASS,REBUILT_AT_1GHZ_THEN_FROZEN_NO_OLD_AUDIT_COMPARISON,158.48539210000308,LOCAL_REDUCTION_ONLY; INTER_REGION_REDUCTION_INCLUDED_IN_NOC
