model,context,batch,f_opt_measured_ghz,tps_1ghz,tps_opt,throughput_headroom_ratio,throughput_headroom_percent,tokens_j_1ghz,tokens_j_opt,tokens_j_ratio,tokens_j_change_percent,tmax_opt,first_infeasible_ghz,thermal_limited,dominant_bottleneck,increment_2p5_to_3ghz_percent,bottleneck_3ghz
Llama-3.1-8B,LC20K,1,3.0,619.9605448333144,684.6783654559289,1.104390224768279,10.439022476827908,1.9224099503091616,1.9839321297035055,1.0320026326249767,3.2002632624976712,63.890161479027995,,False,ARRAY,0.7328926288425075,ARRAY
Llama-3.1-8B,LC20K,8,3.0,971.6608518054682,1281.808116876131,1.319192920548739,31.919292054873893,2.475761065426473,2.648514625129512,1.0697779612562412,6.977796125624125,84.35898393098267,,False,EXTERNAL_BOUNDARY,2.1180387495729702,EXTERNAL_BOUNDARY
Llama-3.1-8B,LC64K,1,3.0,519.0979733166365,569.1853153925003,1.0964891882660306,9.648918826603058,1.4702196991119865,1.5100378138613741,1.0270831051804283,2.7083105180428335,66.47971050876737,,False,ARRAY,0.7336262901865842,ARRAY
Llama-3.1-8B,LC64K,8,3.0,723.4521139484348,907.5444807254601,1.2544637899698594,25.446378996985942,1.7730544576522436,1.8714903316257947,1.0555176822396606,5.551768223966058,83.84078989728067,,False,EXTERNAL_BOUNDARY,1.282333759846388,EXTERNAL_BOUNDARY
Llama-3.1-8B,LC126K,1,3.0,420.43465552277945,459.78633007868206,1.0935975996245402,9.359759962454017,1.1193936766098684,1.1470477212416015,1.0247044853026903,2.4704485302690316,69.21740638192222,,False,ARRAY,0.6396928372611965,ARRAY
Llama-3.1-8B,LC126K,8,3.0,553.6432606736527,654.643706263715,1.1824287456640739,18.242874566407387,1.2884341345422872,1.3393106656401381,1.0394871027814896,3.948710278148959,84.3870699564207,,False,EXTERNAL_BOUNDARY,0.9981184639916041,EXTERNAL_BOUNDARY
Llama-3.1-70B,LC20K,1,3.0,107.01372768942711,117.51825360217892,1.098160545750147,9.81605457501471,0.3028422477078621,0.3111700726075287,1.0274988874990125,2.7498887499012525,67.93321604005047,,False,ARRAY,0.9792252085029318,ARRAY
Llama-3.1-70B,LC20K,8,1.5,171.75548429052273,203.54041737160478,1.1850592032759673,18.505920327596726,0.40225143735861923,0.41844264484380317,1.0402514596131798,4.025145961317977,83.77644351867377,2.0,True,EXTERNAL_BOUNDARY,2.107389084330813,EXTERNAL_BOUNDARY
Llama-3.1-70B,LC64K,1,3.0,93.0436773503378,104.43055586677525,1.1223820773287192,12.23820773287192,0.24730827881877707,0.25513137041981504,1.0316329547817953,3.1632954781795286,70.42164275105858,,False,ARRAY,0.7976047270364717,ARRAY
Llama-3.1-70B,LC64K,8,1.5,134.50319808042437,157.29292251578246,1.1694363015943405,16.943630159434054,0.31108422050001755,0.3225186844949183,1.036756811311489,3.675681131148889,84.09904913695715,2.0,True,EXTERNAL_BOUNDARY,1.7693471135967531,EXTERNAL_BOUNDARY
Llama-3.1-70B,LC126K,1,3.0,77.06180788223891,87.54196469931715,1.1359967681149314,13.599676811493143,0.19984407773826207,0.2066311915041495,1.0339620460245842,3.396204602458419,72.3030989851589,,False,ARRAY,0.6430751963505843,ARRAY
Llama-3.1-70B,LC126K,8,1.5,104.25494039559376,120.21801055776079,1.153115719040224,15.311571904022392,0.23941242952698788,0.24739368500289727,1.0333368467613737,3.3336846761373717,84.00099147386328,2.0,True,EXTERNAL_BOUNDARY,1.0680581911561848,EXTERNAL_BOUNDARY
Llama-3.1-405B,LC20K,1,3.0,28.784521354954528,31.098678374942125,1.0803958833100162,8.039588331001625,0.071228703481353,0.0726439498035677,1.0198690451046213,1.9869045104621286,75.85918458717919,,False,ARRAY,0.803804034427813,ARRAY
Llama-3.1-405B,LC20K,8,1.0,47.535201521164566,47.535201521164566,1.0,0.0,0.09973362108849616,0.09973362108849616,1.0,0.0,81.40990520825778,1.25,True,MAC,1.83458165584085,EXTERNAL_BOUNDARY
Llama-3.1-405B,LC64K,1,3.0,26.1911762963579,29.077159992924415,1.1101891592768147,11.018915927681473,0.061814343997138796,0.06338524934747981,1.0254132819142063,2.541328191420633,77.30637730925127,,False,ARRAY,1.1017608132250167,ARRAY
Llama-3.1-405B,LC64K,8,1.0,38.38680858428285,38.38680858428285,1.0,0.0,0.082081963332197,0.082081963332197,1.0,0.0,80.02543567761529,1.25,True,MAC,1.9583337407214518,EXTERNAL_BOUNDARY
Llama-3.1-405B,LC126K,1,3.0,22.20247158017848,25.129818497883104,1.131847794833709,13.184779483370889,0.052586840010648235,0.054168049674373525,1.0300685430690475,3.0068543069047493,77.96314830314395,,False,ARRAY,1.3183649227340943,ARRAY
Llama-3.1-405B,LC126K,8,1.25,30.327172666083793,32.77605247447869,1.0807487013497168,8.074870134971679,0.06636057412982241,0.06752862733232626,1.0176016138772213,1.7601613877221256,83.63922828118586,1.5,True,MAC,2.0778442963351518,EXTERNAL_BOUNDARY
