model,context,batch,f_opt_measured_ghz,tps_1ghz,tps_opt,throughput_headroom_ratio,throughput_headroom_percent,tokens_j_1ghz,tokens_j_opt,tokens_j_ratio,tokens_j_change_percent,tmax_opt,dominant_bottleneck,bottleneck_definition,first_infeasible_ghz,thermal_limited
Llama-3.1-8B,LC20K,1,3.0,619.9605448333144,684.6783654559289,1.104390224768279,10.439022476827908,1.9224099503091616,1.9839321297035055,1.0320026326249767,3.2002632624976712,63.89016147902845,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Llama-3.1-8B,LC20K,8,3.0,971.6608518054682,1281.808116876131,1.319192920548739,31.919292054873893,2.4757610654264726,2.648514625129512,1.0697779612562415,6.977796125624147,84.35898393098506,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Llama-3.1-8B,LC20K,32,1.5,995.4790823560191,1183.2962768161797,1.1886701567004803,18.867015670048026,2.4838342201563903,2.592459254114057,1.0437328035326074,4.3732803532607445,80.01872216352774,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.0,True
Llama-3.1-8B,LC64K,1,3.0,519.0979733166365,569.1853153925003,1.0964891882660306,9.648918826603058,1.4702196991119865,1.5100378138613741,1.0270831051804283,2.7083105180428335,66.47971050876879,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Llama-3.1-8B,LC64K,8,3.0,723.4521139484348,907.5444807254601,1.2544637899698594,25.446378996985942,1.7730544576522436,1.8714903316257947,1.0555176822396606,5.551768223966058,83.84078989728181,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Llama-3.1-8B,LC64K,32,1.5,741.2719490581068,866.2137823882532,1.168550602095362,16.855060209536198,1.783469823683876,1.8514477824909923,1.038115564336661,3.811556433666108,80.99640781730136,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.0,True
Llama-3.1-8B,LC126K,1,3.0,420.43465552277945,459.78633007868206,1.0935975996245402,9.359759962454017,1.1193936766098684,1.1470477212416015,1.0247044853026903,2.4704485302690316,69.21740638192318,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Llama-3.1-8B,LC126K,8,3.0,553.6432606736527,654.643706263715,1.1824287456640739,18.242874566407387,1.2884341345422874,1.3393106656401381,1.0394871027814894,3.948710278148937,84.38706995642303,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Llama-3.1-8B,LC126K,32,1.5,562.10579497794,636.1893168361892,1.1317964029549927,13.179640295499272,1.293695017010922,1.3314486885218548,1.0291828220828758,2.9182822082875814,82.39383047439031,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.0,True
Qwen2.5-32B,LC20K,1,3.0,191.99528749287867,209.2305238594275,1.089769059395211,8.976905939521096,0.5576015663414147,0.5720815895080585,1.0259684047547633,2.5968404754763252,66.59939681283049,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Qwen2.5-32B,LC20K,8,2.0,322.4659375570217,407.90769791723864,1.264963676497175,26.4963676497175,0.792010679379042,0.83760163124691,1.057563556975788,5.756355697578797,84.29531753263137,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.5,True
Qwen2.5-32B,LC20K,32,1.5,331.47240145441157,393.55296648294404,1.1872872817047202,18.72872817047202,0.7875503543753617,0.820067989605869,1.041289595071414,4.128959507141405,83.05702787573324,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.0,True
Qwen2.5-32B,LC64K,1,3.0,169.76763921798036,185.48174178258162,1.0925624143505022,9.256241435050217,0.46285975220076303,0.4744545508520525,1.0250503496926653,2.5050349692665286,68.10313491292123,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Qwen2.5-32B,LC64K,8,1.5,255.2071643711777,295.5998477523116,1.1582740965782061,15.827409657820613,0.6068243631724405,0.6284271228650333,1.0355996907896956,3.5599690789695604,81.28724050540694,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.0,True
Qwen2.5-32B,LC64K,32,1.5,259.9347579142724,304.7119970310441,1.1722633766875434,17.226337668754343,0.6045369555131412,0.62721623298867,1.0375151217286265,3.7515121728626477,83.93002371044793,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.0,True
Qwen2.5-32B,LC126K,1,3.0,142.86668955208566,156.61839929852812,1.0962555357694415,9.625553576944146,0.37324029292495275,0.3825238769551758,1.0248729416576943,2.487294165769427,70.32198057007457,ARRAY,EXISTING_PER_STAGE_BOTTLENECK_TIME,,False
Qwen2.5-32B,LC126K,8,1.5,199.55361401269585,227.93725882752327,1.1422356841556456,14.223568415564557,0.46191375497626325,0.47644326606359305,1.0314550301453491,3.1455030145349117,82.53679099092835,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,2.0,True
Qwen2.5-32B,LC126K,32,1.25,204.07437716338413,221.93460175892412,1.0875182119568148,8.751821195681476,0.46081315307175647,0.469846314618199,1.019602655623495,1.9602655623494947,81.41369461109582,EXTERNAL_BOUNDARY,EXISTING_PER_STAGE_BOTTLENECK_TIME,1.5,True
