model,workload_id,batch_size,GPU_decode_s,NMP_CPA_decode_s,GPU_E2E_tok_s,NMP_CPA_E2E_tok_s,proposed_E2E_tok_s,selected_executor,speedup_vs_M3D_GPU,GPU_E2E_J,NMP_CPA_E2E_J,proposed_E2E_J,tokens_per_J_ratio_vs_M3D_GPU,selector_objective,selector_overhead_status,selector_latency_s,selector_energy_J,placement_policy,CPA_moves,CPA_optimizer_runtime
Llama-3.1-8B,W1,1,1.1576084355063407,0.3363037655869758,219.0496140634491,736.9444145682468,736.9444145682468,NMP_CPA,3.364280817015209,486.2636314205562,107.47028840523195,107.47028840523195,4.524633167327422,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,173,38.086287699785316
Llama-3.1-8B,W1,8,1.3402520031310097,1.556899615600205,1433.3058726305708,1244.59727731527,1433.3058726305708,GPU,1.0,597.6753722919306,644.4116508306446,597.6753722919306,1.0,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,NOT_APPLICABLE_GPU_EXECUTION,0,0
Llama-3.1-8B,W2,1,1.3354701176962986,0.3698597065447979,189.14635140348537,660.0678698260323,660.0678698260323,NMP_CPA,3.4897203405101966,563.337369273166,124.11721190937465,124.11721190937465,4.53875301102068,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,206,57.340156300517265
Llama-3.1-8B,W2,8,2.76314546065067,1.8255678483169295,704.5114411812656,1039.9098735429823,1039.9098735429823,NMP_CPA,1.4760723712298396,1214.2644315766963,762.4104721426248,762.4104721426248,1.5926649435496507,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,956,350.5986246993707
Llama-3.1-8B,W3,1,4.768285191776576,0.9842138231017101,106.07193045560166,490.9661182343417,490.9661182343417,NMP_CPA,4.628614904296896,2008.5507775391475,373.66852019239997,373.66852019239997,5.375220734422465,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,174,45.420574699906865
Llama-3.1-8B,W3,8,22.305050572373172,5.535560910880577,179.8536310364267,682.1454073894262,682.1454073894262,NMP_CPA,3.7927808488407315,9484.294591073845,2530.692321104724,2530.692321104724,3.747707499635381,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,644,219.85577329975786
Llama-3.1-70B,W1,1,10.54436555360572,1.8841393716578139,24.04020140439544,128.73358365436195,128.73358365436195,NMP_CPA,5.354929498669869,4430.741248951089,692.0460495246697,692.0460495246697,6.4023792231663395,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,571,116.93555249963538
Llama-3.1-70B,W1,8,11.000972311153895,8.434794743861845,173.02146108920368,220.9157045179082,220.9157045179082,NMP_CPA,1.2768109986310425,4954.2960869261115,4021.6840992498637,4021.6840992498637,1.2318958835802647,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,1963,607.5521925002686
Llama-3.1-70B,W2,1,10.989019759080614,2.0416233042663663,23.005039400222863,117.39887376028071,117.39887376028071,NMP_CPA,5.103180730007504,4631.279793163899,771.6748795463965,771.6748795463965,6.001594604046517,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,633,146.9589113999391
Llama-3.1-70B,W2,8,14.558205954953044,9.732151038521872,130.69542484391928,188.86079679950387,188.86079679950387,NMP_CPA,1.4450452035719503,6558.574140711024,4586.668522646263,4586.668522646263,1.4299211090421409,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0,0,CRITICAL_PATH_AWARE,2050,634.1019856004277
