model,workload_id,batch_size,comparison_role,Uniform_decode_s,CPA_decode_s,Uniform_E2E_tok_s,CPA_E2E_tok_s,CPA_vs_Uniform_E2E,Uniform_E2E_J,CPA_E2E_J,CPA_moves,CPA_optimizer_runtime,applies_to_selected_execution,checkpoint_reused
Llama-3.1-8B,W1,1,NMP_PLACEMENT_ABLATION_ONLY,0.39954248668419673,0.3363037655869758,623.4488978921207,736.9444145682468,1.1820446183477975,133.51041559460884,107.47028840523195,173,38.086287699785316,True,True
Llama-3.1-8B,W1,8,NMP_PLACEMENT_ABLATION_ONLY,2.109254264876501,1.556899615600205,931.8125907404333,1244.59727731527,1.3356733850594282,817.1705518731954,644.4116508306446,759,253.04574010061333,False,True
Llama-3.1-8B,W2,1,NMP_PLACEMENT_ABLATION_ONLY,0.4178037431398534,0.3698597065447979,587.4484185578935,660.0678698260323,1.123618430102186,146.04055578432036,124.11721190937465,206,57.340156300517265,True,True
Llama-3.1-8B,W2,8,NMP_PLACEMENT_ABLATION_ONLY,2.2482752604222864,1.8255678483169295,856.1483312912848,1039.9098735429823,1.214637505599689,916.8506613625154,762.4104721426248,956,350.5986246993707,True,True
Llama-3.1-8B,W3,1,NMP_PLACEMENT_ABLATION_ONLY,1.0390453256485346,0.9842138231017101,466.4411439780779,490.9661182343417,1.0525789257077554,411.7843971419995,373.66852019239997,174,45.420574699906865,True,True
Llama-3.1-8B,W3,8,NMP_PLACEMENT_ABLATION_ONLY,6.137571242837812,5.535560910880577,619.9865237443508,682.1454073894262,1.1002584431507842,2792.681998903768,2530.692321104724,644,219.85577329975786,True,True
Llama-3.1-70B,W1,1,NMP_PLACEMENT_ABLATION_ONLY,2.269011703940255,1.8841393716578139,107.8587119440782,128.73358365436195,1.1935390413442617,864.0527729281607,692.0460495246697,571,116.93555249963538,True,True
Llama-3.1-70B,W1,8,NMP_PLACEMENT_ABLATION_ONLY,10.920575142944429,8.434794743861845,174.20469506204563,220.9157045179082,1.2681386367871759,4885.326934551386,4021.6840992498637,1963,607.5521925002686,True,True
Llama-3.1-70B,W2,1,NMP_PLACEMENT_ABLATION_ONLY,2.3367961500908994,2.0416233042663663,103.4020493626895,117.39887376028071,1.1353631236891295,916.84001516966,771.6748795463965,633,146.9589113999391,True,True
Llama-3.1-70B,W2,8,NMP_PLACEMENT_ABLATION_ONLY,11.461331083821236,9.732151038521872,162.88684182165932,188.86079679950387,1.1594601177563673,5306.202948495999,4586.668522646263,2050,634.1019856004277,True,True
Llama-3.1-70B,W3,1,NMP_PLACEMENT_ABLATION_ONLY,5.657029918495952,5.2844965241741955,85.34399084063806,90.9944411215353,1.0662079453426108,2315.3369060869395,2080.4773880009284,487,156.00886749988422,True,True
Llama-3.1-70B,W3,8,NMP_PLACEMENT_ABLATION_ONLY,30.750650534411573,28.45465011813046,122.31094677703,131.3139678535463,1.073607647669743,14469.655708104245,13372.59436145122,1503,471.6758110994124,True,True
Llama-3.1-405B,W1,1,NMP_PLACEMENT_ABLATION_ONLY,7.762126884024142,6.453605902715027,30.609878326808534,36.287390390148296,1.185479733134624,3659.0806891740517,2948.0744940552167,898,251.39747160041588,True,True
Llama-3.1-405B,W1,8,NMP_PLACEMENT_ABLATION_ONLY,34.83392223198222,27.50906556807705,51.66053702621205,63.369167390925284,1.2266455410398152,18959.447668885907,16116.064410778128,2240,628.405755500251,True,True
Llama-3.1-405B,W2,1,NMP_PLACEMENT_ABLATION_ONLY,7.946371020608783,6.9426603357321595,29.573926202183625,33.45284436468781,1.1311600676888747,3809.445843658493,3200.2933286126945,1006,277.4228018997528,True,True
Llama-3.1-405B,W2,8,NMP_PLACEMENT_ABLATION_ONLY,36.58826735795104,31.831049830978262,48.453316085281166,54.59837865237294,1.1268243964205886,20284.766515390413,17940.36412096915,1937,598.5024658990442,True,True
Llama-3.1-405B,W3,1,NMP_PLACEMENT_ABLATION_ONLY,19.057828382611195,17.68339027410916,25.08826261682394,26.899923285032198,1.0722114837475185,8876.73702658143,7808.159574540728,778,229.3142729998217,True,True
Llama-3.1-405B,W3,8,NMP_PLACEMENT_ABLATION_ONLY,98.0886878786723,92.00203769886433,37.616060864210034,39.843192235596554,1.059206927047099,50415.43167168349,46796.878182556975,1927,1103.9028204977512,True,True
