model,workload_id,H,P,G,batch_size,system,status,weight_GB,initial_KV_GB,final_KV_GB,workspace_GB,peak_state_GB,capacity_GB,capacity_utilization,capacity_violation_GB,physical_slot_excess_GB,HBM_capacity_GB,Grace_capacity_GB,HBM_only_fit,physical_slot_status,kv_state_fraction
Llama-3.1-8B,W1,2000,512,256,1,HBM_GPU,EVALUATED,16.060522496,0.262144,0.362807296,0.044040192,16.467369984,624.95514624,0.02634968298617078,0.0,0.0,144.95514624,480.0,True,PASS,0.022090970625014653
Llama-3.1-8B,W1,2000,512,256,1,M3D_GPU,EVALUATED,16.060522496,0.262144,0.362807296,0.044040192,16.467369984,1493.84331264,0.011023492119061657,0.0,0.0,144.95514624,480.0,True,PASS,0.022090970625014653
Llama-3.1-8B,W1,2000,512,256,1,M3D_MAC_NMP,EVALUATED,16.060522496,0.262144,0.362807296,0.044040192,16.467369984,1493.84331264,0.011023492119061657,0.0,0.0,144.95514624,480.0,True,PASS,0.022090970625014653
Llama-3.1-8B,W1,2000,512,256,8,HBM_GPU,EVALUATED,16.060522496,2.097152,2.902458368,0.352321536,19.3153024,624.95514624,0.030906701890862406,0.0,0.0,144.95514624,480.0,True,PASS,0.15305918351213077
Llama-3.1-8B,W1,2000,512,256,8,M3D_GPU,EVALUATED,16.060522496,2.097152,2.902458368,0.352321536,19.3153024,1493.84331264,0.01292993865994216,0.0,0.0,144.95514624,480.0,True,PASS,0.15305918351213077
Llama-3.1-8B,W1,2000,512,256,8,M3D_MAC_NMP,EVALUATED,16.060522496,2.097152,2.902458368,0.352321536,19.3153024,1493.84331264,0.01292993865994216,0.0,0.0,144.95514624,480.0,True,PASS,0.15305918351213077
Llama-3.1-8B,W2,20000,512,256,1,HBM_GPU,EVALUATED,16.060522496,2.62144,2.722103296,0.044040192,18.826665984,624.95514624,0.030124827513253315,0.0,0.0,144.95514624,480.0,True,PASS,0.14492666393638173
Llama-3.1-8B,W2,20000,512,256,1,M3D_GPU,EVALUATED,16.060522496,2.62144,2.722103296,0.044040192,18.826665984,1493.84331264,0.012602838480247642,0.0,0.0,144.95514624,480.0,True,PASS,0.14492666393638173
Llama-3.1-8B,W2,20000,512,256,1,M3D_MAC_NMP,EVALUATED,16.060522496,2.62144,2.722103296,0.044040192,18.826665984,1493.84331264,0.012602838480247642,0.0,0.0,144.95514624,480.0,True,PASS,0.14492666393638173
Llama-3.1-8B,W2,20000,512,256,8,HBM_GPU,EVALUATED,16.060522496,20.97152,21.776826368,0.352321536,38.1896704,624.95514624,0.06110785810752267,0.0,0.0,144.95514624,480.0,True,PASS,0.5755378487608407
Llama-3.1-8B,W2,20000,512,256,8,M3D_GPU,EVALUATED,16.060522496,20.97152,21.776826368,0.352321536,38.1896704,1493.84331264,0.02556470954943003,0.0,0.0,144.95514624,480.0,True,PASS,0.5755378487608407
Llama-3.1-8B,W2,20000,512,256,8,M3D_MAC_NMP,EVALUATED,16.060522496,20.97152,21.776826368,0.352321536,38.1896704,1493.84331264,0.02556470954943003,0.0,0.0,144.95514624,480.0,True,PASS,0.5755378487608407
Llama-3.1-8B,W3,126000,512,512,1,HBM_GPU,EVALUATED,16.060522496,16.515072,16.649289728,0.044040192,32.753852416,624.95514624,0.052409925117124515,0.0,0.0,144.95514624,480.0,True,PASS,0.5089998564951713
Llama-3.1-8B,W3,126000,512,512,1,M3D_GPU,EVALUATED,16.060522496,16.515072,16.649289728,0.044040192,32.753852416,1493.84331264,0.021925895533257526,0.0,0.0,144.95514624,480.0,True,PASS,0.5089998564951713
Llama-3.1-8B,W3,126000,512,512,1,M3D_MAC_NMP,EVALUATED,16.060522496,16.515072,16.649289728,0.044040192,32.753852416,1493.84331264,0.021925895533257526,0.0,0.0,144.95514624,480.0,True,PASS,0.5089998564951713
Llama-3.1-8B,W3,126000,512,512,8,HBM_GPU,EVALUATED,16.060522496,132.120576,133.194317824,0.352321536,149.607161856,624.95514624,0.23938863893849227,0.0,0.0,144.95514624,480.0,False,PASS,0.8923952987952251
Llama-3.1-8B,W3,126000,512,512,8,M3D_GPU,EVALUATED,16.060522496,132.120576,133.194317824,0.352321536,149.607161856,1493.84331264,0.10014916597350909,0.0,0.0,144.95514624,480.0,False,PASS,0.8923952987952251
Llama-3.1-8B,W3,126000,512,512,8,M3D_MAC_NMP,EVALUATED,16.060522496,132.120576,133.194317824,0.352321536,149.607161856,1493.84331264,0.10014916597350909,0.0,0.0,144.95514624,480.0,False,PASS,0.8923952987952251
Llama-3.1-70B,W1,2000,512,256,1,HBM_GPU,EVALUATED,141.107412992,0.65536,0.90701824,0.088080384,142.102511616,624.95514624,0.22738033676648647,0.0,0.0,144.95514624,480.0,True,PASS,0.0063868033138002826
Llama-3.1-70B,W1,2000,512,256,1,M3D_GPU,EVALUATED,141.107412992,0.65536,0.90701824,0.088080384,142.102511616,1493.84331264,0.09512544616534703,0.0,0.0,144.95514624,480.0,True,PASS,0.0063868033138002826
Llama-3.1-70B,W1,2000,512,256,1,M3D_MAC_NMP,EVALUATED,141.107412992,0.65536,0.90701824,0.088080384,142.102511616,1493.84331264,0.09512544616534703,0.0,0.0,144.95514624,480.0,True,PASS,0.0063868033138002826
Llama-3.1-70B,W1,2000,512,256,8,HBM_GPU,EVALUATED,141.107412992,5.24288,7.25614592,0.704643072,149.068201984,624.95514624,0.23852624125244615,0.0,0.0,144.95514624,480.0,False,PASS,0.04890787180633684
Llama-3.1-70B,W1,2000,512,256,8,M3D_GPU,EVALUATED,141.107412992,5.24288,7.25614592,0.704643072,149.068201984,1493.84331264,0.09978837855528414,0.0,0.0,144.95514624,480.0,False,PASS,0.04890787180633684
Llama-3.1-70B,W1,2000,512,256,8,M3D_MAC_NMP,EVALUATED,141.107412992,5.24288,7.25614592,0.704643072,149.068201984,1493.84331264,0.09978837855528414,0.0,0.0,144.95514624,480.0,False,PASS,0.04890787180633684
Llama-3.1-70B,W2,20000,512,256,1,HBM_GPU,EVALUATED,141.107412992,6.5536,6.80525824,0.088080384,148.000751616,624.95514624,0.2368181980841928,0.0,0.0,144.95514624,480.0,False,PASS,0.046008622407515035
Llama-3.1-70B,W2,20000,512,256,1,M3D_GPU,EVALUATED,141.107412992,6.5536,6.80525824,0.088080384,148.000751616,1493.84331264,0.09907381206831199,0.0,0.0,144.95514624,480.0,False,PASS,0.046008622407515035
Llama-3.1-70B,W2,20000,512,256,1,M3D_MAC_NMP,EVALUATED,141.107412992,6.5536,6.80525824,0.088080384,148.000751616,1493.84331264,0.09907381206831199,0.0,0.0,144.95514624,480.0,False,PASS,0.046008622407515035
Llama-3.1-70B,W2,20000,512,256,8,HBM_GPU,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,624.95514624,0.3140291317940968,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982
Llama-3.1-70B,W2,20000,512,256,8,M3D_GPU,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,1493.84331264,0.13137530577900383,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982
Llama-3.1-70B,W2,20000,512,256,8,M3D_MAC_NMP,EVALUATED,141.107412992,52.4288,54.44206592,0.704643072,196.254121984,1493.84331264,0.13137530577900383,0.0,0.0,144.95514624,480.0,False,PASS,0.2784055791040982
Llama-3.1-70B,W3,126000,512,512,1,HBM_GPU,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,624.95514624,0.2925309420938708,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252
Llama-3.1-70B,W3,126000,512,512,1,M3D_GPU,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,1493.84331264,0.12238145470083671,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252
Llama-3.1-70B,W3,126000,512,512,1,M3D_MAC_NMP,EVALUATED,141.107412992,41.28768,41.62322432,0.088080384,182.818717696,1493.84331264,0.12238145470083671,0.0,0.0,144.95514624,480.0,False,PASS,0.22778459557896252
Llama-3.1-70B,W3,126000,512,512,8,HBM_GPU,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,624.95514624,0.7597310838715208,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443
Llama-3.1-70B,W3,126000,512,512,8,M3D_GPU,EVALUATED,141.107412992,330.30144,332.98579456,0.704643072,474.797850624,1493.84331264,0.3178364468392015,0.0,0.0,144.95514624,480.0,False,PASS,0.7023635632313443
