model,workload_id,batch_size,system,status,speedup_vs_M3D_GPU,speedup_vs_HBM_GPU,HBM_normalization_status,energy_efficiency_vs_M3D_GPU
Llama-3.1-8B,W1,1,HBM_GPU,EVALUATED,0.9712907325444956,1.0,AVAILABLE,
Llama-3.1-8B,W1,1,M3D_GPU,EVALUATED,1.0,1.0295578517261197,AVAILABLE,1.0
Llama-3.1-8B,W1,1,M3D_MAC_NMP,EVALUATED,3.364280817015209,3.4637217305695733,AVAILABLE,4.524633167327422
Llama-3.1-8B,W1,8,HBM_GPU,EVALUATED,0.9727720384898929,1.0,AVAILABLE,
Llama-3.1-8B,W1,8,M3D_GPU,EVALUATED,1.0,1.0279900741723365,AVAILABLE,1.0
Llama-3.1-8B,W1,8,M3D_MAC_NMP,EVALUATED,1.0,1.0279900741723365,AVAILABLE,1.0
Llama-3.1-8B,W2,1,HBM_GPU,EVALUATED,0.9713978952921056,1.0,AVAILABLE,
Llama-3.1-8B,W2,1,M3D_GPU,EVALUATED,1.0,1.0294442728839694,AVAILABLE,1.0
Llama-3.1-8B,W2,1,M3D_MAC_NMP,EVALUATED,3.4897203405101966,3.592472618504918,AVAILABLE,4.53875301102068
Llama-3.1-8B,W2,8,HBM_GPU,EVALUATED,0.9724181397136993,1.0,AVAILABLE,
Llama-3.1-8B,W2,8,M3D_GPU,EVALUATED,1.0,1.0283641976222506,AVAILABLE,1.0
Llama-3.1-8B,W2,8,M3D_MAC_NMP,EVALUATED,1.4760723712298396,1.5179399796721469,AVAILABLE,1.5926649435496507
Llama-3.1-8B,W3,1,HBM_GPU,EVALUATED,0.9713658547183941,1.0,AVAILABLE,
Llama-3.1-8B,W3,1,M3D_GPU,EVALUATED,1.0,1.029478229178549,AVAILABLE,1.0
Llama-3.1-8B,W3,1,M3D_MAC_NMP,EVALUATED,4.628614904296896,4.765058275225007,AVAILABLE,5.375220734422465
Llama-3.1-8B,W3,8,HBM_GPU,EVALUATED,0.9935401526617978,1.0,AVAILABLE,
Llama-3.1-8B,W3,8,M3D_GPU,EVALUATED,1.0,1.006501848285543,AVAILABLE,1.0
Llama-3.1-8B,W3,8,M3D_MAC_NMP,EVALUATED,3.7927808488407315,3.8174409345002065,AVAILABLE,3.747707499635381
Llama-3.1-70B,W1,1,HBM_GPU,EVALUATED,0.9713000809714021,1.0,AVAILABLE,
Llama-3.1-70B,W1,1,M3D_GPU,EVALUATED,1.0,1.0295479425883451,AVAILABLE,1.0
Llama-3.1-70B,W1,1,M3D_MAC_NMP,EVALUATED,5.354929498669869,5.5131566480612015,AVAILABLE,6.4023792231663395
Llama-3.1-70B,W1,8,HBM_GPU,EVALUATED,0.9835282225863703,1.0,AVAILABLE,
Llama-3.1-70B,W1,8,M3D_GPU,EVALUATED,1.0,1.016747640825511,AVAILABLE,1.0
Llama-3.1-70B,W1,8,M3D_MAC_NMP,EVALUATED,1.2768109986310425,1.298194570638177,AVAILABLE,1.2318958835802647
Llama-3.1-70B,W2,1,HBM_GPU,EVALUATED,0.9773356714296234,1.0,AVAILABLE,
Llama-3.1-70B,W2,1,M3D_GPU,EVALUATED,1.0,1.0231899123637058,AVAILABLE,1.0
Llama-3.1-70B,W2,1,M3D_MAC_NMP,EVALUATED,5.103180730007504,5.221523043912531,AVAILABLE,6.001594604046517
Llama-3.1-70B,W2,8,HBM_GPU,EVALUATED,0.5029616289015981,1.0,AVAILABLE,
Llama-3.1-70B,W2,8,M3D_GPU,EVALUATED,1.0,1.9882232411722305,AVAILABLE,1.0
Llama-3.1-70B,W2,8,M3D_MAC_NMP,EVALUATED,1.4450452035719503,2.8730724582862086,AVAILABLE,1.4299211090421409
Llama-3.1-70B,W3,1,HBM_GPU,EVALUATED,0.6233978342207607,1.0,AVAILABLE,
Llama-3.1-70B,W3,1,M3D_GPU,EVALUATED,1.0,1.6041120855833373,AVAILABLE,1.0
Llama-3.1-70B,W3,1,M3D_MAC_NMP,EVALUATED,4.898703994998533,7.858070282072522,AVAILABLE,5.513108845869078
Llama-3.1-70B,W3,8,HBM_GPU,EVALUATED,0.18224487015061344,1.0,AVAILABLE,
Llama-3.1-70B,W3,8,M3D_GPU,EVALUATED,1.0,5.487122897745026,AVAILABLE,1.0
Llama-3.1-70B,W3,8,M3D_MAC_NMP,EVALUATED,2.365994221254882,12.982501067380076,AVAILABLE,2.301936658901578
Llama-3.1-405B,W1,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,SYSTEM_CAPACITY_INFEASIBLE,
Llama-3.1-405B,W1,1,M3D_GPU,EVALUATED,1.0,,SYSTEM_CAPACITY_INFEASIBLE,1.0
Llama-3.1-405B,W1,1,M3D_MAC_NMP,EVALUATED,8.728690769568862,,SYSTEM_CAPACITY_INFEASIBLE,8.6908090400992
Llama-3.1-405B,W1,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,SYSTEM_CAPACITY_INFEASIBLE,
Llama-3.1-405B,W1,8,M3D_GPU,EVALUATED,1.0,,SYSTEM_CAPACITY_INFEASIBLE,1.0
Llama-3.1-405B,W1,8,M3D_MAC_NMP,EVALUATED,2.057844510126486,,SYSTEM_CAPACITY_INFEASIBLE,1.7273346581667057
Llama-3.1-405B,W2,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,SYSTEM_CAPACITY_INFEASIBLE,
Llama-3.1-405B,W2,1,M3D_GPU,EVALUATED,1.0,,SYSTEM_CAPACITY_INFEASIBLE,1.0
Llama-3.1-405B,W2,1,M3D_MAC_NMP,EVALUATED,8.152581869776087,,SYSTEM_CAPACITY_INFEASIBLE,8.112294693641237
Llama-3.1-405B,W2,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,SYSTEM_CAPACITY_INFEASIBLE,
Llama-3.1-405B,W2,8,M3D_GPU,EVALUATED,1.0,,SYSTEM_CAPACITY_INFEASIBLE,1.0
Llama-3.1-405B,W2,8,M3D_MAC_NMP,EVALUATED,1.945572098366771,,SYSTEM_CAPACITY_INFEASIBLE,1.703556824786865
Llama-3.1-405B,W3,1,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,SYSTEM_CAPACITY_INFEASIBLE,
Llama-3.1-405B,W3,1,M3D_GPU,EVALUATED,1.0,,SYSTEM_CAPACITY_INFEASIBLE,1.0
Llama-3.1-405B,W3,1,M3D_MAC_NMP,EVALUATED,6.985831523572644,,SYSTEM_CAPACITY_INFEASIBLE,7.084619982030886
Llama-3.1-405B,W3,8,HBM_GPU,SYSTEM_CAPACITY_INFEASIBLE,,,SYSTEM_CAPACITY_INFEASIBLE,
Llama-3.1-405B,W3,8,M3D_GPU,EVALUATED,1.0,,SYSTEM_CAPACITY_INFEASIBLE,1.0
Llama-3.1-405B,W3,8,M3D_MAC_NMP,EVALUATED,2.057009541889403,,SYSTEM_CAPACITY_INFEASIBLE,1.887314150957915
