model,workload_id,H,P,G,batch_size,system,status,weight_GB,initial_KV_GB,final_KV_GB,workspace_GB,peak_state_GB,capacity_GB,capacity_utilization,capacity_violation_GB,physical_slot_excess_GB,HBM_capacity_GB,Grace_capacity_GB,HBM_only_fit,physical_slot_status,kv_state_fraction,prefill_s,decode_s,decode_generated_tokens,decode_tok_s,first_step_ms,last_step_ms,mean_TPOT_ms,E2E_s,E2E_generated_tokens,E2E_tok_s,TTFT,prefill_host_GB,HBM_resident_GB,Grace_resident_GB,residency_policy,effective_bandwidth_TBps,placement_policy,energy_status,E2E_J_per_token,E2E_tokens_per_J,optimizer_runtime_s,accepted_moves,moved_fraction,resident_moved_fraction,selected_executor,CPA_moves,CPA_optimizer_runtime,NMP_MAC_status,NMP_Fabric_status,NMP_NoC_status,NMP_reduction_status,NMP_background_status,selector_objective,selector_overhead_status,selector_latency_s,selector_energy_J
Llama-3.1-8B,W1,2000,512,256,1,HBM_GPU,EVALUATED,16.060522496,0.262144,0.362807296,0.044040192,16.467369984,624.95514624,0.02634968298617078,0.0,0.0,144.95514624,480.0,True,PASS,0.022090970625014653,0.011076572657371428,1.1921522536921827,256,214.7376723125333,4.65177658292004,4.661912899050139,4.656844740985089,1.203228826349554,256,212.76086010727653,0.01572834924029147,0.0,16.423329792,0.0,HBM_LOCAL,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W1,2000,512,256,1,M3D_GPU,EVALUATED,16.060522496,0.262144,0.362807296,0.044040192,16.467369984,1493.84331264,0.011023492119061657,0.0,0.0,144.95514624,480.0,True,PASS,0.022090970625014653,0.011076572657371428,1.1576084355063407,256,221.14558960346983,4.516986648141257,4.52682925425203,4.521907951196644,1.1686850081637121,256,219.0496140634491,0.015593559305512684,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,1.8994673102365476,0.5264633903467738,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-8B,W1,2000,512,256,1,M3D_MAC_NMP,EVALUATED,16.060522496,0.262144,0.362807296,0.044040192,16.467369984,1493.84331264,0.011023492119061657,0.0,0.0,144.95514624,480.0,True,PASS,0.022090970625014653,0.011076572657371428,0.3363037655869758,256,761.2165732167296,1.3134241841063574,1.3139489850084318,1.313686584324124,0.3473803382443472,256,736.9444145682468,0.012389996841477785,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.4198058140829373,2.382053717346656,38.086287699785316,173,0.5984977524407401,0.0,NMP_CPA,173,38.086287699785316,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-8B,W1,2000,512,256,8,HBM_GPU,EVALUATED,16.060522496,2.097152,2.902458368,0.352321536,19.3153024,624.95514624,0.030906701890862406,0.0,0.0,144.95514624,480.0,True,PASS,0.15305918351213077,0.08861258125897142,1.3802460288303102,2048,1483.793437707318,5.351040785598005,5.432131314638798,5.391586050118399,1.4688586100892818,2048,1394.279875498375,0.09396362204456943,0.0,18.962980864,0.0,HBM_LOCAL,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W1,2000,512,256,8,M3D_GPU,EVALUATED,16.060522496,2.097152,2.902458368,0.352321536,19.3153024,1493.84331264,0.01292993865994216,0.0,0.0,144.95514624,480.0,True,PASS,0.15305918351213077,0.08861258125897142,1.3402520031310097,2048,1528.0708368393373,5.195988962787417,5.274729811673596,5.235359387230506,1.4288645843899812,2048,1433.3058726305708,0.09380857022175884,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.2918336778769192,3.426609318276658,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-8B,W1,2000,512,256,8,M3D_MAC_NMP,EVALUATED,16.060522496,2.097152,2.902458368,0.352321536,19.3153024,1493.84331264,0.01292993865994216,0.0,0.0,144.95514624,480.0,True,PASS,0.15305918351213077,0.08861258125897142,1.3402520031310097,2048,1528.0708368393373,5.195988962787417,5.274729811673596,5.235359387230506,1.4288645843899812,2048,1433.3058726305708,0.09380857022175884,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.2918336778769192,3.426609318276658,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-8B,W2,20000,512,256,1,HBM_GPU,EVALUATED,16.060522496,2.62144,2.722103296,0.044040192,18.826665984,624.95514624,0.030124827513253315,0.0,0.0,144.95514624,480.0,True,PASS,0.14492666393638173,0.0179791986688,1.3753214487019747,256,186.1383026067195,5.3672812509270384,5.377417567057138,5.372349408992089,1.3933006473707747,256,183.7363676555267,0.023346479919727037,0.0,18.782625792,0.0,HBM_LOCAL,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,W2,20000,512,256,1,M3D_GPU,EVALUATED,16.060522496,2.62144,2.722103296,0.044040192,18.826665984,1493.84331264,0.012602838480247642,0.0,0.0,144.95514624,480.0,True,PASS,0.14492666393638173,0.0179791986688,1.3354701176962986,256,191.69279537426337,5.21175884419578,5.221601450306552,5.216680147251166,1.3534493163650987,256,189.14635140348537,0.02319095751299578,0,,,,3.3957835581187483,NOT_APPLICABLE_GPU_EXECUTION,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,2.2005365987233048,0.45443461407557345,0,0,0,0,GPU,0,0,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,,,,
Llama-3.1-8B,W2,20000,512,256,1,M3D_MAC_NMP,EVALUATED,16.060522496,2.62144,2.722103296,0.044040192,18.826665984,1493.84331264,0.012602838480247642,0.0,0.0,144.95514624,480.0,True,PASS,0.14492666393638173,0.0179791986688,0.3698597065447979,256,692.1543370904961,1.4441895282423804,1.4452220270054945,1.4447644786906166,0.3878389052135979,256,660.0678698260323,0.01942338819704238,0,,,,3.4,CRITICAL_PATH_AWARE,MODELED_EVENT_ENERGY__WORKLOAD_THERMAL_CLOSURE_PENDING,0.4848328590209947,2.06256647294753,57.340156300517265,206,0.6401255006976272,0.0001494874057510349,NMP_CPA,206,57.340156300517265,,,,,,MINIMUM_DECODE_LATENCY,PRE_DISPATCH_NOT_IN_INFERENCE_CRITICAL_PATH,0.0,0.0
Llama-3.1-8B,W2,20000,512,256,8,HBM_GPU,EVALUATED,16.060522496,20.97152,21.776826368,0.352321536,38.1896704,624.95514624,0.06110785810752267,0.0,0.0,144.95514624,480.0,True,PASS,0.5755378487608407,0.1438335893504,2.8455995889086427,2048,719.7077227528903,11.07507812965399,11.156168658694783,11.115623394174385,2.9894331782590426,2048,685.0797050405035,0.154908667480054,0.0,37.837348864,0.0,HBM_LOCAL,3.2973872924850354,NOT_APPLICABLE_GPU_EXECUTION,ENERGY_INCOMPLETE_HBM_WRITE_UNRESOLVED,,,,,,,,,,,,,,,,,,
