model,workload_id,batch_size,system,status,HBM_read_GB,HBM_write_GB,Grace_weight_read_GB,Grace_KV_read_GB,Grace_KV_write_GB,migration_GB,total_C2C_GB,C2C_GB_per_generated_token,host_critical_path_fraction,prefill_HBM_read_GB,prefill_HBM_write_GB,prefill_Grace_read_GB,prefill_Grace_write_GB,local_array_GB_per_token,GPU_memory_boundary_GB_per_token,external_realized_TBps,NoC_GB_per_token,NMP_FLOPs_per_token,router_bit_traversals_per_token,fabric_wire_bit_um_per_token,prefill_boundary_GB
Llama-3.1-8B,W1,1,HBM_GPU,EVALUATED,3930.9541376,0.03355443199999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.892909056,1.543760384,0.0,0.0,,,,,,,,
Llama-3.1-8B,W1,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,15.355420672,15.355420672,3.3957835581187483,0.0,0.0,0.0,0.0,19.43666944
Llama-3.1-8B,W1,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,15.355420672,1.058587136,3.3540057028358445,1.698086912,16393175040.0,188966703104.0,472536415149445.5,19.43666944
Llama-3.1-8B,W1,8,HBM_GPU,EVALUATED,4550.937280512,0.2684354559999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0780544,12.350083072,0.0,0.0,,,,,,,,
Llama-3.1-8B,W1,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,2.222268416,2.222268416,3.3957835581187483,0.0,0.0,0.0,0.0,50.428137472
Llama-3.1-8B,W1,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,2.222268416,2.222268416,3.3957835581187483,0.0,0.0,0.0,0.0,50.428137472
Llama-3.1-8B,W2,1,HBM_GPU,EVALUATED,4534.933913600001,0.03355443199999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.252205056,1.543760384,0.0,0.0,,,,,,,,
Llama-3.1-8B,W2,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,17.714716672,17.714716672,3.3957835581187483,0.0,0.0,0.0,0.0,21.79596544
Llama-3.1-8B,W2,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,17.714716672,1.132315136,3.356995219495683,1.698988032,25830359040.0,225884180480.0,546722691579837.75,21.79596544
Llama-3.1-8B,W2,8,HBM_GPU,EVALUATED,9382.775488512,0.2684354559999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9524224,12.350083072,0.0,0.0,,,,,,,,
Llama-3.1-8B,W2,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,4.581564416,4.581564416,3.3957835581187483,0.0,0.0,0.0,0.0,69.302505472
Llama-3.1-8B,W2,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,4.581564416,1.132315136,3.3958958564824195,1.71966464,25830359040.0,128273747968.0,259818742216200.44,69.302505472
Llama-3.1-8B,W3,1,HBM_GPU,EVALUATED,16191.997345791995,0.06710886400000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.145837056,1.543760384,0.0,0.0,,,,,,,,
Llama-3.1-8B,W3,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,31.625125888,31.625125888,3.3957835581187483,0.0,0.0,0.0,0.0,35.68959744
Llama-3.1-8B,W3,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,31.625125888,1.567015424,3.368808098917074,1.740193792,81471995904.0,359992332288.0,847069488374149.1,35.68959744
Llama-3.1-8B,W3,8,HBM_GPU,EVALUATED,74036.64624844804,0.0,0.03355443200000023,1705.9073228800003,0.5368709120000037,0.0,1709.541687296,0.417368576,0.0,165.037539328,12.350083072,3.063939072,0.0,,,,,,,,
Llama-3.1-8B,W3,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,18.491973632,18.491973632,3.3957835581187483,0.0,0.0,0.0,0.0,180.451561472
Llama-3.1-8B,W3,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,18.491973632,1.567015424,3.397017741239857,1.717895168,81471995904.0,265040629760.0,586349973992775.9,180.451561472
Llama-3.1-70B,W1,1,HBM_GPU,EVALUATED,35806.299291648,0.08388607999999953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.585650176,7.550003712,0.0,0.0,,,,,,,,
Llama-3.1-70B,W1,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,139.868684288,139.868684288,3.3957835581187483,0.0,0.0,0.0,0.0,160.135653888
Llama-3.1-70B,W1,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,139.868684288,5.283414528,3.379806934222704,10.782081024,145922719744.0,1510842961920.0,3904160546893301.0,160.135653888
Llama-3.1-70B,W1,8,HBM_GPU,EVALUATED,36928.12881100803,0.0,0.03355443199999996,428.087443456,0.6710886399999962,0.0,430.130069504,0.210024448,0.0,246.323216384,60.400029696,1.337982976,0.0,,,,,,,,
Llama-3.1-70B,W1,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,18.240684032,18.240684032,3.3957835581187483,0.0,0.0,0.0,0.0,308.061229056
Llama-3.1-70B,W1,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,18.240684032,5.283414528,3.3981363087789007,10.805542912,145922719744.0,722305802688.0,1509610335871923.2,308.061229056
Llama-3.1-70B,W2,1,HBM_GPU,EVALUATED,37085.96885913609,0.0,0.004194303999999995,230.275678208,0.08388607999999953,0.0,231.22149376,0.90320896,0.0,157.626155008,7.550003712,0.857735168,0.0,,,,,,,,
Llama-3.1-70B,W2,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,145.766924288,145.766924288,3.3957835581187483,0.0,0.0,0.0,0.0,166.033893888
Llama-3.1-70B,W2,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,145.766924288,5.652054528,3.3811115896805997,10.90797568,193108639744.0,1661579431936.0,4243547559245554.5,166.033893888
Llama-3.1-70B,W2,8,HBM_GPU,EVALUATED,36928.12881100803,0.0,0.03355443199999996,12507.682963456002,0.6710886399999962,0.0,12556.911509504,6.131304448,1.0,246.323216384,60.400029696,48.523902976,0.0,,,,,,,,
Llama-3.1-70B,W2,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,24.138924032,24.138924032,3.3957835581187483,0.0,0.0,0.0,0.0,355.247149056
Llama-3.1-70B,W2,8,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,24.138924032,5.652054528,3.3982494219214567,10.817552384,193108639744.0,828010270720.0,1760187163221690.0,355.247149056
Llama-3.1-70B,W3,1,HBM_GPU,EVALUATED,74171.9377182722,0.0,0.008388608000000058,18265.875152895995,0.16777215999999873,0.0,18301.643128832,35.745396736,1.0,157.626155008,7.550003712,35.591815168,0.0,,,,,,,,
Llama-3.1-70B,W3,1,M3D_GPU,EVALUATED,,,,,,,,,,,,,,180.542947328,180.542947328,3.3957835581187483,0.0,0.0,0.0,0.0,200.767973888
Llama-3.1-70B,W3,1,M3D_MAC_NMP,EVALUATED,,,,,,,,,,,,,,180.542947328,7.825555968,3.3863348701666425,10.761306112,471316824064.0,2068727861248.0,5393505428399782.0,200.767973888
Llama-3.1-70B,W3,8,HBM_GPU,EVALUATED,73856.25762201581,0.0,0.06710886400000046,167457.95629875205,1.3421772799999898,0.0,167785.762127872,40.963320832,1.0,246.323216384,60.400029696,326.396542976,0.0,,,,,,,,
Llama-3.1-70B,W3,8,M3D_GPU,EVALUATED,,,,,,,,,,,,,,58.914947072,58.914947072,3.3957835581187483,0.0,0.0,0.0,0.0,633.119789056
