model,context_label,H,P,G,B,path,status,workspace_GB,peak_state_GB,external_capacity_mode,external_resident_required_GB,local_capacity_GB
Llama-3.1-8B,LC20K,20000,512,256,1,HBM_GPU,EVALUATED,0.044040192,18.826665984,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,0.0,144.95514624
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_GPU,EVALUATED,0.044040192,18.826665984,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,EVALUATED,0.044040192,18.826665984,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_CPA,EVALUATED,0.044040192,18.826665984,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC20K,20000,512,256,8,HBM_GPU,EVALUATED,0.352321536,38.1896704,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,0.0,144.95514624
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_GPU,EVALUATED,0.352321536,38.1896704,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,EVALUATED,0.352321536,38.1896704,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_CPA,EVALUATED,0.352321536,38.1896704,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC64K,64000,512,512,1,HBM_GPU,EVALUATED,0.044040192,24.627388416,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,0.0,144.95514624
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_GPU,EVALUATED,0.044040192,24.627388416,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,EVALUATED,0.044040192,24.627388416,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_CPA,EVALUATED,0.044040192,24.627388416,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC64K,64000,512,512,8,HBM_GPU,EVALUATED,0.352321536,84.595449856,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,0.0,144.95514624
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_GPU,EVALUATED,0.352321536,84.595449856,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,EVALUATED,0.352321536,84.595449856,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_CPA,EVALUATED,0.352321536,84.595449856,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC126K,126000,512,512,1,HBM_GPU,EVALUATED,0.044040192,32.753852416,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,0.0,144.95514624
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_GPU,EVALUATED,0.044040192,32.753852416,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_NMP_UNIFORM,EVALUATED,0.044040192,32.753852416,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_NMP_CPA,EVALUATED,0.044040192,32.753852416,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC126K,126000,512,512,8,HBM_GPU,EVALUATED,0.352321536,149.607161856,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,4.652015616,144.95514624
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_GPU,EVALUATED,0.352321536,149.607161856,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_NMP_UNIFORM,EVALUATED,0.352321536,149.607161856,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_NMP_CPA,EVALUATED,0.352321536,149.607161856,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC20K,20000,512,256,1,HBM_GPU,EVALUATED,0.088080384,148.000751616,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,3.045605376,144.95514624
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_GPU,EVALUATED,0.088080384,148.000751616,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,EVALUATED,0.088080384,148.000751616,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_NMP_CPA,EVALUATED,0.088080384,148.000751616,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC20K,20000,512,256,8,HBM_GPU,EVALUATED,0.704643072,196.254121984,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,51.298975744,144.95514624
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_GPU,EVALUATED,0.704643072,196.254121984,NOT_APPLICABLE,0,1493.84331264
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,EVALUATED,0.704643072,196.254121984,NOT_APPLICABLE,0,1493.84331264
