model,context_label,H,P,G,B,path,GPU_energy_J,local_memory_energy_J,external_memory_energy_J,NMP_MAC_energy_J,NMP_SRAM_energy_J,NMP_fabric_energy_J,NMP_NoC_energy_J,NMP_reduction_energy_J,NMP_interface_energy_J,total_E2E_energy_J,generated_tokens,J_per_token,tokens_per_J
Llama-3.1-8B,LC20K,20000,512,256,1,HBM_GPU,533.7007833969773,72.74417145194703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.4449548489243,256,2.3689256048786107,0.42213229404105423
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_GPU,530.7517849025572,32.585584370608885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.337369273166,256.0,2.2005365987233048,0.45443461407557345
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,66.18281570727717,21.58274543650864,0.0,6.61257191424,18.70905212928,28.163180608908,2.601706196234333,0.330779590656,1.8577042012162117,146.04055578432036,256,0.5704709210325014,1.7529377276410327
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_CPA,62.63495699924306,20.05812794641554,0.0,6.61257191424,10.407903756288,19.826869121512864,2.601706196234333,0.117373403136,1.8577025723048637,124.11721190937465,256,0.4848328590209947,2.06256647294753
Llama-3.1-8B,LC20K,20000,512,256,8,HBM_GPU,1152.7630816757774,150.89725839958015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.6603400753575,2048,0.6365529004274206,1.5709613440273993
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_GPU,1146.6614761846872,67.60295539200911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1214.2644315766963,2048.0,0.5929025544808088,1.686617796537708
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,448.49507899067333,88.74709975019925,0.0,52.90057531392,149.950449057792,138.60375052076083,21.064494297036944,2.646236725248,14.442976706885236,916.8506613625154,2048,0.44768098699341574,2.233733459881573
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_CPA,417.2147304948769,75.30504336587758,0.0,52.90057531392,99.805531471872,80.96089225510264,21.064494297036944,0.716244516864,14.442960427074766,762.4104721426248,2048,0.37227073835089103,2.686217037712565
Llama-3.1-8B,LC64K,64000,512,512,1,HBM_GPU,1410.0690030878243,192.50792871281257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1602.5769318006369,512,3.130033069923119,0.31948544237731086
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_GPU,1402.2452800431165,86.22773649484164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488.4730165379585,512,2.9071738604257003,0.3439766756342426
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,146.75494545151,51.169068749103424,0.0,25.070663630848,37.441911128064,66.01748339415744,5.259110855823844,0.661559181312,4.2174536369646685,336.5921960277834,512,0.6574066328667645,1.521128552718251
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_CPA,141.3931874630344,48.86496763849543,0.0,25.070663630848,21.608430305280002,49.98856355054801,5.259110855823844,0.405471756288,4.217442265575108,296.8078374658928,512,0.5797028075505719,1.7250218335586762
Llama-3.1-8B,LC64K,64000,512,512,8,HBM_GPU,5046.865653702516,679.6284644114269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5726.494118113943,4096,1.3980698530551618,0.7152718426870651
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_GPU,5019.256634273394,304.42738563028183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5323.684019903676,4096,1.299727543921796,0.7693920196402098
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,1012.8199052855794,242.1612482901586,0.0,200.565309046784,300.319657426944,354.9836516532498,42.00772078368653,5.292473450496,33.29945486425231,2191.4494208011506,4096,0.5350218312502809,1.8690826085790213
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_CPA,966.3012223663316,222.17079369354292,0.0,200.565309046784,205.063389708288,251.3292675773323,42.00772078368653,3.275784978432,33.29936918078356,1924.0128573351808,4096,0.4697297014978469,2.128883902404421
Llama-3.1-8B,LC126K,126000,512,512,1,HBM_GPU,1903.0417874016894,259.0598656876605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.10165308935,512,4.222854791190136,0.23680662713911785
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_GPU,1892.5124122661596,116.03836527298787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.5507775391475,512.0,3.9229507373811474,0.25491015996483607
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_NMP_UNIFORM,178.53018319353066,62.52766314452265,0.0,41.713661902848,38.0374351872,79.94114366749042,5.328292664131978,0.661559181312,5.044458200963846,411.7843971419995,512,0.8042664006679677,1.2433691114902594
Llama-3.1-8B,LC126K,126000,512,512,1,M3D_NMP_CPA,174.47265200506564,60.78402136353363,0.0,41.713661902848,22.640178757632,63.194421066928925,5.328292664131978,0.490834231296,5.044458200963846,373.66852019239997,512,0.7298213285007812,1.370198377257934
Llama-3.1-8B,LC126K,126000,512,512,8,HBM_GPU,8952.351136794241,1184.7528367142181,72.4845675413504,0.0,0.0,0.0,0.0,0.0,0.0,10209.58854104981,4096,2.492575327404739,0.4011914861731367
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_GPU,8941.393692057736,542.9008990161083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9484.294591073845,4096.0,2.315501609148888,0.4318718657110203
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_NMP_UNIFORM,1267.3069047343108,333.1524933676195,0.0,333.709295222784,304.90104535449603,466.3026681656896,42.08206290105323,5.292473450496,39.93505570731877,2792.681998903768,4096,0.6818071286386153,1.4666904436695023
Llama-3.1-8B,LC126K,126000,512,512,8,M3D_NMP_CPA,1222.7581401694754,314.00858370601964,0.0,333.709295222784,214.78686012211202,359.5710137087495,42.08206290105323,3.84131137536,39.935053899170654,2530.692321104724,4096,0.6178448049572081,1.618529430006715
Llama-3.1-70B,LC20K,20000,512,256,1,HBM_GPU,4382.34932538004,594.6772790650548,9.803791335424,0.0,0.0,0.0,0.0,0.0,0.0,4986.830395780518,256,19.47980623351765,0.051335212887249584
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_GPU,4363.253087717705,268.02670544619383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4631.279793163899,256.0,18.09093669204648,0.055276297574997385
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,371.35118247661956,142.5316113360836,0.0,49.435811774464,122.92321443840001,202.73702128774417,16.709192817353706,1.65389795328,9.49808308571482,916.84001516966,256,3.5814063092564843,0.2792199247025966
Llama-3.1-70B,LC20K,20000,512,256,1,M3D_NMP_CPA,349.5083918856041,133.14512307143607,0.0,49.435811774464,62.660175986688,150.1312432872744,16.709192817353706,0.58686701568,9.498073707896214,771.6748795463965,256,3.0143549982281113,0.33174592925777385
Llama-3.1-70B,LC20K,20000,512,256,8,HBM_GPU,7348.40079333602,594.4171782393533,532.4130480029696,0.0,0.0,0.0,0.0,0.0,0.0,8475.231019578343,2048,4.138296396278488,0.24164533040680364
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_GPU,6202.47538068297,356.09876002805396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6558.574140711024,2048.0,3.2024287796440545,0.3122629943736481
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,2435.5646391619152,455.32819590200444,0.0,395.486494195712,983.579391688704,818.3691746334139,132.54617067285864,13.23118362624,72.09769861515198,5306.202948495999,2048,2.590919408445312,0.38596337529466135
Llama-3.1-70B,LC20K,20000,512,256,8,M3D_NMP_CPA,2307.6053158097625,400.34036003667325,0.0,395.486494195712,740.475317256192,534.4173030928142,132.54617067285864,3.699929776128,72.09763180612288,4586.668522646263,2048,2.2395842395733707,0.4465114472275867
Llama-3.1-70B,LC64K,64000,512,512,1,HBM_GPU,9431.631551278186,1186.7176859323033,334.08880927047676,0.0,0.0,0.0,0.0,0.0,0.0,10952.438046480966,512,21.391480559533136,0.04674758239463462
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_GPU,9554.773060137999,587.8904045431373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10142.663464681136,512,19.809889579455344,0.050479837153514014
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,787.9735045005316,309.558864523701,0.0,158.099222560768,247.03727566848002,430.82122626079297,32.6551196563449,3.30779590656,21.218752704809027,1990.6717617819875,512,3.8880307847304443,0.25719960961402977
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_NMP_CPA,757.0649770290174,296.2765535720948,0.0,158.099222560768,141.384402075648,347.90341236360945,32.6551196563449,2.45417115648,21.218747710025408,1757.056606123988,512,3.4317511838359143,0.2913964172898538
Llama-3.1-70B,LC64K,64000,512,512,8,HBM_GPU,30559.339601971482,1183.9378265782814,3578.9094390857726,0.0,0.0,0.0,0.0,0.0,0.0,35322.18686763554,4096,8.623580778231332,0.11596111009063878
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_GPU,19031.085838986655,1133.9190319831307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20165.004870969788,4096,4.923096892326608,0.20312417607678032
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,5230.2277239001605,1108.3676447902653,0.0,1264.793780486144,1977.290342793216,1838.6085552338925,264.60825663622336,26.46236725248,165.85558389489006,11876.21425498727,4096,2.8994663708465014,0.34489104962719375
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_CPA,5052.242277473966,1031.8821582785492,0.0,1264.793780486144,1535.7690469416962,1387.6251370461218,264.60825663622336,17.328582426624,165.8554215964599,10720.104660885783,4096,2.617213051974068,0.38208582188054446
Llama-3.1-70B,LC126K,126000,512,512,1,HBM_GPU,12039.695092752607,1186.7176859323033,775.9896686624768,0.0,0.0,0.0,0.0,0.0,0.0,14002.402447347386,512,27.348442279975362,0.036565153867363184
