model,context_label,H,P,G,B,HBM_GPU_tok_s,HBM_GPU_tok_J,HBM_GPU_Tmax_C,HBM_GPU_thermal_status,M3D_GPU_tok_s,M3D_GPU_tok_J,M3D_GPU_Tmax_C,M3D_GPU_thermal_status,M3D_NMP_UNIFORM_tok_s,M3D_NMP_UNIFORM_tok_J,M3D_NMP_UNIFORM_Tmax_C,M3D_NMP_UNIFORM_thermal_status,M3D_NMP_CPA_tok_s,M3D_NMP_CPA_tok_J,M3D_NMP_CPA_Tmax_C,M3D_NMP_CPA_thermal_status,metric_status
Llama-3.1-8B,LC20K,20000,512,256,1,183.7363676555267,0.42213229404105423,85.082332442086,THERMAL_CLOSURE_REQUIRED,189.14635140348537,0.45443461407557345,85.11332895888512,THERMAL_CLOSURE_REQUIRED,587.4484185578935,1.7529377276410327,63.58235557256711,THERMAL_FEASIBLE,660.0678698260323,2.06256647294753,62.47120507064972,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-8B,LC20K,20000,512,256,8,685.0797050405035,1.5709613440273993,85.22913873361688,THERMAL_CLOSURE_REQUIRED,704.5114411812656,1.686617796537708,85.39535643969907,THERMAL_CLOSURE_REQUIRED,856.1483312912848,2.233733459881573,70.44285629085607,THERMAL_FEASIBLE,1039.9098735429823,2.686217037712565,72.18860128908364,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-8B,LC64K,64000,512,512,1,138.99468467411597,0.31948544237731086,85.05153583557069,THERMAL_CLOSURE_REQUIRED,143.1019770016981,0.3439766756342426,85.07971820046157,THERMAL_CLOSURE_REQUIRED,536.2065851780691,1.521128552718251,65.63313659674026,THERMAL_FEASIBLE,580.2359371568352,1.7250218335586762,64.0064571696858,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-8B,LC64K,64000,512,512,8,311.36902632548384,0.7152718426870651,85.09775747286966,THERMAL_CLOSURE_REQUIRED,320.45780605704846,0.7693920196402098,85.17301231741419,THERMAL_CLOSURE_REQUIRED,750.1552806580299,1.8690826085790213,72.2907931014048,THERMAL_FEASIBLE,847.7572106538164,2.128883902404421,72.66141289752164,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-8B,LC126K,126000,512,512,1,103.03465138863557,0.23680662713911785,85.05950504931883,THERMAL_CLOSURE_REQUIRED,106.07193045560166,0.25491015996483607,85.09818058325936,THERMAL_CLOSURE_REQUIRED,466.4411439780779,1.2433691114902594,68.54890574531566,THERMAL_FEASIBLE,490.9661182343417,1.370198377257934,66.76415306598005,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-8B,LC126K,126000,512,512,8,178.69180403671004,0.4011914861731367,86.1431167971486,THERMAL_CLOSURE_REQUIRED,179.8536310364267,0.4318718657110203,85.16277933996531,THERMAL_CLOSURE_REQUIRED,619.9865237443508,1.4666904436695023,74.92494244147406,THERMAL_FEASIBLE,682.1454073894262,1.618529430006715,75.30598799377447,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-70B,LC20K,20000,512,256,1,22.483645628481753,0.051335212887249584,85.36268946429448,THERMAL_CLOSURE_REQUIRED,23.005039400222863,0.055276297574997385,85.10643129682654,THERMAL_CLOSURE_REQUIRED,103.4020493626895,0.2792199247025966,67.57603731965435,THERMAL_FEASIBLE,117.39887376028071,0.33174592925777385,66.02455074679614,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-70B,LC20K,20000,512,256,8,65.73478376948404,0.24164533040680364,58.245585972807305,THERMAL_FEASIBLE,130.69542484391928,0.3122629943736481,85.55777667840812,THERMAL_CLOSURE_REQUIRED,162.88684182165932,0.38596337529466135,74.9269360781654,THERMAL_FEASIBLE,188.86079679950387,0.4465114472275867,75.97965963359508,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-70B,LC64K,64000,512,512,1,22.53769486842086,0.04674758239463462,89.93657601835804,THERMAL_CLOSURE_REQUIRED,20.999467391720238,0.050479837153514014,85.07539812591676,THERMAL_CLOSURE_REQUIRED,97.33500075211467,0.25719960961402977,68.49900357436746,THERMAL_FEASIBLE,105.73048802898055,0.2913964172898538,66.91524457130754,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-70B,LC64K,64000,512,512,8,20.065460153499334,0.11596111009063878,43.39734354635499,THERMAL_FEASIBLE,84.72496958351138,0.20312417607678032,85.28877851697223,THERMAL_CLOSURE_REQUIRED,148.54627506767628,0.34489104962719375,75.80084250499982,THERMAL_FEASIBLE,162.7418805314737,0.38208582188054446,75.62399956427004,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-70B,LC126K,126000,512,512,1,11.579743862705186,0.036565153867363184,64.82040477683671,THERMAL_FEASIBLE,18.575207078124865,0.04463858239990371,85.09993961459821,THERMAL_CLOSURE_REQUIRED,85.34399084063806,0.2211341246511339,69.62318501995503,THERMAL_FEASIBLE,90.9944411215353,0.24609736349596487,67.96818681251517,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-70B,LC126K,126000,512,512,8,10.114689548032214,0.06621804459431636,40.366646976980576,THERMAL_FEASIBLE,55.50054462258985,0.13306103818962575,85.28891184615475,THERMAL_CLOSURE_REQUIRED,122.31094677703,0.283075152763026,76.12232834973827,THERMAL_FEASIBLE,131.3139678535463,0.3062980816802024,76.06266667997005,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-405B,LC20K,20000,512,256,1,0.6158996194158372,0.0043736932739131896,38.572348342293594,THERMAL_FEASIBLE,4.103343566374588,0.009860670806192887,85.09725849673822,THERMAL_CLOSURE_REQUIRED,29.573926202183625,0.06720137534601207,75.69486295536774,THERMAL_FEASIBLE,33.45284436468781,0.07999266745682161,73.51914414491853,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-405B,LC20K,20000,512,256,8,4.3923186024767915,0.030667304676989304,38.959578536755714,THERMAL_FEASIBLE,28.062891474546777,0.06701037900436425,85.60691297812855,THERMAL_CLOSURE_REQUIRED,48.453316085281166,0.10096246355343287,81.9273776051017,THERMAL_FEASIBLE,54.59837865237294,0.11415598848443918,82.26527766016073,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-405B,LC64K,64000,512,512,1,0.5969114455243789,0.004252339431454379,38.505548747520834,THERMAL_FEASIBLE,4.007327797745871,0.009634515174885347,85.06343901877932,THERMAL_CLOSURE_REQUIRED,28.496065022289127,0.06459225024183292,75.66426979688083,THERMAL_FEASIBLE,30.974763385412466,0.07462132036611699,72.89092907518057,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-405B,LC64K,64000,512,512,8,3.552349006689199,0.02541516581811161,38.4324808244632,THERMAL_FEASIBLE,24.11184082259799,0.057758611689941584,85.35677865607363,THERMAL_CLOSURE_REQUIRED,45.62440984895594,0.09504372642087838,81.62205681711868,THERMAL_FEASIBLE,48.99253409789259,0.10436783021425525,80.68933706900134,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-405B,LC126K,126000,512,512,1,0.5706798969765395,0.004073470004231806,38.46470900619545,THERMAL_FEASIBLE,3.850640141300635,0.009255603057584988,85.08240406789321,THERMAL_CLOSURE_REQUIRED,25.08826261682394,0.05767885186491541,75.19222183891497,THERMAL_FEASIBLE,26.899923285032198,0.06557243036751277,72.54122717911463,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
Llama-3.1-405B,LC126K,126000,512,512,8,2.784812576960572,0.020114299684899375,38.23710275448542,THERMAL_FEASIBLE,19.369473706475766,0.046376596086596125,85.3954061294512,THERMAL_CLOSURE_REQUIRED,37.616060864210034,0.08124496536445554,79.69615701816303,THERMAL_FEASIBLE,39.843192235596554,0.08752720606749233,79.05456459013652,THERMAL_FEASIBLE,NOMINAL_WITH_EXPLICIT_THERMAL_CLOSURE_REQUIRED
