model,context_label,H,P,G,B,path,E2E_time_s,total_average_power_W,GPU_power_W,memory_power_W,NMP_power_W,mapped_package_power_W,excluded_external_power_W,thermal_operator_reused,thermal_convention,physical_signature,Tmax_C,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K,thermal_status,power_columns,thermal_boundary,hotspot_coordinate_units
Llama-3.1-8B,LC20K,20000,512,256,1,HBM_GPU,1.3933006473707747,435.2577858865673,383.0478256104282,52.209960276139086,0.0,435.25778588656624,0.0,False,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,85.082332442086,gpu/FEOL,0.012258,0.0002479166666666671,0.00037179,,1.5521804000018165,910,0.00010250298853571101,0.008476926338904163,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_GPU,1.3534493163650987,416.22346877834866,392.1475141218991,24.075954656449642,0.0,416.22346877833075,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.11332895888512,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,8.429224199964665,2290,0.0005738629046129099,0.008161029413913634,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,0.4357829418086534,335.12224039380794,151.8710563396425,183.2511840541653,129.46190643710517,335.1222403938003,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,63.58235557256711,gpu/FEOL,0.010595348000000001,0.0012500000000000011,0.00037179,,7.371589399990626,2160,0.0005523712411978158,0.00889732667440866,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_CPA,0.3878389052135979,320.022592475653,161.49735407474805,158.52523840090487,102.01767759637326,320.0225924756451,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,62.47120507064972,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.219833399984054,2110,0.0006513930914723759,0.009605257903724547,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC20K,20000,512,256,8,HBM_GPU,2.9894331782590426,436.0894732674943,385.6125937382927,50.47687952920167,0.0,436.0894732674932,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,85.22913873361688,gpu/FEOL,-0.012258,-0.0002479166666666671,0.00037179,,0.9559906999929808,910,0.00010290831348443642,0.00877152692069732,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_GPU,2.9069790500010697,417.7066331373284,394.4512349286677,23.25539820866072,0.0,417.70663313731046,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.39535643969907,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.775652700045612,2290,0.0005776824847181696,0.008176500663063191,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,2.3921088497726863,383.28132996524823,187.48941087412982,195.79191909111853,152.65421803420784,383.28132996523914,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,70.44285629085607,gpu/FEOL,0.01595,0.0002500000000000002,0.00037179,,7.524435099971015,2210,0.0005368199832237658,0.00859717618611965,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_CPA,1.9694014376673294,387.1280164422277,211.8484949361313,175.27952150609653,129.70831287569402,387.1280164422175,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,72.18860128908364,gpu/FEOL,0.01595,-0.00375,0.00037179,,7.499274500005413,2190,0.0005958522331570369,0.008419532235526215,THERMAL_FEASIBLE,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
Llama-3.1-8B,LC64K,64000,512,512,1,HBM_GPU,3.6835940971442507,435.05795957351904,382.7970633846429,52.260896188876124,0.0,435.05795957351796,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,d5c3af03d38021a6c43869ae442195160499a566aa85d7001aedea0df3252a51,85.05153583557069,gpu/FEOL,-0.012258,-0.0002479166666666671,0.00037179,,0.9639146999688819,910,0.00010244719888684126,0.008461913344598075,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + local HBM; external Grace and off-package link energy excluded; no separate GPU-side C2C mapper,m
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_GPU,3.577868110053605,416.0223269145764,391.92201526458945,24.100311649986953,0.0,416.02232691455845,0.0,True,USER_SPECIFIED_DIE_RESOLVED_BEOL_UNIFORM__E2E_EQUIVALENT_STEADY_STATE,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,85.07971820046157,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,8.196468799957074,2290,0.0005735261222161913,0.008157536192050584,THERMAL_CLOSURE_REQUIRED,"memory_power_W includes all memory-die components; NMP_power_W is a subset, not additive",GPU + 318 memory slabs,m
