model,context_label,H,P,G,B,HBM_GPU_J_per_token,HBM_GPU_tok_per_J,M3D_GPU_J_per_token,M3D_GPU_tok_per_J,M3D_NMP_UNIFORM_J_per_token,M3D_NMP_UNIFORM_tok_per_J,M3D_NMP_CPA_J_per_token,M3D_NMP_CPA_tok_per_J,M3D_GPU_over_HBM,UNIFORM_over_M3D_GPU,CPA_over_M3D_GPU,CPA_over_UNIFORM,CPA_over_HBM
Llama-3.1-8B,LC20K,20000,512,256,1,2.3689256048786107,0.42213229404105423,2.2005365987233048,0.45443461407557345,0.5704709210325014,1.7529377276410327,0.4848328590209947,2.06256647294753,1.0765217930267559,3.857403624956957,4.53875301102068,1.1766341955131352,4.88606652952957
Llama-3.1-8B,LC20K,20000,512,256,8,0.6365529004274206,1.5709613440273993,0.5929025544808088,1.686617796537708,0.44768098699341574,2.233733459881573,0.37227073835089103,2.686217037712565,1.0736214502985832,1.3243862743930395,1.5926649435496507,1.2025682947216907,1.7099192465334874
Llama-3.1-8B,LC64K,64000,512,512,1,3.130033069923119,0.31948544237731086,2.9071738604257003,0.3439766756342426,0.6574066328667645,1.521128552718251,0.5797028075505719,1.7250218335586762,1.0766583700173973,4.422185166809676,5.014938383185396,1.1340407952214615,5.399375385378071
Llama-3.1-8B,LC64K,64000,512,512,8,1.3980698530551618,0.7152718426870651,1.299727543921796,0.7693920196402098,0.5350218312502809,1.8690826085790213,0.4697297014978469,2.128883902404421,1.0756637878402022,2.429298148235355,2.7669690457667464,1.1389993639836578,2.9763284046060487
Llama-3.1-8B,LC126K,126000,512,512,1,4.222854791190136,0.23680662713911785,3.9229507373811474,0.25491015996483607,0.8042664006679677,1.2433691114902594,0.7298213285007812,1.370198377257934,1.076448590330552,4.877675772757656,5.375220734422465,1.1020045170783288,5.7861487822846165
Llama-3.1-8B,LC126K,126000,512,512,8,2.492575327404739,0.4011914861731367,2.315501609148888,0.4318718657110203,0.6818071286386153,1.4666904436695023,0.6178448049572081,1.618529430006715,1.0764731570715418,3.396124082440029,3.747707499635381,1.103524903289973,4.034306523913193
Llama-3.1-70B,LC20K,20000,512,256,1,19.47980623351765,0.051335212887249584,18.09093669204648,0.055276297574997385,3.5814063092564843,0.2792199247025966,3.0143549982281113,0.33174592925777385,1.0767715660672106,5.05134998095266,6.001594604046517,1.1881169641139466,6.462346420699688
Llama-3.1-70B,LC20K,20000,512,256,8,4.138296396278488,0.24164533040680364,3.2024287796440545,0.3122629943736481,2.590919408445312,0.38596337529466135,2.2395842395733707,0.4465114472275867,1.2922368243075975,1.2360202209321824,1.4299211090421409,1.156875174714959,1.8477967129590143
Llama-3.1-70B,LC64K,64000,512,512,1,21.391480559533136,0.04674758239463462,19.809889579455344,0.050479837153514014,3.8880307847304443,0.25719960961402977,3.4317511838359143,0.2913964172898538,1.0798384551177935,5.095095866332951,5.772530850360896,1.1329582409831103,6.233400795573514
Llama-3.1-70B,LC64K,64000,512,512,8,8.623580778231332,0.11596111009063878,4.923096892326608,0.20312417607678032,2.8994663708465014,0.34489104962719375,2.617213051974068,0.38208582188054446,1.7516577404097995,1.6979320546108996,1.8810455223021665,1.107844991319885,3.294947949203784
Llama-3.1-70B,LC126K,126000,512,512,1,27.348442279975362,0.036565153867363184,22.40214510042678,0.04463858239990371,4.522142394701054,0.2211341246511339,4.063432398439313,0.24609736349596487,1.2207956942236908,4.953878747090564,5.513108845869078,1.1128873206892582,6.730379540823511
Llama-3.1-70B,LC126K,126000,512,512,8,15.101623826654526,0.06621804459431636,7.515347945616481,0.13306103818962575,3.532630788111388,0.283075152763026,3.2647935452761767,0.3062980816802024,2.00943774472384,2.1274082677726787,2.301936658901578,1.0820380336829396,4.625598408360319
Llama-3.1-405B,LC20K,20000,512,256,1,228.63971873941892,0.0043736932739131896,101.41297885859457,0.009860670806192887,14.880647826790987,0.06720137534601207,12.501145814893338,0.07999266745682161,2.254540999709941,6.8150916572336016,8.112294693641237,1.1903427131505666,18.289500988543562
Llama-3.1-405B,LC20K,20000,512,256,8,32.60801725266496,0.030667304676989304,14.923061395233594,0.06701037900436425,9.904671150092975,0.10096246355343287,8.759943418441967,0.11415598848443918,2.185075594681927,1.506669042221913,1.703556824786865,1.1306775257521706,3.722400441995615
Llama-3.1-405B,LC64K,64000,512,512,1,235.1646702055441,0.004252339431454379,103.79349472682732,0.009634515174885347,15.481733431735343,0.06459225024183292,13.400995789054225,0.07462132036611699,2.265697583692223,6.704255384869595,7.745207621929455,1.155267390232347,17.548298194200154
Llama-3.1-405B,LC64K,64000,512,512,8,39.346585702280564,0.02541516581811161,17.313435533530072,0.057758611689941584,10.521472985725953,0.09504372642087838,9.581496500857726,0.10436783021425525,2.2726041649030306,1.6455334302543467,1.80696570018892,1.0981033061781196,4.106517776086261
Llama-3.1-405B,LC126K,126000,512,512,1,245.49094481145804,0.004073470004231806,108.04266278257231,0.009255603057584988,17.337377005041855,0.05767885186491541,15.250311669024859,0.06557243036751277,2.2721667394063587,6.231776741726997,7.084619982030886,1.1368539464184242,16.097437884504252
Llama-3.1-405B,LC126K,126000,512,512,8,49.71587456016382,0.020114299684899375,21.562600198875362,0.046376596086596125,12.308454997969601,0.08124496536445554,11.425019087538324,0.08752720606749233,2.305653033568597,1.751852706325231,1.887314150957915,1.0773246769797413,4.351491597453058
