model,context_label,H,P,G,B,HBM_GPU_tok_s,M3D_GPU_tok_s,M3D_NMP_UNIFORM_tok_s,M3D_NMP_CPA_tok_s,M3D_GPU_over_HBM,UNIFORM_over_M3D_GPU,CPA_over_M3D_GPU,CPA_over_UNIFORM,CPA_over_HBM
Llama-3.1-8B,LC20K,20000,512,256,1,183.7363676555267,189.14635140348537,587.4484185578935,660.0678698260323,1.0294442728839694,3.1057877363161697,3.4897203405101966,1.123618430102186,3.592472618504918
Llama-3.1-8B,LC20K,20000,512,256,8,685.0797050405035,704.5114411812656,856.1483312912848,1039.9098735429823,1.0283641976222506,1.2152369447056348,1.4760723712298396,1.214637505599689,1.5179399796721469
Llama-3.1-8B,LC64K,64000,512,512,1,138.99468467411597,143.1019770016981,536.2065851780691,580.2359371568352,1.0295499956506393,3.74702429982296,4.054702452852555,1.0821126655207796,4.174518892698985
Llama-3.1-8B,LC64K,64000,512,512,8,311.36902632548384,320.45780605704846,750.1552806580299,847.7572106538164,1.0291897361751834,2.3408862773169146,2.64545657690391,1.130108968785997,2.7226767564466385
Llama-3.1-8B,LC126K,126000,512,512,1,103.03465138863557,106.07193045560166,466.4411439780779,490.9661182343417,1.029478229178549,4.397404119776206,4.628614904296896,1.0525789257077554,4.765058275225007
Llama-3.1-8B,LC126K,126000,512,512,8,178.69180403671004,179.8536310364267,619.9865237443508,682.1454073894262,1.006501848285543,3.4471726824285343,3.7927808488407315,1.1002584431507842,3.8174409345002065
Llama-3.1-70B,LC20K,20000,512,256,1,22.483645628481753,23.005039400222863,103.4020493626895,117.39887376028071,1.0231899123637058,4.494756455913211,5.103180730007504,1.1353631236891295,5.221523043912531
Llama-3.1-70B,LC20K,20000,512,256,8,65.73478376948404,130.69542484391928,162.88684182165932,188.86079679950387,1.9882232411722305,1.2463086754274992,1.4450452035719503,1.1594601177563673,2.8730724582862086
Llama-3.1-70B,LC64K,64000,512,512,1,22.53769486842086,20.999467391720238,97.33500075211467,105.73048802898055,0.9317486776850484,4.635117593053447,5.034912841202269,1.0862535286586874,4.691273382049684
Llama-3.1-70B,LC64K,64000,512,512,8,20.065460153499334,84.72496958351138,148.54627506767628,162.7418805314737,4.222428438489396,1.7532762277507548,1.9208254819267052,1.0955635236045471,8.110548140262418
Llama-3.1-70B,LC126K,126000,512,512,1,11.579743862705186,18.575207078124865,85.34399084063806,90.9944411215353,1.6041120855833373,4.5945108704141235,4.898703994998533,1.0662079453426108,7.858070282072522
Llama-3.1-70B,LC126K,126000,512,512,8,10.114689548032214,55.50054462258985,122.31094677703,131.3139678535463,5.487122897745026,2.2037792171006365,2.365994221254882,1.073607647669743,12.982501067380076
Llama-3.1-405B,LC20K,20000,512,256,1,0.6158996194158372,4.103343566374588,29.573926202183625,33.45284436468781,6.662357691122605,7.207275170553892,8.152581869776087,1.1311600676888747,54.31541652260942
Llama-3.1-405B,LC20K,20000,512,256,8,4.3923186024767915,28.062891474546777,48.453316085281166,54.59837865237294,6.38908376517185,1.7265974224084726,1.945572098366771,1.1268243964205886,12.430423107646467
Llama-3.1-405B,LC64K,64000,512,512,1,0.5969114455243789,4.007327797745871,28.496065022289127,30.974763385412466,6.7134376929654715,7.110989282762995,7.729530736875537,1.0869838822021407,51.891722997875405
Llama-3.1-405B,LC64K,64000,512,512,8,3.552349006689199,24.11184082259799,45.62440984895594,48.99253409789259,6.787576552077102,1.8921993631525653,2.0318869247003333,1.0738228562317222,13.791588046568034
Llama-3.1-405B,LC126K,126000,512,512,1,0.5706798969765395,3.850640141300635,25.08826261682394,26.899923285032198,6.747460637217669,6.515348538476994,6.985831523572644,1.0722114837475185,47.13662322354075
Llama-3.1-405B,LC126K,126000,512,512,8,2.784812576960572,19.369473706475766,37.616060864210034,39.843192235596554,6.955395801758477,1.9420280299941197,2.057009541889403,1.059206927047099,14.307315531834682
