model,context_label,H,P,G,B,path,Decode_steps,new_case_checkpoints,elapsed_including_placement_s,checkpoint,runtime_basis
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_GPU,512,1,39.1,checkpoints/Llama-3.1-8B_W64_B1_IOM3D_NO_NMP_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,512,1,47.6,checkpoints/Llama-3.1-8B_W64_B1_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_CPA,512,1,143.2,checkpoints/Llama-3.1-8B_W64_B1_IOM3D_MAC_NMP_CPA_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_GPU,512,1,347.3,checkpoints/Llama-3.1-8B_W64_B8_IOM3D_NO_NMP_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,512,1,407.5,checkpoints/Llama-3.1-8B_W64_B8_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_CPA,512,1,1242.2,checkpoints/Llama-3.1-8B_W64_B8_IOM3D_MAC_NMP_CPA_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_GPU,512,1,203.5,checkpoints/Llama-3.1-70B_W64_B1_IOM3D_NO_NMP_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,512,1,259.3,checkpoints/Llama-3.1-70B_W64_B1_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-70B,LC64K,64000,512,512,1,M3D_NMP_CPA,512,1,431.4,checkpoints/Llama-3.1-70B_W64_B1_IOM3D_MAC_NMP_CPA_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_GPU,512,1,954.2,checkpoints/Llama-3.1-70B_W64_B8_IOM3D_NO_NMP_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,512,1,2410.4,checkpoints/Llama-3.1-70B_W64_B8_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-70B,LC64K,64000,512,512,8,M3D_NMP_CPA,512,1,2484.5,checkpoints/Llama-3.1-70B_W64_B8_IOM3D_MAC_NMP_CPA_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-405B,LC64K,64000,512,512,1,M3D_GPU,512,1,319.5,checkpoints/Llama-3.1-405B_W64_B1_IOM3D_NO_NMP_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-405B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,512,1,465.5,checkpoints/Llama-3.1-405B_W64_B1_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-405B,LC64K,64000,512,512,1,M3D_NMP_CPA,512,1,808.3,checkpoints/Llama-3.1-405B_W64_B1_IOM3D_MAC_NMP_CPA_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-405B,LC64K,64000,512,512,8,M3D_GPU,512,1,992.4,checkpoints/Llama-3.1-405B_W64_B8_IOM3D_NO_NMP_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-405B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,512,1,1438.6,checkpoints/Llama-3.1-405B_W64_B8_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
Llama-3.1-405B,LC64K,64000,512,512,8,M3D_NMP_CPA,512,1,3576.4,checkpoints/Llama-3.1-405B_W64_B8_IOM3D_MAC_NMP_CPA_305b2f538b1c8279.json,RUN_LOG_COMPLETE_512_STEPS_INCLUDES_PLACEMENT
