metric,ratio,min,mean,geomean,max,min_case,max_case
throughput,M3D_GPU_over_HBM,0.9317486776850484,3.4258147596193362,2.4087880975821943,6.955395801758477,Llama-3.1-70B LC64K B1,Llama-3.1-405B LC126K B8
throughput,UNIFORM_over_M3D_GPU,1.2152369447056348,3.5319832726319516,3.039431112183989,7.207275170553892,Llama-3.1-8B LC20K B8,Llama-3.1-405B LC20K B1
throughput,CPA_over_M3D_GPU,1.4450452035719503,3.8754679257098195,3.3530469420155553,8.152581869776087,Llama-3.1-70B LC20K B8,Llama-3.1-405B LC20K B1
throughput,CPA_over_UNIFORM,1.0525789257077554,1.1038878021625678,1.1031824108710322,1.214637505599689,Llama-3.1-8B LC126K B1,Llama-3.1-8B LC20K B8
throughput,CPA_over_HBM,1.5179399796721469,14.233343625615895,8.076779564561445,54.31541652260942,Llama-3.1-8B LC20K B8,Llama-3.1-405B LC20K B1
energy_efficiency,M3D_GPU_over_HBM,1.0736214502985832,1.5801035160776133,1.4912867272736217,2.305653033568597,Llama-3.1-8B LC20K B8,Llama-3.1-405B LC126K B8
energy_efficiency,UNIFORM_over_M3D_GPU,1.2360202209321824,3.6179965094397963,3.0848378724393717,6.8150916572336016,Llama-3.1-70B LC20K B8,Llama-3.1-405B LC20K B1
energy_efficiency,CPA_over_M3D_GPU,1.4299211090421409,4.126463898979887,3.4989911421455515,8.112294693641237,Llama-3.1-70B LC20K B8,Llama-3.1-405B LC20K B1
energy_efficiency,CPA_over_UNIFORM,1.0773246769797413,1.1348367974457618,1.1342544687376663,1.2025682947216907,Llama-3.1-405B LC126K B8,Llama-3.1-8B LC20K B8
energy_efficiency,CPA_over_HBM,1.7099192465334874,6.5612367545915395,5.217999049129632,18.289500988543562,Llama-3.1-8B LC20K B8,Llama-3.1-405B LC20K B1
