model,context_label,H,P,G,B,path,performance_action,physical_decode_checkpoint_reused,spatial_action,source_checkpoint
Llama-3.1-8B,LC20K,20000,512,256,1,HBM_GPU,RECOMPOSE_HBM_UNBOUNDED_CAPACITY,False,E2E_LOCAL_ACCESS_ENERGY,HBM_ANALYTICAL_TRAFFIC_LEDGER
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_GPU,EXACT_REUSE,False,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_iom3d_workload_sweep_v1\checkpoints\Llama-3.1-8B_W2_B1_IOM3D_NO_NMP_3370eb49f016a411.json
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_UNIFORM,EXACT_REUSE,True,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_iom3d_workload_sweep_v1\checkpoints\Llama-3.1-8B_W2_B1_IOM3D_MAC_NMP_UNIFORM_3370eb49f016a411.json
Llama-3.1-8B,LC20K,20000,512,256,1,M3D_NMP_CPA,EXACT_REUSE,True,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_iom3d_workload_sweep_v1\checkpoints\Llama-3.1-8B_W2_B1_IOM3D_MAC_NMP_CPA_3370eb49f016a411.json
Llama-3.1-8B,LC20K,20000,512,256,8,HBM_GPU,RECOMPOSE_HBM_UNBOUNDED_CAPACITY,False,E2E_LOCAL_ACCESS_ENERGY,HBM_ANALYTICAL_TRAFFIC_LEDGER
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_GPU,EXACT_REUSE,False,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_iom3d_workload_sweep_v1\checkpoints\Llama-3.1-8B_W2_B8_IOM3D_NO_NMP_3370eb49f016a411.json
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_UNIFORM,EXACT_REUSE,True,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_iom3d_workload_sweep_v1\checkpoints\Llama-3.1-8B_W2_B8_IOM3D_MAC_NMP_UNIFORM_3370eb49f016a411.json
Llama-3.1-8B,LC20K,20000,512,256,8,M3D_NMP_CPA,EXACT_REUSE,True,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_iom3d_workload_sweep_v1\checkpoints\Llama-3.1-8B_W2_B8_IOM3D_MAC_NMP_CPA_3370eb49f016a411.json
Llama-3.1-8B,LC64K,64000,512,512,1,HBM_GPU,RECOMPOSE_HBM_UNBOUNDED_CAPACITY,False,E2E_LOCAL_ACCESS_ENERGY,HBM_ANALYTICAL_TRAFFIC_LEDGER
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_GPU,NEW_LC64K,False,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_long_context_v1\checkpoints\Llama-3.1-8B_W64_B1_IOM3D_NO_NMP_305b2f538b1c8279.json
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_UNIFORM,NEW_LC64K,False,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_long_context_v1\checkpoints\Llama-3.1-8B_W64_B1_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json
Llama-3.1-8B,LC64K,64000,512,512,1,M3D_NMP_CPA,NEW_LC64K,False,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_long_context_v1\checkpoints\Llama-3.1-8B_W64_B1_IOM3D_MAC_NMP_CPA_305b2f538b1c8279.json
Llama-3.1-8B,LC64K,64000,512,512,8,HBM_GPU,RECOMPOSE_HBM_UNBOUNDED_CAPACITY,False,E2E_LOCAL_ACCESS_ENERGY,HBM_ANALYTICAL_TRAFFIC_LEDGER
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_GPU,NEW_LC64K,False,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_long_context_v1\checkpoints\Llama-3.1-8B_W64_B8_IOM3D_NO_NMP_305b2f538b1c8279.json
Llama-3.1-8B,LC64K,64000,512,512,8,M3D_NMP_UNIFORM,NEW_LC64K,False,EXACT_EVENT_INTEGRATION_NO_OLD_DECODE_RERUN,runs\formal_long_context_v1\checkpoints\Llama-3.1-8B_W64_B8_IOM3D_MAC_NMP_UNIFORM_305b2f538b1c8279.json
