model,context,batch,path,status,external_capacity_mode,weight_GB,initial_KV_GB,final_KV_GB,workspace_GB,peak_state_GB,HBM_resident_GB,Grace_resident_GB,resident_bytes,max_group_bytes,group_capacity_bytes,max_die_bytes,die_capacity_bytes,slot_capacity_violations,max_slot_bytes,slot_capacity_bytes,total_capacity_bytes,initial_placement_provenance
Llama-3.1-8B,LC20K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,16.060522496,2.62144,2.64241152,0.011010048,18.713944064,18.702934016,0.0,,,,,,,,,,
Llama-3.1-8B,LC20K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,16.060522496,2.62144,2.64241152,0.011010048,18.713944064,,,18702934016,876544,67108864,59821664,4697620480,0,,,,
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,16.060522496,2.62144,2.64241152,0.011010048,18.713944064,,,,,,,,,,,,
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,16.060522496,2.62144,2.64241152,0.011010048,18.713944064,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,16.060522496,20.97152,21.13929216,0.088080384,37.28789504,37.199814656,0.0,,,,,,,,,,
Llama-3.1-8B,LC20K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,16.060522496,20.97152,21.13929216,0.088080384,37.28789504,,,37199814656,1767456,67108864,119224000,4697620480,0,,,,
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,16.060522496,20.97152,21.13929216,0.088080384,37.28789504,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,16.060522496,20.97152,21.13929216,0.088080384,37.28789504,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,16.060522496,8.388608,8.40957952,0.011010048,24.481112064,24.470102016,0.0,,,,,,,,,,
Llama-3.1-8B,LC64K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,16.060522496,8.388608,8.40957952,0.011010048,24.481112064,,,24470102016,1163776,67108864,78348480,4697620480,0,,,,
Llama-3.1-8B,LC64K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,16.060522496,8.388608,8.40957952,0.011010048,24.481112064,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,16.060522496,8.388608,8.40957952,0.011010048,24.481112064,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,16.060522496,67.108864,67.27663616,0.088080384,83.42523904,83.337158656,0.0,,,,,,,,,,
Llama-3.1-8B,LC64K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,16.060522496,67.108864,67.27663616,0.088080384,83.42523904,,,83337158656,3784224,67108864,263748800,4697620480,0,,,,
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,16.060522496,67.108864,67.27663616,0.088080384,83.42523904,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,16.060522496,67.108864,67.27663616,0.088080384,83.42523904,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,16.060522496,16.515072,16.53604352,0.011010048,32.607576064,32.596566016,0.0,,,,,,,,,,
Llama-3.1-8B,LC126K,1,M3D_GPU,EVALUATED,NOT_APPLICABLE,16.060522496,16.515072,16.53604352,0.011010048,32.607576064,,,32596566016,1484832,67108864,103472320,4697620480,0,,,,
Llama-3.1-8B,LC126K,1,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,16.060522496,16.515072,16.53604352,0.01329248,32.609858496,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,16.060522496,16.515072,16.53604352,0.01329248,32.609858496,,,,,,,,,,,,
Llama-3.1-8B,LC126K,8,HBM_GPU,EVALUATED,SUFFICIENTLY_PROVISIONED_FOR_FORMAL_BASELINE,16.060522496,132.120576,132.28834816,0.088080384,148.43695104,144.867065856,3.4818048,,,,,,,,,,
Llama-3.1-8B,LC126K,8,M3D_GPU,EVALUATED,NOT_APPLICABLE,16.060522496,132.120576,132.28834816,0.088080384,148.43695104,,,148348870656,6700576,67108864,468501600,4697620480,0,,,,
Llama-3.1-8B,LC126K,8,M3D_NMP_UNIFORM,EVALUATED,NOT_APPLICABLE,16.060522496,132.120576,132.28834816,0.10633984,148.455210496,,,,,,,,,,,,
Llama-3.1-8B,LC126K,8,M3D_NMP_CPA,EVALUATED,NOT_APPLICABLE,16.060522496,132.120576,132.28834816,0.10633984,148.455210496,,,,,,,,,,,,
