model,context,batch,path,E2E_J,conservation,GPU_energy_J,local_memory_energy_J,external_memory_energy_J,decode_array_read_J,decode_array_write_J,decode_read_peripheral_J,decode_row_select_J,decode_column_select_J,decode_write_driver_J,decode_router_J,decode_pipeline_register_J,decode_sram_read_J,decode_sram_write_J,decode_mac_J,decode_reduction_J,decode_interface_J,decode_miv_J,decode_feol_wire_J,decode_gpu_dynamic_J,decode_gpu_static_J,decode_feol_unresolved_J,prefill_array_read_J,prefill_array_write_J,prefill_read_peripheral_J,prefill_row_select_J,prefill_column_select_J,prefill_write_driver_J,prefill_router_J,prefill_pipeline_register_J,prefill_sram_read_J,prefill_sram_write_J,prefill_mac_J,prefill_reduction_J,prefill_interface_J,prefill_miv_J,prefill_feol_wire_J,prefill_gpu_dynamic_J,prefill_gpu_static_J,prefill_feol_unresolved_J
Llama-3.1-8B,LC20K,1,HBM_GPU,82.46816046666278,PASS,68.46818954255501,13.999970924107775,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,1,M3D_GPU,72.46926506521984,PASS,,,,0.8327210156949503,1.249902592e-08,0.18073163661312,4.194304e-06,4.194304e-06,3.3554432e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.25916223488,0.011051199100322812,0.7549573827387984,52.774029806796804,13.259396230704134,0.0,0.026961062782566398,1.1506747904e-06,0.00585156001792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.074689030144,0.00036535815270891727,0.024994210427333585,1.7057105159207842,0.5575497430773872,0.0
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,19.43648882769328,PASS,,,,0.8327210156949503,1.249902592e-08,0.18073163661312,4.194304e-06,4.194304e-06,3.3554432e-06,1.892008198144,0.08587887771648,1.170215436288,1.170215436288,0.818249990144,0.041347448832,0.14467629056,0.011051199100322812,1.9440035131648357,3.3796381474816,3.8603020888772943,1.6588865733283509,0.026961062782566398,1.1506747904e-06,0.00585156001792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.074689030144,0.00036535815270891727,0.024990566963742602,1.7057105159207842,0.4069008033095851,0.0
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,16.64577318425436,PASS,,,,0.8327210156949503,1.249902592e-08,0.18073163661312,4.194304e-06,4.194304e-06,3.3554432e-06,1.43679619072,0.08587887771648,0.636802203648,0.636802203648,0.818249990144,0.014671675392,0.14467629056,0.011051199100322812,1.3419546061512113,3.3796381474816,3.4126971045486836,1.4665374043871369,0.026961062782566398,1.1506747904e-06,0.00585156001792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.074689030144,0.00036535815270891727,0.024992229952275166,1.7057105159207842,0.4069008033095851,0.0
Llama-3.1-8B,LC20K,8,HBM_GPU,180.84397257551308,PASS,152.05585787666686,28.788114698846208,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,M3D_GPU,159.37482440763378,PASS,,,,1.7047070858805247,9.999220736e-08,0.36998526009344,3.3554432e-05,3.3554432e-05,2.68435456e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.624949968896,0.022623991096191353,1.5411733904210276,108.03883127341057,26.455962130046967,0.0,0.06078034477056,9.2053983232e-06,0.013191610368,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.17725136896,0.0008670651683466143,0.059373281447368344,13.645684127366273,2.650690884356389,0.0
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,122.60757106595766,PASS,,,,1.7047070858805247,9.999220736e-08,0.36998526009344,3.3554432e-05,3.3554432e-05,2.68435456e-05,9.749740388352,0.67543192567808,9.37151299584,9.37151299584,6.545999921152,0.330779590656,1.15741032448,0.022623991096191353,10.06851638535255,27.0371051798528,20.69309576483079,8.89243845029215,0.06078034477056,9.2053983232e-06,0.013191610368,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.17725136896,0.0008670651683466143,0.05949278021944895,13.645684127366273,2.650690884356389,0.0
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,103.4025470288675,PASS,,,,1.7047070858805247,9.999220736e-08,0.36998526009344,3.3554432e-05,3.3554432e-05,2.68435456e-05,6.5182707482624,0.67543192567808,6.257512808448,6.257512808448,6.545999921152,0.085362475008,1.15741032448,0.022623991096191353,6.068924978552587,27.0371051798528,16.845823732651866,7.239151279707153,0.06078034477056,9.2053983232e-06,0.013191610368,0.00308905984,0.00308905984,0.002471247872,0.0,0.0,0.0,0.0,0.0,0.0,0.17725136896,0.0008670651683466143,0.059506483214753395,13.645684127366273,2.650690884356389,0.0
Llama-3.1-8B,LC64K,1,HBM_GPU,110.50737356952908,PASS,91.93980558942131,18.567567980107775,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,M3D_GPU,96.92229339129182,PASS,,,,1.1048206156693503,1.249902592e-08,0.23978743693312,4.194304e-06,4.194304e-06,3.3554432e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.9973597388799997,0.014662250178962923,1.006209399053699,70.0183235002368,17.369903124494424,0.0,0.035464175281766395,1.1506747904e-06,0.00769705377792,0.00038613248,0.00038613248,0.000308905984,0.0,0.0,0.0,0.0,0.0,0.0,0.097757702144,0.0004782034989164206,0.03284889721279711,3.312660918766666,0.6832262969943645,0.0
