model,context,H,P,G,batch,path,execution_status,E2E_s,prefill_s,decode_s,generated_tokens,tokens_per_s,E2E_J,J_per_token,tokens_per_J,Tmax_C,thermal_metric_type,thermal_phase,thermal_status,execution_checkpoint_reused,thermal_provenance,operating_point_source
Llama-3.1-8B,LC20K,20000,128,32,1,HBM_GPU,EVALUATED,0.17694700819213754,0.00566274322053564,0.1712842649716019,32,180.84510344053325,76.88821932764655,2.4027568539889548,0.41618859533782726,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC20K,20000,128,32,1,M3D_GPU,EVALUATED,0.17181978953312213,0.005498659504183582,0.16632113002893856,32,186.2416435670891,71.3668710500472,2.230214720313975,0.4483873193426047,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC20K,20000,128,32,1,M3D_NMP_UNIFORM,EVALUATED,0.05766490394847134,0.005498659504183582,0.05216624444428776,32,554.9302575548346,19.43648882769328,0.607390275865415,1.6463878987446599,62.504890719787795,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC20K,20000,128,32,1,M3D_NMP_CPA,EVALUATED,0.05161618794403065,0.005498659504183582,0.04611752843984707,32,619.9605448333144,16.64577318425436,0.5201804120079487,1.9224099503091616,60.79326769503945,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC20K,20000,128,32,8,HBM_GPU,EVALUATED,0.3864727667703189,0.03582014708589715,0.35065261968442174,256,662.4011366682947,169.44908568116375,0.6619104909420459,1.5107782905461695,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC20K,20000,128,32,8,M3D_GPU,EVALUATED,0.3763122522024409,0.03582014708589715,0.34049210511654376,256,680.2861147935259,158.11910392932887,0.6176527497239409,1.6190327015413575,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC20K,20000,128,32,8,M3D_NMP_UNIFORM,EVALUATED,0.3154565763403673,0.03582014708589715,0.27963642925447013,256,811.5221529691123,122.60757106595766,0.4789358244763971,2.0879624135305876,69.2586883464466,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC20K,20000,128,32,8,M3D_NMP_CPA,EVALUATED,0.2634664137433548,0.03582014708589715,0.22764626665745763,256,971.6608518054682,103.4025470288675,0.4039161993315137,2.475761065426473,70.51417424229146,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,THERMAL_FEASIBLE,False,DECODE_ENERGY_OVER_DECODE_TIME__DIE_BEOL_UNIFORM,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC64K,64000,128,32,1,HBM_GPU,EVALUATED,0.23594841995064847,0.008695789837165714,0.22725263011348276,32,135.62286200811684,103.14378120247824,3.223243162577445,0.3102465279722665,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
Llama-3.1-8B,LC64K,64000,128,32,1,M3D_GPU,EVALUATED,0.2293635449797024,0.008695789837165714,0.2206677551425367,32,139.51650425891285,95.83712178239153,2.9949100556997355,0.3338998438690535,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,THERMAL_CLOSED_DESIGN_POINT,False,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,configs/architecture/m3d_feol_execution.yaml
