model,path,cases,aggregation,decode_tokens_per_s,E2E_tokens_per_s,E2E_tokens_per_J,speedup_vs_HBM
ALL,HBM_GPU,18,GEOMETRIC_MEAN,18.424138586412916,17.64290446354431,0.06667779680366126,1.0
ALL,M3D_GPU,18,GEOMETRIC_MEAN,44.37315258599397,40.77495894609064,0.1005685965995127,2.311125077525886
ALL,M3D_NMP_UNIFORM,18,GEOMETRIC_MEAN,146.46083878176768,117.82393999004564,0.2837287278281307,6.678262087373782
ALL,M3D_NMP_CPA,18,GEOMETRIC_MEAN,162.93162559987948,128.41225383439186,0.31638935895763615,7.278407821100613
Llama-3.1-8B,HBM_GPU,6,GEOMETRIC_MEAN,207.08095703595427,195.1409478198693,0.44305725369228643,1.0
Llama-3.1-8B,M3D_GPU,6,GEOMETRIC_MEAN,216.15040128837896,202.78501835507402,0.5046100135364876,1.0391720477972715
Llama-3.1-8B,M3D_NMP_UNIFORM,6,GEOMETRIC_MEAN,658.8382112325522,555.1799160816383,1.439845764951633,2.8450200856568246
Llama-3.1-8B,M3D_NMP_CPA,6,GEOMETRIC_MEAN,739.768202140504,612.2250106004385,1.6172755453416714,3.1373477347541217
Llama-3.1-70B,HBM_GPU,6,GEOMETRIC_MEAN,20.73271612330811,19.92324236717539,0.06819281236372339,1.0
Llama-3.1-70B,M3D_GPU,6,GEOMETRIC_MEAN,41.5782198736506,38.08003636034728,0.09395760509765237,1.9113373043679958
Llama-3.1-70B,M3D_NMP_UNIFORM,6,GEOMETRIC_MEAN,125.1615968639536,101.6527701535019,0.2487475609811845,5.10222022500616
Llama-3.1-70B,M3D_NMP_CPA,6,GEOMETRIC_MEAN,139.12323949422247,110.77733256777996,0.2766589853982809,5.560206041075503
Llama-3.1-405B,HBM_GPU,6,GEOMETRIC_MEAN,1.4566835319736264,1.4125434608620244,0.009811722818198566,1.0
Llama-3.1-405B,M3D_GPU,6,GEOMETRIC_MEAN,9.721626191403159,8.77904704934915,0.02145355985553431,6.215063318470649
Llama-3.1-405B,M3D_NMP_UNIFORM,6,GEOMETRIC_MEAN,38.09909645554763,28.983288433190392,0.06377274749769007,20.518510924614628
Llama-3.1-405B,M3D_NMP_CPA,6,GEOMETRIC_MEAN,42.02626843481102,31.221763872755382,0.07078427791454614,22.103223538128773
