model,context,batch,HBM_GPU,M3D_GPU,M3D_NMP_UNIFORM,M3D_NMP_CPA
Llama-3.1-8B,LC20K,1,0.41618859533782726,0.4483873193426047,1.6463878987446599,1.9224099503091616
Llama-3.1-8B,LC20K,8,1.5107782905461695,1.6190327015413575,2.0879624135305876,2.475761065426473
Llama-3.1-8B,LC64K,1,0.3102465279722665,0.3338998438690535,1.3242934300861073,1.4702196991119865
Llama-3.1-8B,LC64K,8,0.6733382674301901,0.7221708927808096,1.5892212260104337,1.7730544576522436
Llama-3.1-8B,LC126K,1,0.2281414774136861,0.24535254689842126,1.0352778846258959,1.1193936766098684
Llama-3.1-8B,LC126K,8,0.37784435038691166,0.40558579069887896,1.1896397855037395,1.2884341345422872
Llama-3.1-70B,LC20K,1,0.05052160313628264,0.05444168704274346,0.2581273216287806,0.3028422477078621
Llama-3.1-70B,LC20K,8,0.23065406051828666,0.2912457711427745,0.3523950794966037,0.40225143735861923
Llama-3.1-70B,LC64K,1,0.045359824679470646,0.04898751473733808,0.22163359404480107,0.24730827881877707
Llama-3.1-70B,LC64K,8,0.10898443117427359,0.18178172226592632,0.2859243792970347,0.31108422050001755
Llama-3.1-70B,LC126K,1,0.0353413471269754,0.04286917923872568,0.18292547475905827,0.19984407773826207
Llama-3.1-70B,LC126K,8,0.062407520053028,0.11884236447472984,0.22466126958255148,0.23941242952698788
Llama-3.1-405B,LC20K,1,0.00427889756281527,0.009712660020564784,0.060794234441868704,0.071228703481353
Llama-3.1-405B,LC20K,8,0.029422026480688163,0.06183213339203374,0.08951333685401097,0.09973362108849616
Llama-3.1-405B,LC64K,1,0.004136110697841911,0.009385353310022123,0.054754635809250544,0.061814343997138796
Llama-3.1-405B,LC64K,8,0.023777757619343462,0.0502473791374776,0.07617923620981473,0.082081963332197
Llama-3.1-405B,LC126K,1,0.003950359345234512,0.008945847674156102,0.047378157720904264,0.052586840010648235
Llama-3.1-405B,LC126K,8,0.018717964655355974,0.039752531371499145,0.06254965933180817,0.06636057412982241
