model,context,batch,HBM_GPU,M3D_GPU,M3D_NMP_UNIFORM,M3D_NMP_CPA
Llama-3.1-8B,LC20K,1,180.84510344053325,186.2416435670891,554.9302575548346,619.9605448333144
Llama-3.1-8B,LC20K,8,662.4011366682947,680.2861147935259,811.5221529691123,971.6608518054682
Llama-3.1-8B,LC64K,1,135.62286200811684,139.51650425891285,483.9912351326671,519.0979733166365
Llama-3.1-8B,LC64K,8,294.9424763579043,303.01903138136817,652.3308379871567,723.4521139484348
Llama-3.1-8B,LC126K,1,99.7640385875702,102.6013256932336,402.31242795106135,420.43465552277945
Llama-3.1-8B,LC126K,8,168.08903582185843,170.09768633883738,511.91144717028146,553.6432606736527
Llama-3.1-70B,LC20K,1,22.03827155727344,22.591411179105723,95.1728834781797,107.01372768942711
Llama-3.1-70B,LC20K,8,65.77357913081305,122.79600100598881,149.87042720972357,171.75548429052273
Llama-3.1-70B,LC64K,1,21.88376095855362,20.464175758246732,86.45212246575588,93.0436773503378
Llama-3.1-70B,LC64K,8,19.804750461715106,76.63702819204136,124.56861801123989,134.50319808042437
Llama-3.1-70B,LC126K,1,11.401169186117203,17.928414250244085,72.99463590157335,77.06180788223891
Llama-3.1-70B,LC126K,8,9.940764295431254,50.10014519632013,98.40357649464696,104.25494039559376
Llama-3.1-405B,LC20K,1,0.5999063102203226,4.023802208432744,25.845449193230625,28.784521354954528
Llama-3.1-405B,LC20K,8,4.329255694692251,26.093988916452968,42.76233988324133,47.535201521164566
Llama-3.1-405B,LC64K,1,0.5803244785368568,3.9151612938357214,24.381898099027243,26.1911762963579
Llama-3.1-405B,LC64K,8,3.4814875768594176,21.2375704564132,36.242049311559626,38.38680858428285
Llama-3.1-405B,LC126K,1,0.5548062658211377,3.7382591867687194,20.956321781100556,22.20247158017848
Llama-3.1-405B,LC126K,8,2.728582880602996,16.825176593389923,28.963103094079692,30.327172666083793
