model,context,batch,tokens_per_s,tokens_per_J,J_per_token
Llama-3.1-8B,LC20K,1,169.2825246591218,0.38802854118391295,2.577130014583212
Llama-3.1-8B,LC20K,8,623.7458885802794,1.4155849175072994,0.706421767873098
Llama-3.1-8B,LC64K,1,127.2514781196551,0.28957343719572004,3.4533554240477837
Llama-3.1-8B,LC64K,8,277.50698723007457,0.6304047555837508,1.5862824497159866
Llama-3.1-8B,LC126K,1,93.65879705586153,0.21307609141611358,4.693159112099127
Llama-3.1-8B,LC126K,8,158.11945303927433,0.3540353156263226,2.8245769725850756
Llama-3.1-70B,LC20K,1,20.629224553847656,0.04711482530627555,21.224741755899135
Llama-3.1-70B,LC20K,8,65.77357913081305,0.22290215885817985,4.486273282961983
Llama-3.1-70B,LC64K,1,20.534644535792538,0.04260761375502194,23.469983692342666
Llama-3.1-70B,LC64K,8,19.804750461715106,0.10722252264491108,9.326398739112872
Llama-3.1-70B,LC126K,1,11.401169186117203,0.03390135138823152,29.49734919260885
Llama-3.1-70B,LC126K,8,9.940764295431254,0.0618257661479074,16.174486177941958
Llama-3.1-405B,LC20K,1,0.5999063102203226,0.004256979013357698,234.90836972937026
Llama-3.1-405B,LC20K,8,4.329255694692251,0.029290853579478682,34.14035023890888
Llama-3.1-405B,LC64K,1,0.5803244785368568,0.004115627083941795,242.97633862449877
Llama-3.1-405B,LC64K,8,3.4814875768594176,0.02369201191889172,42.208319134037424
Llama-3.1-405B,LC126K,1,0.5548062658211377,0.003931670086246823,254.34484024945266
Llama-3.1-405B,LC126K,8,2.728582880602996,0.01866478797796489,53.576820758991275
