model,context,batch,path,thermal_metric_type,thermal_phase,GPU_power_W,memory_power_W,package_power_W,energy_denominator,decode_J,decode_s,operator_reused,physical_signature,provenance,Tmax_C,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K,thermal_status
Llama-3.1-8B,LC20K,1,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,368.52911261975123,22.539412918415987,391.06852553815037,DECODE_ONLY,70.07206126307835,0.17918103014465045,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,81.18876370003602,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,8.112567799998942,2290,0.000540037021006889,0.007674744161054921,THERMAL_FEASIBLE
Llama-3.1-8B,LC20K,8,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,376.1955306305917,23.113939096393,399.30946972696756,DECODE_ONLY,142.75832715224652,0.3575130017573914,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,82.45716342123728,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.589553899997554,2290,0.0005500776815387645,0.007823408053481746,THERMAL_FEASIBLE
Llama-3.1-8B,LC64K,1,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,372.29503952218124,22.847046742477882,395.14208626464216,DECODE_ONLY,92.75107782199659,0.23472842060127602,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,81.82085569755321,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.597934699999314,2290,0.0005457472736578356,0.00775760840992407,THERMAL_FEASIBLE
Llama-3.1-8B,LC64K,8,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,380.73352135770944,23.47135187862847,404.20487323632057,DECODE_ONLY,324.1629477945831,0.801976842087813,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,83.23336565282136,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.595851799997035,2290,0.0005573600615017483,0.00792967920916367,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,1,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,375.33096086248213,23.056928228045212,398.38788909051016,DECODE_ONLY,124.69608385397619,0.3130016932458531,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,82.32162335415438,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.583456899999874,2290,0.0005497910249934145,0.00781724248476695,THERMAL_FEASIBLE
Llama-3.1-8B,LC126K,8,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,382.3581615065546,23.596814472450678,405.9549759789879,DECODE_ONLY,579.766826842063,1.4281554880412322,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,83.50259014639119,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.60173130000112,2290,0.0005595465110211961,0.007961391949674329,THERMAL_FEASIBLE
Llama-3.1-70B,LC20K,1,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,377.41623905795444,23.21835473157989,400.6345937895344,DECODE_ONLY,574.8663902818291,1.4348895457186206,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,82.67508187527432,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,8.33374719999847,2290,0.0005525041421787759,0.007856792154788336,THERMAL_FEASIBLE
Llama-3.1-70B,LC20K,8,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,377.28306194132784,23.205143818123606,400.4882057594515,DECODE_ONLY,757.3528256687928,1.8910739811491177,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,82.65062936727003,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.889448200003244,2290,0.0005522539663992174,0.007854695292521452,THERMAL_FEASIBLE
Llama-3.1-70B,LC64K,1,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,377.456598168129,23.2225104373267,400.6791086054558,DECODE_ONLY,631.77650505223,1.576764277157094,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,82.67682870554876,gpu/FEOL,0.01595,0.002250000000000001,0.00037179,,7.62190720000217,2290,0.0005523383952832233,0.007859873743562762,THERMAL_FEASIBLE
Llama-3.1-70B,LC64K,8,M3D_GPU,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,377.4819761949935,23.221732439667704,400.7037086346613,DECODE_ONLY,1212.6352107766809,3.0262640066610733,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,GPU_PORT_BALANCED_DECODE__DIE_BEOL_UNIFORM__ACTUAL_STEADY_STATE_SOLVE,82.68335361515227,gpu/FEOL,0.01595,-0.002250000000000001,0.00037179,,7.625985300001048,2290,0.0005524867613145674,0.007857852711422381,THERMAL_FEASIBLE
