metric,numerator,denominator,paired_cases,min,mean,geomean,max,min_case,max_case
tokens_per_s,M3D_GPU,HBM_GPU,18,0.9351306567917879,3.2748957144103246,2.339676723598606,6.7465037899259785,Llama-3.1-70B/LC64K/1,Llama-3.1-405B/LC64K/1
tokens_per_s,M3D_NMP_UNIFORM,M3D_GPU,18,1.1929130042811735,3.1870650397564075,2.775409220363965,6.423141062715737,Llama-3.1-8B/LC20K/8,Llama-3.1-405B/LC20K/1
tokens_per_s,M3D_NMP_CPA,M3D_GPU,18,1.398705844518065,3.458258414114462,3.0248229123028745,7.153562691185558,Llama-3.1-70B/LC20K/8,Llama-3.1-405B/LC20K/1
tokens_per_s,M3D_NMP_CPA,HBM_GPU,18,1.466876788123688,12.260729233065652,7.0771077609227815,47.98169458224748,Llama-3.1-8B/LC20K/8,Llama-3.1-405B/LC20K/1
tokens_per_s,M3D_NMP_CPA,M3D_NMP_UNIFORM,18,1.0450451597133423,1.0905301300467285,1.0898655557201762,1.1973312721660858,Llama-3.1-8B/LC126K/1,Llama-3.1-8B/LC20K/8
tokens_per_J,M3D_GPU,HBM_GPU,18,1.071654730328467,1.5441271238171759,1.4643258858200872,2.269897766417761,Llama-3.1-8B/LC20K/8,Llama-3.1-405B/LC20K/1
tokens_per_J,M3D_NMP_UNIFORM,M3D_GPU,18,1.2099577553139909,3.2451964531050352,2.8008348863715886,6.25927751132522,Llama-3.1-70B/LC20K/8,Llama-3.1-405B/LC20K/1
tokens_per_J,M3D_NMP_CPA,M3D_GPU,18,1.3811408686906823,3.639326276994819,3.1232450835295067,7.33359381781502,Llama-3.1-70B/LC20K/8,Llama-3.1-405B/LC20K/1
tokens_per_J,M3D_NMP_CPA,HBM_GPU,18,1.6387322222716394,5.709598947934054,4.573448623572576,16.646508226873415,Llama-3.1-8B/LC20K/8,Llama-3.1-405B/LC20K/1
tokens_per_J,M3D_NMP_CPA,M3D_NMP_UNIFORM,18,1.0609262278759732,1.1157407569297442,1.115112175561192,1.1857306670765912,Llama-3.1-405B/LC126K/8,Llama-3.1-8B/LC20K/8
