model,context,batch,path,elapsed_s,inner_workers,execution_checkpoint_reused,same_task_recovery
Llama-3.1-8B,LC20K,1,HBM_GPU,0.3732941999915056,4,False,
Llama-3.1-8B,LC20K,1,M3D_GPU,5.425341400026809,4,False,
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,6.9707789000240155,4,False,
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,78.28348470001947,1,False,
Llama-3.1-8B,LC20K,8,HBM_GPU,0.42603029997553676,4,False,
Llama-3.1-8B,LC20K,8,M3D_GPU,33.22780860000057,4,False,
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,46.400009499979205,4,False,
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,524.429816799995,1,False,
Llama-3.1-8B,LC64K,1,HBM_GPU,0.364440499979537,4,False,
Llama-3.1-8B,LC64K,1,M3D_GPU,5.436045799986459,4,False,
Llama-3.1-8B,LC64K,1,M3D_NMP_UNIFORM,7.036054400028661,4,False,
Llama-3.1-8B,LC64K,1,M3D_NMP_CPA,53.489519499999005,4,False,
Llama-3.1-8B,LC64K,8,HBM_GPU,0.4119969000457786,4,False,
Llama-3.1-8B,LC64K,8,M3D_GPU,33.31272300001001,4,False,
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,47.37895420001587,4,False,
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,521.8569724999834,1,False,
Llama-3.1-8B,LC126K,1,HBM_GPU,0.3490624999976717,4,False,
Llama-3.1-8B,LC126K,1,M3D_GPU,5.576298800006043,4,False,
Llama-3.1-8B,LC126K,1,M3D_NMP_UNIFORM,7.560527900001034,4,False,
Llama-3.1-8B,LC126K,1,M3D_NMP_CPA,59.631037799990736,1,False,
Llama-3.1-8B,LC126K,8,HBM_GPU,0.39870939997490495,4,False,
Llama-3.1-8B,LC126K,8,M3D_GPU,30.081060399999842,4,False,
Llama-3.1-8B,LC126K,8,M3D_NMP_UNIFORM,43.1363987000077,4,False,
Llama-3.1-8B,LC126K,8,M3D_NMP_CPA,342.9807598000043,1,False,
Llama-3.1-70B,LC20K,1,HBM_GPU,0.38992500002495944,4,False,
Llama-3.1-70B,LC20K,1,M3D_GPU,14.841147199971601,4,False,
Llama-3.1-70B,LC20K,1,M3D_NMP_UNIFORM,21.129055800032802,4,False,
Llama-3.1-70B,LC20K,1,M3D_NMP_CPA,262.57788450003136,1,False,
Llama-3.1-70B,LC20K,8,HBM_GPU,0.5092544000362977,4,False,
Llama-3.1-70B,LC20K,8,M3D_GPU,80.01259260001825,4,False,
Llama-3.1-70B,LC20K,8,M3D_NMP_UNIFORM,124.21959439996863,4,False,
