model,context,batch,path,Tmax_C,thermal_metric_type,thermal_phase,provenance,thermal_status,GPU_power_W,memory_power_W,package_power_W,energy_denominator,decode_J,decode_s,power_conservation,operator_reused,physical_signature,hotspot_component,hotspot_x,hotspot_y,hotspot_z,hotspot_die,thermal_solve_s,iterations,relative_residual,max_temperature_update_K
Llama-3.1-8B,LC20K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,62.504890719787795,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,138.7859201574491,190.73631767858282,329.52223783602506,DECODE_ONLY,17.189937608783183,0.05216624444428776,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0002500000000000002,0.00037179,,7.54362139996374,2130,0.0005770243523277962,0.009075278142579699
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,60.79326769503945,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,147.2831585259344,164.94563580629463,312.2287943322217,DECODE_ONLY,14.39922030235573,0.04611752843984707,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010595348000000001,0.0012500000000000011,0.00037179,,7.1141703999601305,2160,0.0005187300414220506,0.00824087202997947
Llama-3.1-8B,LC20K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,69.2586883464466,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,170.68663432706379,208.34464780730434,379.0312821343595,DECODE_ONLY,105.99095431179832,0.27963642925447013,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.311102100007702,2210,0.0005215125888369727,0.007868242834005525
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,70.51417424229146,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,192.7680587818991,188.46339230225513,381.2314510841446,DECODE_ONLY,86.78591657171286,0.22764626665745763,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.01595,0.0002500000000000002,0.00037179,,7.240567700006068,2190,0.000575125692139173,0.009427082379002649
Llama-3.1-8B,LC64K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,1,M3D_NMP_UNIFORM,64.85036122683351,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,142.24184219990656,206.6281846419252,348.8700268418246,DECODE_ONLY,20.032504175935703,0.05742110996832036,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.015854500001296,2130,0.0006074713793082334,0.009540708587198422
Llama-3.1-8B,LC64K,1,M3D_NMP_CPA,63.210455352625274,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,148.00474956480798,185.03131920627914,333.0360687710797,DECODE_ONLY,17.634128597390298,0.05294960591644247,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.046999600017443,2130,0.0005893457731930988,0.009723832476268943
Llama-3.1-8B,LC64K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,71.53679092526596,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,171.0914840621355,227.78361971327294,398.8751037753997,DECODE_ONLY,128.7858365160468,0.3228725866745528,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.284837100014556,2210,0.000541697819253313,0.008560086240319573
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,71.43578822299162,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,184.26729495320092,209.98927449177617,394.25656944496774,DECODE_ONLY,112.08423458375891,0.2842926238148622,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,-0.0007500000000000007,0.00037179,,7.309152799949516,2210,0.0005459546490091002,0.008398984036128343
Llama-3.1-8B,LC126K,1,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,1,M3D_NMP_UNIFORM,67.41185789736454,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,146.07744734454405,223.9654392708912,370.0428866154277,DECODE_ONLY,24.01595167831687,0.0649004549120689,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,0.0012500000000000011,0.00037179,,7.142895600001793,2160,0.0005938809454119164,0.009756880476367353
Llama-3.1-8B,LC126K,1,M3D_NMP_CPA,65.56645692951679,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,150.09740725146676,202.7995821726265,352.89698942408563,DECODE_ONLY,21.693280501581118,0.061471990840679204,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.010195348000000003,-0.0002500000000000002,0.00037179,,7.01825690001715,2130,0.0006188880115599239,0.009740510245110402
Llama-3.1-8B,LC126K,8,HBM_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,8,M3D_GPU,85.0,THERMAL_CLOSED_DESIGN_POINT,DESIGN_POINT,EXISTING_85C_BANDWIDTH_THERMAL_CLOSURE,THERMAL_CLOSED_DESIGN_POINT,,,,,,,,,,,,,,,,,,
Llama-3.1-8B,LC126K,8,M3D_NMP_UNIFORM,73.97939042107862,WORKLOAD_SPECIFIC_STEADY_STATE,DECODE,,THERMAL_FEASIBLE,171.71782416307278,248.14269563316995,419.860519796234,DECODE_ONLY,160.79345844089357,0.38296875000041986,PASS,True,2fcecd86ccbe1599b61790bab556d55d334ecb78086df9888d84bc638a674dcd,gpu/FEOL,0.011095348000000001,0.0007500000000000007,0.00037179,,7.309202899981756,2210,0.0005641653136698416,0.009588795521766582
