group,path,cases,normalized_throughput,normalized_energy_efficiency
Llama-3.1-8B,HBM_BEST,9,1.0,1.0
Llama-3.1-8B,M3D_GPU,9,1.0984461524502849,1.169679533248055
Llama-3.1-8B,M3D_NMP_UNIFORM,9,2.581529371348486,2.8284533023053773
Llama-3.1-8B,M3D_NMP_CPA,9,2.863880626849944,3.1647399551733097
Qwen2.5-32B,HBM_BEST,9,1.0,1.0
Qwen2.5-32B,M3D_GPU,9,1.392583624611703,1.452457236221937
Qwen2.5-32B,M3D_NMP_UNIFORM,9,3.0601030540361536,3.2233255364511866
Qwen2.5-32B,M3D_NMP_CPA,9,3.3480870654401844,3.5282923894638625
ALL,HBM_BEST,18,1.0,1.0
ALL,M3D_GPU,18,1.2368015703499073,1.303422227110937
ALL,M3D_NMP_UNIFORM,18,2.8106486641605586,3.019441298979103
ALL,M3D_NMP_CPA,18,3.0965338176291612,3.3415756610422864
