model,workload,H,P,G,B,weight_bytes,final_KV_bytes,prefill_workspace_bytes,decode_workspace_bytes,workspace_bytes,peak_bytes,HBM_capacity_bytes,M3D_capacity_bytes,HBM_full_batch_fit,safe_resident_batch,wave_sizes,num_waves,M3D_status,physical_slot_excess_bytes,physical_error
Llama-3.1-8B,LC20K,20000,128,32,1,16060522496,2642411520,11010048,6508480,11010048,18713944064,144955146240,1493843312640,True,48,[1],1,PASS,0,
Llama-3.1-8B,LC20K,20000,128,32,8,16060522496,21139292160,88080384,52067840,88080384,37287895040,144955146240,1493843312640,True,48,[8],1,PASS,0,
Llama-3.1-8B,LC20K,20000,128,32,32,16060522496,84557168640,352321536,208271360,352321536,100970012672,144955146240,1493843312640,True,48,[32],1,PASS,0,
Llama-3.1-8B,LC64K,64000,128,32,1,16060522496,8409579520,11010048,9324480,11010048,24481112064,144955146240,1493843312640,True,15,[1],1,PASS,0,
Llama-3.1-8B,LC64K,64000,128,32,8,16060522496,67276636160,88080384,74595840,88080384,83425239040,144955146240,1493843312640,True,15,[8],1,PASS,0,
Llama-3.1-8B,LC64K,64000,128,32,32,16060522496,269106544640,352321536,298383360,352321536,285519388672,144955146240,1493843312640,False,15,"[15, 15, 2]",3,PASS,0,
Llama-3.1-8B,LC126K,126000,128,32,1,16060522496,16536043520,11010048,13292480,13292480,32609858496,144955146240,1493843312640,True,7,[1],1,PASS,0,
Llama-3.1-8B,LC126K,126000,128,32,8,16060522496,132288348160,88080384,106339840,106339840,148455210496,144955146240,1493843312640,False,7,"[7, 1]",2,PASS,0,
Llama-3.1-8B,LC126K,126000,128,32,32,16060522496,529153392640,352321536,425359360,425359360,545639274496,144955146240,1493843312640,False,7,"[7, 7, 7, 7, 4]",5,PASS,0,
Qwen2.5-32B,LC20K,20000,128,32,1,65527752704,5284823040,21233664,8135600,21233664,70833809408,144955146240,1493843312640,True,14,[1],1,PASS,0,
Qwen2.5-32B,LC20K,20000,128,32,8,65527752704,42278584320,169869312,65084800,169869312,107976206336,144955146240,1493843312640,True,14,[8],1,PASS,0,
Qwen2.5-32B,LC20K,20000,128,32,32,65527752704,169114337280,679477248,260339200,679477248,235321567232,144955146240,1493843312640,False,14,"[14, 14, 4]",3,PASS,0,
Qwen2.5-32B,LC64K,64000,128,32,1,65527752704,16819159040,21233664,11655600,21233664,82368145408,144955146240,1493843312640,True,4,[1],1,PASS,0,
Qwen2.5-32B,LC64K,64000,128,32,8,65527752704,134553272320,169869312,93244800,169869312,200250894336,144955146240,1493843312640,False,4,"[4, 4]",2,PASS,0,
Qwen2.5-32B,LC64K,64000,128,32,32,65527752704,538213089280,679477248,372979200,679477248,604420319232,144955146240,1493843312640,False,4,"[4, 4, 4, 4, 4, 4, 4, 4]",8,PASS,0,
Qwen2.5-32B,LC126K,126000,128,32,1,65527752704,33072087040,21233664,16615600,21233664,98621073408,144955146240,1493843312640,True,2,[1],1,PASS,0,
Qwen2.5-32B,LC126K,126000,128,32,8,65527752704,264576696320,169869312,132924800,169869312,330274318336,144955146240,1493843312640,False,2,"[2, 2, 2, 2]",4,PASS,0,
Qwen2.5-32B,LC126K,126000,128,32,32,65527752704,1058306785280,679477248,531699200,679477248,1124514015232,144955146240,1493843312640,False,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",16,PASS,0,
