model,context,batch,path,H,P,G,throughput_closure,energy_closure
Llama-3.1-8B,LC20K,1,HBM_BEST,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,1,M3D_GPU,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,32,M3D_NMP_UNIFORM,20000,128,32,PASS,PASS
Llama-3.1-8B,LC20K,32,M3D_NMP_CPA,20000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,1,HBM_BEST,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,1,M3D_GPU,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,1,M3D_NMP_UNIFORM,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,1,M3D_NMP_CPA,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,8,HBM_BEST,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,8,M3D_GPU,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,32,HBM_BEST,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,32,M3D_GPU,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,32,M3D_NMP_UNIFORM,64000,128,32,PASS,PASS
Llama-3.1-8B,LC64K,32,M3D_NMP_CPA,64000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,1,HBM_BEST,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,1,M3D_GPU,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,1,M3D_NMP_UNIFORM,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,1,M3D_NMP_CPA,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,8,HBM_BEST,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,8,M3D_GPU,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,8,M3D_NMP_UNIFORM,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,8,M3D_NMP_CPA,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,32,HBM_BEST,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,32,M3D_GPU,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,32,M3D_NMP_UNIFORM,126000,128,32,PASS,PASS
Llama-3.1-8B,LC126K,32,M3D_NMP_CPA,126000,128,32,PASS,PASS
Qwen2.5-32B,LC20K,1,HBM_BEST,20000,128,32,PASS,PASS
Qwen2.5-32B,LC20K,1,M3D_GPU,20000,128,32,PASS,PASS
