model,context,batch,path,H,P,G,E2E_s,decode_s,tokens_per_s,Decode_tokens_per_s,E2E_J,J_per_token,tokens_per_J,E2E_tokens_per_s,E2E_tokens_per_J,mean_TTFT,P95_TTFT,max_TTFT,mean_TPOT,P95_TPOT,mean_completion_latency,P95_completion_latency,max_completion_latency,Tmax_C,thermal_feasible,safe_resident_batch,num_waves,wave_sizes,selected_HBM_policy,HBM_host_read_GB,wave_admission_GB,C2C_GB_per_token,local_memory_GB,M3D_boundary_GB,traffic_phase,normalized_throughput,normalized_energy_efficiency,Decode_local_memory_GB,Decode_M3D_boundary_GB
Llama-3.1-8B,LC20K,1,HBM_BEST,20000,128,32,0.18903309756537046,0.18298356950252345,169.2825246591218,174.87908934664597,82.4681604666628,2.5771300145832123,0.3880285411839129,169.2825246591218,0.3880285411839129,0.011767106397049597,0.011767106397049597,0.011767106397049597,0.005718236546953858,0.005718236546953858,0.18903309756537046,0.18903309756537046,0.18903309756537046,85.0,True,48,1,[1],HBM_HOST_OFFLOAD,0.0,0.0,0.0,583.462816256,0.0,E2E_UNLESS_PREFIXED_DECODE,1.0,1.0,,
Llama-3.1-8B,LC20K,1,M3D_GPU,20000,128,32,0.18504608074357465,0.17918103014465045,172.92989871178958,178.5903338883967,72.34572906646285,2.260804033326964,0.4423205130824256,172.92989871178958,0.4423205130824256,0.011463646650431394,0.011463646650431394,0.011463646650431394,0.0055994071920203265,0.0055994071920203265,0.18504608074357465,0.18504608074357465,0.18504608074357465,81.1887637000383,True,1,1,[1],NOT_APPLICABLE,0.0,0.0,0.0,583.462816256,583.462816256,E2E_UNLESS_PREFIXED_DECODE,1.0215460754736045,1.1399174703305655,564.79055872,564.79055872
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,0.05766490394847134,0.05216624444428776,554.9302575548346,613.4234952292799,19.436488827693278,0.6073902758654149,1.6463878987446603,554.9302575548346,1.6463878987446603,0.007128781751272231,0.007128781751272231,0.007128781751272231,0.0016301951388839925,0.0016301951388839925,0.05766490394847134,0.05766490394847134,0.05766490394847134,62.504890719788136,True,1,1,[1],NOT_APPLICABLE,0.0,0.0,0.0,583.462816256,54.841330176,E2E_UNLESS_PREFIXED_DECODE,3.2781307974481,4.242955669501451,564.79055872,36.16907264
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,20000,128,32,0.05161618794403065,0.04611752843984707,619.9605448333144,693.8793357440842,16.64577318425436,0.5201804120079487,1.9224099503091616,619.9605448333144,1.9224099503091616,0.006939753188348681,0.006939753188348681,0.006939753188348681,0.001441172763745221,0.001441172763745221,0.05161618794403065,0.05161618794403065,0.05161618794403065,60.79326769504013,True,1,1,[1],NOT_APPLICABLE,0.0,0.0,0.0,583.462816256,54.841330176,E2E_UNLESS_PREFIXED_DECODE,3.6622831924423793,4.954300383275162,564.79055872,36.16907264
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,0.4104235469714867,0.37460339988558955,623.7458885802794,683.389419525255,180.84397257551308,0.706421767873098,1.4155849175072994,623.7458885802794,1.4155849175072994,0.047521237630311776,0.047521237630311776,0.047521237630311776,0.011706356246424673,0.011706356246424673,0.4104235469714867,0.4104235469714867,0.4104235469714867,85.0,True,48,1,[8],HBM_HOST_OFFLOAD,0.0,0.0,0.0,1200.550334464,0.0,E2E_UNLESS_PREFIXED_DECODE,1.0,1.0,,
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,0.39333314884328857,0.3575130017573914,650.8477629023718,716.057874095784,159.37482440763375,0.6225579078423193,1.606276279528488,650.8477629023718,1.606276279528488,0.04698733673123186,0.04698733673123186,0.04698733673123186,0.011172281304918482,0.011172281304918482,0.39333314884328857,0.39333314884328857,0.39333314884328857,82.45716342124024,True,8,1,[8],NOT_APPLICABLE,0.0,0.0,0.0,1200.5503344640001,1200.5503344640001,E2E_UNLESS_PREFIXED_DECODE,1.0434501851126898,1.134708529077137,1156.237492224,1156.237492224
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,20000,128,32,0.3154565763403673,0.27963642925447013,811.5221529691123,915.4744275719495,122.60757106595766,0.4789358244763971,2.0879624135305876,811.5221529691123,2.0879624135305876,0.04455834261573659,0.04455834261573659,0.04455834261573659,0.008738638414202192,0.008738638414202192,0.3154565763403673,0.3154565763403673,0.3154565763403673,69.2586883464486,True,8,1,[8],NOT_APPLICABLE,0.0,0.0,0.0,1200.5503344640001,333.66542336000003,E2E_UNLESS_PREFIXED_DECODE,1.301046095576252,1.4749820994188583,1156.237492224,289.35258112
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,20000,128,32,0.2634664137433548,0.22764626665745763,971.6608518054682,1124.5517168318277,103.40254702886752,0.40391619933151374,2.4757610654264726,971.6608518054682,2.4757610654264726,0.04293336566828308,0.04293336566828308,0.04293336566828308,0.007113945833045551,0.007113945833045551,0.2634664137433548,0.2634664137433548,0.2634664137433548,70.51417424229373,True,8,1,[8],NOT_APPLICABLE,0.0,0.0,0.0,1200.5503344640001,333.66542336000003,E2E_UNLESS_PREFIXED_DECODE,1.5577831767630326,1.7489315086699533,1156.237492224,289.35258112
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,1.174866263828262,1.0315856754846735,871.5885641854508,992.646587031068,518.531312546792,0.5063782349089766,1.9748084160444885,871.5885641854508,1.9748084160444885,0.17549657789444445,0.17549657789444445,0.17549657789444445,0.03223705235889605,0.03223705235889605,1.174866263828262,1.174866263828262,1.174866263828262,85.0,True,48,1,[32],HBM_HOST_OFFLOAD,0.0,0.0,0.0,3316.27896832,0.0,E2E_UNLESS_PREFIXED_DECODE,1.0,1.0,,
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,1.1122140857457068,0.9689334974021183,920.6860559704547,1056.8320764485125,458.13242065085154,0.4473949420418472,2.235161612324318,920.6860559704547,2.235161612324318,0.1735399924124359,0.1735399924124359,0.1735399924124359,0.030279171793816197,0.030279171793816197,1.1122140857457068,1.1122140857457068,1.1122140857457068,83.28383360262313,True,32,1,[32],NOT_APPLICABLE,0.0,0.0,0.0,3316.27896832,3316.27896832,E2E_UNLESS_PREFIXED_DECODE,1.056331041735143,1.1318371919850905,3184.055549952,3184.055549952
