model,context,batch,path,H,P,G,mean_TTFT,P95_TTFT,max_TTFT,mean_TPOT,P95_TPOT,mean_completion_latency,P95_completion_latency,max_completion_latency
Llama-3.1-8B,LC20K,1,HBM_HOST_OFFLOAD,20000,128,32,0.011767106397049597,0.011767106397049597,0.011767106397049597,0.005718236546953858,0.005718236546953858,0.18903309756537046,0.18903309756537046,0.18903309756537046
Llama-3.1-8B,LC20K,1,HBM_RESIDENT_WAVE,20000,128,32,0.011767106397049597,0.011767106397049597,0.011767106397049597,0.005718236546953858,0.005718236546953858,0.18903309756537046,0.18903309756537046,0.18903309756537046
Llama-3.1-8B,LC20K,1,HBM_BEST,20000,128,32,0.011767106397049597,0.011767106397049597,0.011767106397049597,0.005718236546953858,0.005718236546953858,0.18903309756537046,0.18903309756537046,0.18903309756537046
Llama-3.1-8B,LC20K,1,M3D_GPU,20000,128,32,0.011463646650431394,0.011463646650431394,0.011463646650431394,0.0055994071920203265,0.0055994071920203265,0.18504608074357465,0.18504608074357465,0.18504608074357465
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,0.007128781751272231,0.007128781751272231,0.007128781751272231,0.0016301951388839925,0.0016301951388839925,0.05766490394847134,0.05766490394847134,0.05766490394847134
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,20000,128,32,0.006939753188348681,0.006939753188348681,0.006939753188348681,0.001441172763745221,0.001441172763745221,0.05161618794403065,0.05161618794403065,0.05161618794403065
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,0.047521237630311776,0.047521237630311776,0.047521237630311776,0.011706356246424673,0.011706356246424673,0.4104235469714867,0.4104235469714867,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,0.047521237630311776,0.047521237630311776,0.047521237630311776,0.011706356246424673,0.011706356246424673,0.4104235469714867,0.4104235469714867,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_BEST,20000,128,32,0.047521237630311776,0.047521237630311776,0.047521237630311776,0.011706356246424673,0.011706356246424673,0.4104235469714867,0.4104235469714867,0.4104235469714867
Llama-3.1-8B,LC20K,8,M3D_GPU,20000,128,32,0.04698733673123186,0.04698733673123186,0.04698733673123186,0.011172281304918482,0.011172281304918482,0.39333314884328857,0.39333314884328857,0.39333314884328857
Llama-3.1-8B,LC20K,8,M3D_NMP_UNIFORM,20000,128,32,0.04455834261573659,0.04455834261573659,0.04455834261573659,0.008738638414202192,0.008738638414202192,0.3154565763403673,0.3154565763403673,0.3154565763403673
Llama-3.1-8B,LC20K,8,M3D_NMP_CPA,20000,128,32,0.04293336566828308,0.04293336566828308,0.04293336566828308,0.007113945833045551,0.007113945833045551,0.2634664137433548,0.2634664137433548,0.2634664137433548
Llama-3.1-8B,LC20K,32,HBM_HOST_OFFLOAD,20000,128,32,0.17549657789444445,0.17549657789444445,0.17549657789444445,0.03223705235889605,0.03223705235889605,1.174866263828262,1.174866263828262,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_RESIDENT_WAVE,20000,128,32,0.17549657789444445,0.17549657789444445,0.17549657789444445,0.03223705235889605,0.03223705235889605,1.174866263828262,1.174866263828262,1.174866263828262
Llama-3.1-8B,LC20K,32,HBM_BEST,20000,128,32,0.17549657789444445,0.17549657789444445,0.17549657789444445,0.03223705235889605,0.03223705235889605,1.174866263828262,1.174866263828262,1.174866263828262
Llama-3.1-8B,LC20K,32,M3D_GPU,20000,128,32,0.1735399924124359,0.1735399924124359,0.1735399924124359,0.030279171793816197,0.030279171793816197,1.1122140857457068,1.1122140857457068,1.1122140857457068
Llama-3.1-8B,LC20K,32,M3D_NMP_UNIFORM,20000,128,32,0.1771476182909885,0.1771476182909885,0.1771476182909885,0.033868786273906916,0.033868786273906916,1.22708174910861,1.22708174910861,1.22708174910861
Llama-3.1-8B,LC20K,32,M3D_NMP_CPA,20000,128,32,0.170945354567083,0.170945354567083,0.170945354567083,0.027667807987434855,0.027667807987434855,1.0286504439415038,1.0286504439415038,1.0286504439415038
Llama-3.1-8B,LC64K,1,HBM_HOST_OFFLOAD,64000,128,32,0.016281843078159212,0.016281843078159212,0.016281843078159212,0.007586711453744751,0.007586711453744751,0.2514705563569978,0.2514705563569978,0.2514705563569978
Llama-3.1-8B,LC64K,1,HBM_RESIDENT_WAVE,64000,128,32,0.016281843078159212,0.016281843078159212,0.016281843078159212,0.007586711453744751,0.007586711453744751,0.2514705563569978,0.2514705563569978,0.2514705563569978
Llama-3.1-8B,LC64K,1,HBM_BEST,64000,128,32,0.016281843078159212,0.016281843078159212,0.016281843078159212,0.007586711453744751,0.007586711453744751,0.2514705563569978,0.2514705563569978,0.2514705563569978
Llama-3.1-8B,LC64K,1,M3D_GPU,64000,128,32,0.016030457413531665,0.016030457413531665,0.016030457413531665,0.007335263143789876,0.007335263143789876,0.24342421043844173,0.24342421043844173,0.24342421043844173
Llama-3.1-8B,LC64K,1,M3D_NMP_UNIFORM,64000,128,32,0.01049013539750538,0.01049013539750538,0.01049013539750538,0.0017944096865100112,0.0017944096865100112,0.06611689980548607,0.06611689980548607,0.06611689980548607
Llama-3.1-8B,LC64K,1,M3D_NMP_CPA,64000,128,32,0.010350416704074989,0.010350416704074989,0.010350416704074989,0.001654675184888827,0.001654675184888827,0.06164539575360818,0.06164539575360818,0.06164539575360818
Llama-3.1-8B,LC64K,8,HBM_HOST_OFFLOAD,64000,128,32,0.09621520849606749,0.09621520849606749,0.09621520849606749,0.026654155500751835,0.026654155500751835,0.9224992947213844,0.9224992947213844,0.9224992947213844
Llama-3.1-8B,LC64K,8,HBM_RESIDENT_WAVE,64000,128,32,0.09621520849606749,0.09621520849606749,0.09621520849606749,0.026654155500751835,0.026654155500751835,0.9224992947213844,0.9224992947213844,0.9224992947213844
Llama-3.1-8B,LC64K,8,HBM_BEST,64000,128,32,0.09621520849606749,0.09621520849606749,0.09621520849606749,0.026654155500751835,0.026654155500751835,0.9224992947213844,0.9224992947213844,0.9224992947213844
Llama-3.1-8B,LC64K,8,M3D_GPU,64000,128,32,0.09462322122365541,0.09462322122365541,0.09462322122365541,0.025061776315244155,0.025061776315244155,0.8715431607851387,0.8715431607851387,0.8715431607851387
Llama-3.1-8B,LC64K,8,M3D_NMP_UNIFORM,64000,128,32,0.07965558845904275,0.07965558845904275,0.07965558845904275,0.010089768333579776,0.010089768333579776,0.39243890537187853,0.39243890537187853,0.39243890537187853
Llama-3.1-8B,LC64K,8,M3D_NMP_CPA,64000,128,32,0.0784499842311346,0.0784499842311346,0.0784499842311346,0.008884144494214444,0.008884144494214444,0.3538589425121879,0.3538589425121879,0.3538589425121879
Llama-3.1-8B,LC64K,32,HBM_HOST_OFFLOAD,64000,128,32,0.6695539573233416,0.6695539573233416,0.6695539573233416,0.3349384811260028,0.3349384811260028,11.052803022760244,11.052803022760244,11.052803022760244
Llama-3.1-8B,LC64K,32,HBM_RESIDENT_WAVE,64000,128,32,1.2761044260690149,2.740323210371369,3.5572807064683523,0.04350841407801702,0.04572159954775891,2.624874600880951,3.663715822152179,3.8769116158824017
Llama-3.1-8B,LC64K,32,HBM_BEST,64000,128,32,1.2761044260690149,2.740323210371369,3.5572807064683523,0.04350841407801702,0.04572159954775891,2.624874600880951,3.663715822152179,3.8769116158824017
Llama-3.1-8B,LC64K,32,M3D_GPU,64000,128,32,0.36407545356723897,0.36407545356723897,0.36407545356723897,0.08582972863223569,0.08582972863223569,3.024816591020845,3.024816591020845,3.024816591020845
Llama-3.1-8B,LC64K,32,M3D_NMP_UNIFORM,64000,128,32,0.31730141081445123,0.31730141081445123,0.31730141081445123,0.03903785806271432,0.03903785806271432,1.5274767327961611,1.5274767327961611,1.5274767327961611
Llama-3.1-8B,LC64K,32,M3D_NMP_CPA,64000,128,32,0.31273652548649683,0.31273652548649683,0.31273652548649683,0.03447325229461956,0.03447325229461956,1.3814093482171288,1.3814093482171288,1.3814093482171288
Llama-3.1-8B,LC126K,1,HBM_HOST_OFFLOAD,126000,128,32,0.02485862203746846,0.02485862203746846,0.02485862203746846,0.010219562458768287,0.010219562458768287,0.3416657164720366,0.3416657164720366,0.3416657164720366
Llama-3.1-8B,LC126K,1,HBM_RESIDENT_WAVE,126000,128,32,0.02485862203746846,0.02485862203746846,0.02485862203746846,0.010219562458768287,0.010219562458768287,0.3416657164720366,0.3416657164720366,0.3416657164720366
Llama-3.1-8B,LC126K,1,HBM_BEST,126000,128,32,0.02485862203746846,0.02485862203746846,0.02485862203746846,0.010219562458768287,0.010219562458768287,0.3416657164720366,0.3416657164720366,0.3416657164720366
