model,context,batch,path,H,P,G,request_id,wave,queue_delay,admission_delay,prefill_latency,first_decode_step,decode_duration,completion_time
Llama-3.1-8B,LC20K,1,HBM_HOST_OFFLOAD,20000,128,32,0,0,0.0,0.0,0.006049528062846995,0.005717578334202602,0.18298356950252345,0.18903309756537046
Llama-3.1-8B,LC20K,1,HBM_RESIDENT_WAVE,20000,128,32,0,0,0.0,0.0,0.006049528062846995,0.005717578334202602,0.18298356950252345,0.18903309756537046
Llama-3.1-8B,LC20K,1,HBM_BEST,20000,128,32,0,0,0.0,0.0,0.006049528062846995,0.005717578334202602,0.18298356950252345,0.18903309756537046
Llama-3.1-8B,LC20K,1,M3D_GPU,20000,128,32,0,0,0.0,0.0,0.005865050598924187,0.005598596051507207,0.17918103014465045,0.18504608074357465
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,20000,128,32,0,0,0.0,0.0,0.005498659504183582,0.0016301222470886483,0.05216624444428776,0.05766490394847134
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,20000,128,32,0,0,0.0,0.0,0.005498659504183582,0.0014410936841650986,0.04611752843984707,0.05161618794403065
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,0,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,1,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,2,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,3,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,4,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,5,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,6,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_HOST_OFFLOAD,20000,128,32,7,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,0,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,1,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,2,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,3,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,4,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,5,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,6,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
Llama-3.1-8B,LC20K,8,HBM_RESIDENT_WAVE,20000,128,32,7,0,0.0,0.0,0.03582014708589715,0.011701090544414627,0.37460339988558955,0.4104235469714867
