model,context,batch,placement,transfer_count,PORT_SERIALIZATION,GLOBAL_THERMAL_CAP,ROUTE_STARTUP,active_ports,max_port_bytes,mean_active_port_bytes,max_mean_load_ratio,max_port_utilization,mean_active_port_utilization,boundary_s,cap_only_s,port_serialization_s,route_startup_s,PORT_SERIALIZATION_boundary_s,GLOBAL_THERMAL_CAP_boundary_s,active_ports_transfer_mean,max_port_bytes_transfer_mean,mean_active_port_bytes_transfer_mean,max_mean_load_ratio_transfer_mean,max_port_utilization_transfer_mean,mean_active_port_utilization_transfer_mean,ROUTE_STARTUP_boundary_s,phase_active_external_ports,phase_max_port_bytes,phase_mean_active_port_bytes,phase_port_max_mean_ratio,phase_max_port_utilization,phase_mean_active_port_utilization
Llama-3.1-8B,LC20K,1,old,11328,7200,4128,0,46518784.0,171222065.23076922,155013700.51237446,12470.63149560792,8220.392662438664,7427.036012987151,0.2317889889502112,0.166321130028935,0.17122206523076974,6.789509688035335e-05,0.12617929212293036,0.10560969682728265,4106.531073446327,15114.942199043893,13684.119042405937,1.1008678933269704,0.7256702562181024,0.6556352412594589,0.0,15900,52925124.92307696,35521418.78742138,1.4899496340449798,0.22764758167394483,0.15278877652791345
Llama-3.1-8B,LC20K,1,new,11328,4128,7200,0,60670886.0,108000702.3589743,95599227.64858852,13251.714185545967,8153.880473862859,7357.228629756026,0.17858541369129902,0.166321130028935,0.10800070235897584,6.045191927694148e-05,0.01732477274770764,0.16126064094359627,5355.83386299435,9533.960307112844,8439.197355984157,1.1698194019726313,0.7197987706446732,0.6494728663273328,0.0,13631,51757056.0,41434271.78636931,1.2491363735521614,0.28885343475376396,0.23124251352344596
Llama-3.1-8B,LC20K,8,old,11328,7200,4128,0,47975960.0,223652522.66667235,207982044.02394044,12369.660177950345,8195.758814673516,7393.059800275968,0.40595147781344676,0.3404921051165818,0.22365252266666105,6.924014646044221e-05,0.12617999233092064,0.2797714854825183,4235.165960451977,19743.33709981218,18359.996824147285,1.0919544648614359,0.7234956580749926,0.652635928696678,0.0,15900,109946840.61538485,72719339.13358493,1.5119339906735572,0.2676289192426046,0.17701098122900033
Llama-3.1-8B,LC20K,8,new,11328,4128,7200,0,60994160.0,160953790.3589742,148736311.05991086,13180.989619342736,8132.196425252528,7357.122776929173,0.35274807013072806,0.3404921051165818,0.16095379035896365,6.160697161416764e-05,0.01732564053188053,0.3354224295988606,5384.3714689265535,14208.491380559162,13129.970962209645,1.1635760610295494,0.7178845714382528,0.6494635219746798,0.0,15900,105834837.33333334,72719339.1335849,1.4553877770934567,0.29603073682101483,0.2034033413501764
Llama-3.1-8B,LC64K,1,old,11328,7200,4128,0,46515536.0,187999235.2820512,171631318.48566326,12334.09193751426,8180.0192028881,7429.978996753589,0.28613555678493735,0.2206677551425355,0.18799923528205148,6.78371904745331e-05,0.12617923484405733,0.15995632194087675,4106.244350282486,16595.97769085904,15151.069781573382,1.0888146131280243,0.7221062149442179,0.655895038555225,0.0,15900,71083795.69230771,47128297.78113209,1.5083039073982056,0.24678856673632757,0.16361992137382508
Llama-3.1-8B,LC64K,1,new,11328,4128,7200,0,60670840.0,124778049.6410256,112180759.57132716,13215.966865132765,8143.607671098405,7358.628131241285,0.23293131081458746,0.2206677551425355,0.12477804964101978,5.915144697662559e-05,0.017324044757401243,0.21560726605719113,5355.829802259887,11015.011444299576,9902.962532779587,1.1666637416254206,0.7188919201181502,0.6495964098906502,0.0,14620,68740949.33333334,51254441.49931601,1.3411705858554852,0.292853115772039,0.21835635142955237
Llama-3.1-8B,LC64K,8,old,11328,7200,4128,0,47941920.0,356821674.6666627,340893185.212207,12330.423198208438,8196.813905740664,7419.771920010316,0.8407243852888083,0.7752651060253434,0.3568216746666218,6.894316848759274e-05,0.12617989889751474,0.7145444863912938,4232.161016949152,31499.088512240705,30092.97185842223,1.0884907484294173,0.7235887981762592,0.654993990113905,0.0,15900,239018752.0000003,165574371.08327043,1.4435733648645015,0.2794877083709264,0.1936082468501073
Llama-3.1-8B,LC64K,8,new,11328,4128,7200,0,60993816.0,293677948.71794677,281372295.14313656,14134.67593641345,8168.872634118027,6953.680764948653,0.7875999637944858,0.7752651060253434,0.2936779487179401,6.139690894679803e-05,0.017404533286851025,0.7701954305076407,5384.341101694915,25924.960162248124,24838.655997805134,1.2477644717879106,0.7211222311191762,0.613848937583744,0.0,15900,238236757.3333333,165574371.08327043,1.4388504439103056,0.2970618911053886,0.20645779577902174
Llama-3.1-8B,LC126K,1,old,11328,7200,4128,0,46514000.0,211067933.53846133,195002408.75680992,12278.410137377337,8163.719523179652,7431.034193311069,0.3627149410990178,0.2972470905298955,0.2110679335384735,6.787873313995215e-05,0.12617928377078852,0.23653565732821938,4106.108757062147,18632.409387222928,17214.195688277712,1.083899199980344,0.7206673307891642,0.6559881879688444,0.0,15900,91865386.66666667,63483445.45408805,1.4470762575907252,0.25078757057332984,0.17330639574646367
Llama-3.1-8B,LC126K,1,new,11328,4128,7200,0,60670890.0,147846495.1794871,135544927.51672253,13184.928755805808,8133.523252660014,7357.551171125849,0.3095115701258468,0.2972470905298955,0.147846495179489,6.059389022934604e-05,0.01732496868130189,0.29218660144455294,5355.834216101695,13051.42083152252,11965.477358467737,1.1639237955337047,0.7180016995639137,0.6495013392589909,0.0,14651,91717632.0,68895418.92840078,1.3312587894315162,0.2930259930829149,0.22011196876908132
Llama-3.1-8B,LC126K,8,old,11328,7200,4128,0,47869548.0,543510061.9487238,527728622.3498352,14176.629381108647,8431.043378299888,6895.18723889898,1.4534015580202833,1.3878997891241356,0.5435100619486679,6.913040026182784e-05,0.1262223885301586,1.3271791694900712,4225.7722457627115,47979.34868897632,46586.21313116483,1.2514679891515401,0.7442658349487895,0.6086853141683422,0.0,15900,425659431.38461566,296415552.46691823,1.4360225967971834,0.28733941887360787,0.20009393968762895
Llama-3.1-8B,LC126K,8,new,11328,4128,7200,0,60993866.0,480848764.71796584,468288241.638475,14136.111981841088,8169.175276615018,6953.54382707859,1.4002345030813328,1.3878997891241356,0.480848764717967,6.154126308435614e-05,0.017404389474851477,1.3828301136064538,5384.345515536723,42447.80761987693,41339.00438192752,1.2478912413348417,0.7211489474412975,0.6138368491418247,0.0,15900,425163106.46153843,296415552.46691823,1.434348174119471,0.2977008526184115,0.20755131703023674
Llama-3.1-70B,LC20K,1,old,28224,10272,17952,0,150942216.0,992582058.6667329,814520605.5597398,33480.246982889075,19173.307359416416,16707.16217597214,1.515272930012834,1.3720958831776673,0.9925820586664161,0.00016972834287861557,0.1684761727946133,1.346796757217991,5348.009353741497,35168.01511716032,28859.14843961663,1.1862332406068976,0.6793263661924751,0.5919487732416432,0.0,15900,421594197.33333325,293040291.84,1.4386902042928749,0.27763898366551626,0.19298038093056838
Llama-3.1-70B,LC20K,1,new,28224,10272,17952,0,182600180.0,593356438.9743587,556717341.7519239,31043.194664692717,16532.361336996877,15149.110020054286,1.4319209799320372,1.3720958831776673,0.593356438974286,0.00015703671399560677,0.08512422271410572,1.346796757217991,6469.6775793650795,21023.116460259305,19724.96250538279,1.0998864322807793,0.5857554328584494,0.5367456781481819,0.0,15900,420585344.0,293040291.84,1.435247492278774,0.29311339346985255,0.20422498213494175
Llama-3.1-70B,LC20K,8,old,28224,10272,17952,0,154544096.0,1123658410.6667266,947149866.7409827,33174.76586136597,19115.914728509433,16659.921991095183,1.9506791534243455,1.8075230507077917,1.123658410666609,0.0001729725209944128,0.16847792456798033,1.7822012288563387,5475.626984126984,39812.16024187665,33558.314439518945,1.1754097881719803,0.6772928971268932,0.5902750138568305,0.0,15900,555791123.6923097,386035035.00075483,1.4397427002738832,0.2814585103467273,0.19549222947488135
Llama-3.1-70B,LC20K,8,new,28224,10272,17952,0,183407840.0,725739158.9743595,689560050.2801843,30866.383249184728,16478.415647009464,15149.109819524469,1.8673254548560838,1.8075230507077917,0.7257391589744985,0.00015732816589432403,0.08512422599986728,1.7822012288563387,6498.293650793651,25713.547299261605,24431.69112387274,1.0936218554841528,0.5838440918016392,0.5367456710432422,0.0,15900,554758222.7692308,386035035.0007547,1.4370670340015803,0.2933561713075498,0.2041353425878025
Llama-3.1-70B,LC64K,1,old,28224,10272,17952,0,150951136.0,1034525669.7436604,855842988.5905205,33153.755974560605,19086.970027544798,16719.610925926387,1.6511397795325575,1.5079624459617371,1.0345256697434233,0.00016938369401927318,0.16847645953031162,1.482663320002069,5348.325396825397,36654.112448400665,30323.235139970257,1.1746653902551234,0.6762673620870464,0.5923898428970517,0.0,15900,477627477.33333313,322057489.32427675,1.4830503657451493,0.28766294580429175,0.19396707788798348
Llama-3.1-70B,LC64K,1,new,28224,10272,17952,0,182600204.0,635299744.8205122,598170329.7782362,30963.340786737168,16506.612948950988,15146.106015773417,1.567788244703884,1.5079624459617371,0.6352997448205072,0.00015718079680561374,0.08512492470191728,1.482663320002069,6469.678429705215,22509.20297691724,21193.676650305984,1.0970571423872295,0.5848431458670276,0.5366392437561444,0.0,12517,466485248.0,409100749.40129423,1.140269844733079,0.29584970610893907,0.25945587132332987
