operator,old_boundary_s,new_boundary_s,cap_only_s
TOKEN_EMBED_LOOKUP,0.0002621647687281805,0.0002621647687281805,7.719691067272461e-08
Q,0.016782577624204518,0.010118353475695263,0.010118353475695263
K,0.01678242032849661,0.008391845884773479,0.0025295883689238157
V,0.016782419173078007,0.008391845884773479,0.0025295883689238157
KV_APPEND,6.15190328758723e-05,0.0002789162094319998,1.2351505707636293e-06
ATTENTION_QK,0.012440127761088268,0.012440127761088268,0.012440127761088268
ATTENTION_AV,0.012440127761088268,0.012440127761088268,0.012440127761088268
O,0.016782575463364285,0.010118353475695263,0.010118353475695263
FFN_GATE,0.03541423716493357,0.03541423716493357,0.03541423716493357
FFN_UP,0.03541423716493357,0.03541423716493357,0.03541423716493357
FFN_DOWN,0.058725615732186744,0.03541423716493357,0.03541423716493357
LM_HEAD,0.00990096697524096,0.00990096697524096,0.00990096697524096
