model,context,batch,decode_context,boundary_bytes,array_including_MIV_s,boundary_active_service_s,gpu_related_service_s,decode_step_s
Llama-3.1-8B,LC20K,1,20128,17647673344.0,0.0008430821510715051,0.007242807617755675,0.0037136053341666614,0.007264610212720924
Llama-3.1-8B,LC20K,1,20129,17647804416.0,0.0008430821510715051,0.007242846216211031,0.0037136343474999944,0.00726464966450961
Llama-3.1-8B,LC20K,1,20130,17647935488.0,0.0008430821510715051,0.007242884814666364,0.0037136633608333284,0.007264689116298283
Llama-3.1-8B,LC20K,1,20131,17648066560.0,0.0008430821510715051,0.00724292341312169,0.003713692374166661,0.007264728568086937
Llama-3.1-8B,LC20K,1,20132,17648197632.0,0.0008430821510715051,0.007242962011577023,0.0037137213874999923,0.007264768019875609
Llama-3.1-8B,LC20K,1,20133,17648328704.0,0.0008430821510715051,0.007243000610032373,0.0037137504008333253,0.007264807471664287
Llama-3.1-8B,LC20K,1,20134,17648459776.0,0.0008430821510715051,0.007243039208487706,0.003713779414166659,0.00726484692345296
Llama-3.1-8B,LC20K,1,20135,17648590848.0,0.0008430821510715051,0.00724307780694303,0.0037138084274999862,0.00726488637524161
Llama-3.1-8B,LC20K,1,20136,17648721920.0,0.0008430821510715051,0.007243116405398363,0.003713837440833319,0.007264925827030285
Llama-3.1-8B,LC20K,1,20137,17648852992.0,0.0008430821510715051,0.0072431550038537205,0.0037138664541666554,0.00726496527881897
Llama-3.1-8B,LC20K,1,20138,17648984064.0,0.0008430821510715051,0.007243193602309045,0.0037138954674999867,0.007265004730607634
Llama-3.1-8B,LC20K,1,20139,17649115136.0,0.0008430821510715051,0.00724323220076438,0.00371392448083332,0.007265044182396294
Llama-3.1-8B,LC20K,1,20140,17649246208.0,0.0008430821510715051,0.007243270799219728,0.003713953494166653,0.007265083634184984
Llama-3.1-8B,LC20K,1,20141,17649377280.0,0.0008430821510715051,0.007243309397675063,0.0037139825074999984,0.007265123085973647
Llama-3.1-8B,LC20K,1,20142,17649508352.0,0.0008430821510715051,0.007243347996130387,0.0037140115208333315,0.0072651625377623
Llama-3.1-8B,LC20K,1,20143,17649639424.0,0.0008430821510715051,0.007243387597269134,0.0037140405341666645,0.007265201989550973
Llama-3.1-8B,LC20K,1,20144,17649770496.0,0.0008430821510715051,0.0072434261957244825,0.0037140695474999963,0.007265241441339651
Llama-3.1-8B,LC20K,1,20145,17649901568.0,0.0008430821510715051,0.0072434647941798155,0.003714098560833329,0.007265280893128324
Llama-3.1-8B,LC20K,1,20146,17650032640.0,0.0008430821510715051,0.0072435033926351484,0.003714127574166666,0.007265320344916984
Llama-3.1-8B,LC20K,1,20147,17650163712.0,0.0008430821510715051,0.007243541991090497,0.003714156587499993,0.007265359796705671
Llama-3.1-8B,LC20K,1,20148,17650294784.0,0.0008430821510715051,0.007243580589545832,0.0037141856008333263,0.0072653992484943315
Llama-3.1-8B,LC20K,1,20149,17650425856.0,0.0008430821510715051,0.007243619188001156,0.0037142146141666576,0.007265438700282996
Llama-3.1-8B,LC20K,1,20150,17650556928.0,0.0008430821510715051,0.007243656116713742,0.0037142436274999907,0.00726547815207166
Llama-3.1-8B,LC20K,1,20151,17650688000.0,0.0008430821510715051,0.007243694715169091,0.0037142726408333233,0.007265517603860348
Llama-3.1-8B,LC20K,1,20152,17650819072.0,0.0008430821510715051,0.007243733313624424,0.0037143016541666568,0.00726555705564901
Llama-3.1-8B,LC20K,1,20153,17650950144.0,0.0008430821510715051,0.00724377191207975,0.0037143306674999902,0.007265596507437664
Llama-3.1-8B,LC20K,1,20154,17651081216.0,0.0008430821510715051,0.007243810510535105,0.0037143596808333233,0.007265635959226361
Llama-3.1-8B,LC20K,1,20155,17651212288.0,0.0008430821510715051,0.007243849108990438,0.003714388694166658,0.007265675411015022
Llama-3.1-8B,LC20K,1,20156,17651343360.0,0.0008430821510715051,0.007243887707445764,0.003714417707499991,0.007265714862803687
Llama-3.1-8B,LC20K,1,20157,17651474432.0,0.0008430821510715051,0.007243926305901097,0.0037144467208333246,0.007265754314592348
Llama-3.1-8B,LC20K,1,20158,17651605504.0,0.0008430821510715051,0.007243964904356448,0.0037144757341666516,0.007265793766381035
Llama-3.1-8B,LC20K,1,20159,17651736576.0,0.0008430821510715051,0.007244003502811781,0.0037145047474999846,0.007265833218169695
Llama-3.1-8B,LC20K,8,20128,36116168704.0,0.0010992433501620343,0.012681197473208635,0.007820255579999985,0.012833177865996869
Llama-3.1-8B,LC20K,8,20129,36117217280.0,0.0010992433501620343,0.012681506260851315,0.00782048768666665,0.012833493480306222
Llama-3.1-8B,LC20K,8,20130,36118265856.0,0.0010992433501620343,0.012681815048494,0.007820719793333339,0.012833809094615579
Llama-3.1-8B,LC20K,8,20131,36119314432.0,0.0010992433501620343,0.012682123836136696,0.007820951899999998,0.012834124708924942
Llama-3.1-8B,LC20K,8,20132,36120363008.0,0.0010992433501620343,0.012682432623779381,0.007821184006666659,0.012834440323234279
Llama-3.1-8B,LC20K,8,20133,36121411584.0,0.0010992433501620343,0.0126827414114221,0.007821416113333327,0.012834755937543671
