model,cached_history,batch,prefill_tokens,decode_tokens,reference_tokens_per_s,reference_t_prefill,reference_t_decode,reference_t_e2e,reference_tokens_per_j,achieved_tokens_per_s,achieved_t_prefill,achieved_t_decode,achieved_t_e2e,achieved_tokens_per_j,total_relevant_memory_bytes,decode_memory_bytes,boundary_bytes,prefill_memory_bytes,peak_bandwidth_cap_Bps,achieved_bandwidth_Bps,bandwidth_utilization_pct,bandwidth_denominator,decode_boundary_service_s,decode_array_including_MIV_s,decode_MIV_service_s,MIV_status,decode_gpu_related_service_s,GPU_service_status,prefill_array_service_s,prefill_boundary_service_s,prefill_components_status,bottleneck,throughput_ratio,throughput_degradation_pct,decode_latency_increase_pct,E2E_latency_increase_pct,tokens_per_j_change_pct,checkpoint_reused,model_status
Llama-3.1-8B,20000,1,128,32,186.2416435670891,0.005498659504183582,0.16632113002893856,0.17181978953312213,0.4483873193426047,133.32136169622925,0.007534455987532261,0.2324870948942501,0.24002155088178237,0.41877251776472096,583462816256.0,564790558720.0,564790558720.0,18672257536.0,3395783558118.7485,2436658278194.9946,71.75540597601852,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,0.2317889889502193,0.02697862883428815,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,0.11884976130666636,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.715851509591105,28.4148490408895,39.782055866142315,39.69377539920267,-6.604736641817377,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-8B,20000,8,128,32,680.2861147935259,0.03582014708589715,0.34049210511654376,0.3763122522024409,1.6190327015413575,573.1706218275107,0.03582014708589715,0.4108182364093413,0.44663838349523843,1.5674438230060623,1200550334464.0,1156237492224.0,1156237492224.0,44312842240.0,3395783558118.7485,2848215994807.468,83.87507466422178,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,0.405951477813451,0.03517578720518509,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,0.25036330346666646,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.8425434671725941,15.74565328274059,20.654261944994666,18.6882385256393,-3.1864012682499387,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-8B,64000,1,128,32,139.51650425891285,0.008695789837165714,0.2206677551425367,0.2293635449797024,0.3338998438690535,107.64697395244428,0.009232787797221143,0.28803520613762734,0.2972679939348485,0.3172650137601378,773779360256.0,749339934720.0,749339934720.0,24439425536.0,3395783558118.7485,2618828443202.5205,77.12000480541056,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,0.2861355567849435,0.029601655877786265,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,0.15970053464000034,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.7715716110021972,22.842838899780283,30.528905753165315,29.605597943280525,-4.98198199680483,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-8B,64000,8,128,32,303.01903138136817,0.06956631869732571,0.7752651060253288,0.8448314247226545,0.7221708927808096,276.82576587195143,0.06956631869732571,0.8552030906589384,0.9247694093562642,0.7103176404510438,2723082686464.0,2632632500224.0,2632632500224.0,90450186240.0,3395783558118.7485,3131385917061.9624,92.21394306993872,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,0.8407243852888244,0.05599608031037135,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,0.57716949013333,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.9135590085216434,8.64409914783566,10.311051537381832,9.4620041696309,-1.6413362056345582,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-8B,126000,1,128,32,102.6013256932336,0.014639717791451429,0.2972470905298795,0.311886808321331,0.24535254689842126,84.00112208652637,0.014639717791451429,0.36630757440112205,0.3809472921925735,0.23610129926985385,1041952672256.0,1009386782720.0,1009386782720.0,32565889536.0,3395783558118.7485,2782865187911.972,81.95060551661511,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,0.3627149410990185,0.03320843210803812,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,0.2172629879733344,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.8187138082180365,18.12861917819635,23.23335907111277,22.14280374439268,-3.770593680609935,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-8B,126000,8,128,32,170.09768633883738,0.11711774233161143,1.3878997891240712,1.5050175314556826,0.40558579069887896,160.15017062559164,0.11711774233161143,1.4813819595418987,1.59849970187351,0.4011888347874582,4868469182464.0,4713007284224.0,4713007284224.0,155461898240.0,3395783558118.7485,3242742694347.9736,95.49320911796985,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,1.4534015580202104,0.08517774307732646,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,1.037669116799997,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.9415188064731809,5.848119352681913,6.735512977981339,6.211367539845836,-1.0841000873931472,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-70B,20000,1,128,32,22.591411179105723,0.04437162946730156,1.3720958831773298,1.4164675126446313,0.05444168704274346,20.416982832914854,0.0488248264811772,1.5184978412154329,1.56732266769661,0.053426995080218746,4810017090048.0,4659340640256.0,4659340640256.0,150676449792.0,3395783558118.7485,3074918417646.179,90.55107208745873,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,1.515272930012459,0.15572094571169712,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,0.9766045901066749,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.90374977778272,9.625022221727997,10.669950973038667,10.650096363334383,-1.8638143261946571,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-70B,20000,8,128,32,122.79600100598881,0.2772353934014171,1.807523050707156,2.084758444108573,0.2912457711427745,113.6808892960988,0.2772353934014171,1.9746822471547707,2.251917640556188,0.28720399612029646,6370344652800.0,6137957056512.0,6137957056512.0,232387596288.0,3395783558118.7485,3146574384484.716,92.6612173782921,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,1.950679153423908,0.1762137969909859,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,1.3260100405333275,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.9257702886477104,7.422971135228962,9.247970385894511,8.018156584039682,-1.387754063044122,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-70B,64000,1,128,32,20.464175758246732,0.05574578143232,1.5079624459613252,1.5637082273936451,0.04898751473733808,18.64673966886781,0.05574578143232,1.6603719189411403,1.7161177003734602,0.04815607610101421,5285808450048.0,5120714080256.0,5120714080256.0,165094369792.0,3395783558118.7485,3101320762623.0977,91.32857585131892,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,1.6511397795321563,0.16227851332044266,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,1.084738990106676,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.9111893823211265,8.881061767887354,10.10698067369007,9.74666950712717,-1.6972460039703763,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-70B,64000,8,128,32,76.63702819204136,0.44596625145856,2.8944555529791183,3.3404218044376783,0.18178172226592632,71.99827517203846,0.44596625145856,3.1096744828269913,3.5556407342855514,0.17974894967085928,10176675532800.0,9828944576512.0,9828944576512.0,347730956288.0,3395783558118.7485,3235747584324.3613,95.28721512854469,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,3.0376116555347217,0.2282645422803007,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,2.191085240533335,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.9394711260413329,6.052887395866713,7.435558290966293,6.442866872739228,-1.118249167038543,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
Llama-3.1-70B,126000,1,128,32,17.928414250244085,0.08546542120374857,1.6994107844296824,1.784876205633431,0.04286917923872568,16.446094355995715,0.08546542120374857,1.8602853027870712,1.9457507239908198,0.042196221589214114,5956241730048.0,5770831200256.0,5770831200256.0,185410529792.0,3395783558118.7485,3131916303821.171,92.22956205006896,SUM_DECODE_OPERATOR_BOUNDARY_ACTIVE_SERVICE_SECONDS,1.8425879367258813,0.17129545389607312,,INCLUDED_IN_ARRAY_SERVICE; not independently checkpointed,1.2371101901066763,GPU_COMPUTE label includes GPU memory roofline and small ops,,,NOT_SAVED_IN_RAW_CHECKPOINT; total GPU-only Prefill timing and ledger reused,BOUNDARY,0.9173200778630944,8.267992213690556,9.466488022281073,9.013203148186765,-1.5697936407041202,True,EXISTING_GPU_PHYSICAL_CHAIN_WITH_FROZEN_RESIDENT_MAPPING
