architecture,bandwidth_TBps,point_kind,GPU_static_W,GPU_dynamic_W,array_read_W,read_peripheral_W,miv_effective_W,feol_route_effective_W,interface_W,total_memory_side_W,MAC_W,SRAM_W,NMP_router_W,NMP_NoC_W,reduction_W,NMP_unresolved_W,total_M3D_W,total_package_W
orthogonal_m3d_igzo,0.0,ORIGINAL_COARSE_GRID,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
orthogonal_m3d_igzo,0.2,ORIGINAL_COARSE_GRID,74.0,18.688000000000002,0.29488,0.064,0.003913379378906251,0.2672901013523864,0.8,1.4300834807312928,0.0,0.0,0.0,0.0,0.0,0.0,1.4300834807312925,94.1180834807313
orthogonal_m3d_igzo,0.4,ORIGINAL_COARSE_GRID,74.0,37.376000000000005,0.58976,0.128,0.007826758757812502,0.5345802027047728,1.6,2.8601669614625855,0.0,0.0,0.0,0.0,0.0,0.0,2.860166961462585,114.23616696146259
orthogonal_m3d_igzo,0.6,ORIGINAL_COARSE_GRID,74.0,56.06399999999999,0.88464,0.192,0.011740138136718753,0.8018703040571591,2.4,4.290250442193877,0.0,0.0,0.0,0.0,0.0,0.0,4.290250442193877,134.35425044219386
orthogonal_m3d_igzo,0.8,ORIGINAL_COARSE_GRID,74.0,74.75200000000001,1.17952,0.256,0.015653517515625003,1.0691604054095456,3.2,5.720333922925171,0.0,0.0,0.0,0.0,0.0,0.0,5.72033392292517,154.47233392292517
orthogonal_m3d_igzo,1.0,ORIGINAL_COARSE_GRID,74.0,93.44,1.4744,0.32,0.019566896894531255,1.336450506761932,4.0,7.150417403656463,0.0,0.0,0.0,0.0,0.0,0.0,7.150417403656463,174.59041740365646
orthogonal_m3d_igzo,1.2,ORIGINAL_COARSE_GRID,74.0,112.12799999999999,1.76928,0.384,0.023480276273437507,1.6037406081143182,4.8,8.580500884387755,0.0,0.0,0.0,0.0,0.0,0.0,8.580500884387755,194.70850088438775
orthogonal_m3d_igzo,1.4,ORIGINAL_COARSE_GRID,74.0,130.816,2.0641599999999998,0.44799999999999995,0.027393655652343755,1.8710307094667045,5.6,10.010584365119048,0.0,0.0,0.0,0.0,0.0,0.0,10.01058436511905,214.82658436511906
orthogonal_m3d_igzo,1.6,ORIGINAL_COARSE_GRID,74.0,149.504,2.35904,0.512,0.031307035031250006,2.138320810819091,6.4,11.440667845850342,0.0,0.0,0.0,0.0,0.0,0.0,11.44066784585034,234.94466784585032
orthogonal_m3d_igzo,1.8,ORIGINAL_COARSE_GRID,74.0,168.192,2.65392,0.5760000000000001,0.03522041441015626,2.4056109121714773,7.2,12.870751326581633,0.0,0.0,0.0,0.0,0.0,0.0,12.870751326581633,255.06275132658163
orthogonal_m3d_igzo,2.0,ORIGINAL_COARSE_GRID,74.0,186.88,2.9488,0.64,0.03913379378906251,2.672901013523864,8.0,14.300834807312926,0.0,0.0,0.0,0.0,0.0,0.0,14.300834807312926,275.1808348073129
orthogonal_m3d_igzo,2.2,ORIGINAL_COARSE_GRID,74.0,205.56799999999998,3.24368,0.7040000000000001,0.043047173167968765,2.9401911148762503,8.8,15.73091828804422,0.0,0.0,0.0,0.0,0.0,0.0,15.730918288044219,295.2989182880442
orthogonal_m3d_igzo,2.4,ORIGINAL_COARSE_GRID,74.0,224.25599999999997,3.53856,0.768,0.04696055254687501,3.2074812162286364,9.6,17.16100176877551,0.0,0.0,0.0,0.0,0.0,0.0,17.16100176877551,315.4170017687755
orthogonal_m3d_igzo,2.6,ORIGINAL_COARSE_GRID,74.0,242.94399999999996,3.83344,0.8320000000000001,0.05087393192578126,3.474771317581023,10.4,18.591085249506804,0.0,0.0,0.0,0.0,0.0,0.0,18.591085249506804,335.5350852495068
orthogonal_m3d_igzo,2.8,ORIGINAL_COARSE_GRID,74.0,261.632,4.1283199999999995,0.8959999999999999,0.05478731130468751,3.742061418933409,11.2,20.021168730238095,0.0,0.0,0.0,0.0,0.0,0.0,20.0211687302381,355.6531687302381
orthogonal_m3d_igzo,3.0,ORIGINAL_COARSE_GRID,74.0,280.32,4.4232,0.96,0.058700690683593765,4.0093515202857954,12.0,21.45125221096939,0.0,0.0,0.0,0.0,0.0,0.0,21.45125221096939,375.7712522109694
