model,context,batch,path,HBM_only_fit,E2E_tokens_per_s,mean_TPOT_ms,TTFT_s
Llama-3.1-8B,LC20K,1,HBM_GPU,True,169.2825246591218,5.718236546953858,0.011767106397049597
Llama-3.1-8B,LC20K,1,M3D_GPU,True,171.38374894809758,5.599407192020326,0.013133052039039469
Llama-3.1-8B,LC20K,1,M3D_NMP_UNIFORM,True,554.9302575548346,1.6301951388839926,0.007128781751272231
Llama-3.1-8B,LC20K,1,M3D_NMP_CPA,True,619.9605448333144,1.441172763745221,0.006939753188348681
Llama-3.1-70B,LC20K,8,HBM_GPU,False,65.77357913081305,112.96577927655281,0.3901035785962098
Llama-3.1-70B,LC20K,8,M3D_GPU,False,118.06433297972795,59.09606191090993,0.33631892111385914
Llama-3.1-70B,LC20K,8,M3D_NMP_UNIFORM,False,149.87042720972357,44.71583744578137,0.32194942998788484
Llama-3.1-70B,LC20K,8,M3D_NMP_CPA,False,171.75548429052273,37.91423706291012,0.31514613210758435
Llama-3.1-405B,LC20K,1,HBM_GPU,False,0.5999063102203226,1616.4146408031902,3.2327895356295335
Llama-3.1-405B,LC20K,1,M3D_GPU,False,3.920245488841341,246.9818402161863,0.5063158503226548
Llama-3.1-405B,LC20K,1,M3D_NMP_UNIFORM,False,25.845449193230625,31.025626682023173,0.2763338677372539
Llama-3.1-405B,LC20K,1,M3D_NMP_CPA,False,28.784521354954528,27.07498944871086,0.2723824417205926
