model,context,batch,HBM_only_fit,peak_state_GB,Grace_resident_GB
Llama-3.1-8B,LC20K,1,True,18.713944064,0.0
Llama-3.1-8B,LC20K,8,True,37.28789504,0.0
Llama-3.1-8B,LC64K,1,True,24.481112064,0.0
Llama-3.1-8B,LC64K,8,True,83.42523904,0.0
Llama-3.1-8B,LC126K,1,True,32.607576064,0.0
Llama-3.1-8B,LC126K,8,False,148.43695104,3.4818048
Llama-3.1-70B,LC20K,1,False,147.735461888,2.780315648
Llama-3.1-70B,LC20K,8,False,194.13180416,49.17665792
Llama-3.1-70B,LC64K,1,False,162.153381888,17.198235648
Llama-3.1-70B,LC64K,8,False,309.47516416,164.52001792
Llama-3.1-70B,LC126K,1,False,182.469541888,37.514395648
Llama-3.1-70B,LC126K,8,False,472.00444416,327.04929792
Llama-3.1-405B,LC20K,1,False,822.152167424,677.197021184
Llama-3.1-405B,LC20K,8,False,895.269896192,750.314749952
Llama-3.1-405B,LC64K,1,False,844.860391424,699.905245184
Llama-3.1-405B,LC64K,8,False,1076.935688192,931.980541952
Llama-3.1-405B,LC126K,1,False,876.858343424,731.903197184
Llama-3.1-405B,LC126K,8,False,1332.919304192,1187.964157952
