subset,cases,numerator,denominator,metric,geometric_mean_ratio
HBM_RESIDENT,5,M3D_GPU,HBM_GPU,tokens_per_s,1.0374688632775901
HBM_RESIDENT,5,M3D_GPU,HBM_GPU,tokens_per_J,1.1386675204992276
HBM_RESIDENT,5,M3D_NMP_UNIFORM,HBM_GPU,tokens_per_s,2.772429406369598
HBM_RESIDENT,5,M3D_NMP_UNIFORM,HBM_GPU,tokens_per_J,3.2281489682191284
HBM_RESIDENT,5,M3D_NMP_CPA,HBM_GPU,tokens_per_s,3.069207465704771
HBM_RESIDENT,5,M3D_NMP_CPA,HBM_GPU,tokens_per_J,3.6524634186380522
HBM_RESIDENT,5,M3D_NMP_UNIFORM,M3D_GPU,tokens_per_s,2.6723013138060736
HBM_RESIDENT,5,M3D_NMP_UNIFORM,M3D_GPU,tokens_per_J,2.8350233146228727
HBM_RESIDENT,5,M3D_NMP_CPA,M3D_GPU,tokens_per_s,2.9583610403578535
HBM_RESIDENT,5,M3D_NMP_CPA,M3D_GPU,tokens_per_J,3.2076645314663046
HBM_OVERFLOW,13,M3D_GPU,HBM_GPU,tokens_per_s,3.1449322057523132
HBM_OVERFLOW,13,M3D_GPU,HBM_GPU,tokens_per_J,1.6804926448774828
HBM_OVERFLOW,13,M3D_NMP_UNIFORM,HBM_GPU,tokens_per_s,9.36506405154489
HBM_OVERFLOW,13,M3D_NMP_UNIFORM,HBM_GPU,tokens_per_J,4.732207734104103
HBM_OVERFLOW,13,M3D_NMP_CPA,HBM_GPU,tokens_per_s,10.145443940577989
HBM_OVERFLOW,13,M3D_NMP_CPA,HBM_GPU,tokens_per_J,5.247518684281016
HBM_OVERFLOW,13,M3D_NMP_UNIFORM,M3D_GPU,tokens_per_s,2.9778270051149263
HBM_OVERFLOW,13,M3D_NMP_UNIFORM,M3D_GPU,tokens_per_J,2.815964561659302
HBM_OVERFLOW,13,M3D_NMP_CPA,M3D_GPU,tokens_per_s,3.2259658640721174
HBM_OVERFLOW,13,M3D_NMP_CPA,M3D_GPU,tokens_per_J,3.122607349860546
ALL,18,M3D_GPU,HBM_GPU,tokens_per_s,2.311125077525886
ALL,18,M3D_GPU,HBM_GPU,tokens_per_J,1.5082771390249425
ALL,18,M3D_NMP_UNIFORM,HBM_GPU,tokens_per_s,6.678262087373782
ALL,18,M3D_NMP_UNIFORM,HBM_GPU,tokens_per_J,4.255220499615416
ALL,18,M3D_NMP_CPA,HBM_GPU,tokens_per_s,7.278407821100613
ALL,18,M3D_NMP_CPA,HBM_GPU,tokens_per_J,4.745048188818729
ALL,18,M3D_NMP_UNIFORM,M3D_GPU,tokens_per_s,2.8896151715522995
ALL,18,M3D_NMP_UNIFORM,M3D_GPU,tokens_per_J,2.821245770764843
ALL,18,M3D_NMP_CPA,M3D_GPU,tokens_per_s,3.149292044761299
ALL,18,M3D_NMP_CPA,M3D_GPU,tokens_per_J,3.146005509230396
