stage_index,operator,layer,executor,start_s,end_s,layer_start_s,layer_end_s,latency_s,dominant_resource
1,RMSNORM,0,GPU,3.200507896046919e-06,3.2056278960469187e-06,0.0,5.1199999999998764e-09,5.12e-09,GPU_COMPUTE
2,Q,0,NMP,3.2056278960469187e-06,6.8126494384640984e-06,5.1199999999998764e-09,3.6121415424171796e-06,3.6070215424171798e-06,ARRAY
3,K,0,NMP,6.8126494384640984e-06,1.0151170980881278e-05,3.6121415424171796e-06,6.950663084834359e-06,3.3385215424171797e-06,ARRAY
4,V,0,NMP,1.0151170980881278e-05,1.3781293549360532e-05,6.950663084834359e-06,1.0580785653313613e-05,3.6301225684792545e-06,ARRAY
5,ROPE,0,GPU,1.3781293549360532e-05,1.3785560216027198e-05,1.0580785653313613e-05,1.0585052319980279e-05,4.266666666666667e-09,GPU_COMPUTE
6,KV_APPEND,0,GPU,1.3785560216027198e-05,1.3865642502927928e-05,1.0585052319980279e-05,1.066513460688101e-05,8.008228690072971e-08,ARRAY
7,KV_APPEND,0,GPU,1.3865642502927928e-05,1.3945724789828658e-05,1.066513460688101e-05,1.074521689378174e-05,8.008228690072971e-08,ARRAY
8,ATTENTION_QK,0,NMP,1.3945724789828658e-05,1.6611478130431756e-05,1.074521689378174e-05,1.3410970234384837e-05,2.665753340603098e-06,LOCAL_FABRIC
9,SOFTMAX,0,GPU,1.6611478130431756e-05,1.7148224797098422e-05,1.3410970234384837e-05,1.3947716901051504e-05,5.367466666666667e-07,GPU_COMPUTE
10,ATTENTION_AV,0,NMP,1.7148224797098422e-05,2.3659490679451364e-05,1.3947716901051504e-05,2.0458982783404445e-05,6.51126588235294e-06,INTER_REGION_NOC
11,AV_REDUCTION,0,GPU,2.3659490679451364e-05,2.474663734611803e-05,2.0458982783404445e-05,2.1546129450071112e-05,1.0871466666666666e-06,GPU_COMPUTE
12,O,0,NMP,2.474663734611803e-05,2.8087631905802702e-05,2.1546129450071112e-05,2.4887124009755783e-05,3.34099455968467e-06,ARRAY
13,RESIDUAL_ADD,0,GPU,2.8087631905802702e-05,2.80927519058027e-05,2.4887124009755783e-05,2.4892244009755782e-05,5.12e-09,GPU_COMPUTE
14,RMSNORM,0,GPU,2.80927519058027e-05,2.80978719058027e-05,2.4892244009755782e-05,2.489736400975578e-05,5.12e-09,GPU_COMPUTE
15,FFN_GATE,0,NMP,2.80978719058027e-05,3.172798654270798e-05,2.489736400975578e-05,2.8527478646661063e-05,3.6301146369052825e-06,LOCAL_FABRIC
16,FFN_UP,0,NMP,3.172798654270798e-05,3.535843461907295e-05,2.8527478646661063e-05,3.215792672302603e-05,3.6304480763649678e-06,LOCAL_FABRIC
17,SWIGLU,0,GPU,3.535843461907295e-05,3.537635461907295e-05,3.215792672302603e-05,3.217584672302603e-05,1.792e-08,GPU_COMPUTE
18,FFN_DOWN,0,NMP,3.537635461907295e-05,4.703908095409022e-05,3.217584672302603e-05,4.38385730580433e-05,1.1662726335017269e-05,ARRAY
19,RESIDUAL_ADD,0,GPU,4.703908095409022e-05,4.704420095409022e-05,4.38385730580433e-05,4.38436930580433e-05,5.12e-09,GPU_COMPUTE
