order,stage_index,operator,display_operator,resource,resource_label,service_s,normalized_service,dominant
0,2,Q,Q,ARRAY,Array+MIV,6.404289716560505e-06,0.8332383698870415,False
0,2,Q,Q,MAC,MAC,7.68e-06,0.9992163009404387,False
0,2,Q,Q,LOCAL_FABRIC,Fabric,6.887881611666245e-06,0.8961567168391683,False
0,2,Q,Q,INTER_REGION_NOC,NoC,2.595e-06,0.337625820434953,False
0,2,Q,Q,EXTERNAL_BOUNDARY,Boundary,7.686023529411765e-06,1.0,True
0,2,Q,Q,GPU_COMPUTE,GPU,0.0,0.0,False
1,3,K,K,ARRAY,Array+MIV,3.2032914760291882e-06,0.41727522699489195,False
1,3,K,K,MAC,MAC,2.56e-06,0.33347717155951684,False
1,3,K,K,LOCAL_FABRIC,Fabric,5.770961542688784e-06,0.7517515361072662,False
1,3,K,K,INTER_REGION_NOC,NoC,0.0,0.0,False
1,3,K,K,EXTERNAL_BOUNDARY,Boundary,7.676687396705679e-06,1.0,True
1,3,K,K,GPU_COMPUTE,GPU,0.0,0.0,False
2,4,V,V,ARRAY,Array+MIV,3.2032914760291882e-06,0.41727522699489195,False
2,4,V,V,MAC,MAC,2.56e-06,0.33347717155951684,False
2,4,V,V,LOCAL_FABRIC,Fabric,5.768323617845983e-06,0.7514079080934523,False
2,4,V,V,INTER_REGION_NOC,NoC,0.0,0.0,False
2,4,V,V,EXTERNAL_BOUNDARY,Boundary,7.676687396705679e-06,1.0,True
2,4,V,V,GPU_COMPUTE,GPU,0.0,0.0,False
3,8,ATTENTION_QK,QK,ARRAY,Array+MIV,1.5689476053077128e-05,0.6905579248713525,False
3,8,ATTENTION_QK,QK,MAC,MAC,2.272e-05,1.0,True
3,8,ATTENTION_QK,QK,LOCAL_FABRIC,Fabric,2.246711826555444e-05,0.9888696419698257,False
3,8,ATTENTION_QK,QK,INTER_REGION_NOC,NoC,2.583e-06,0.11368838028169015,False
3,8,ATTENTION_QK,QK,EXTERNAL_BOUNDARY,Boundary,1.9733082352941177e-05,0.8685335542667771,False
3,8,ATTENTION_QK,QK,GPU_COMPUTE,GPU,0.0,0.0,False
4,9,SOFTMAX,SOFTMAX,ARRAY,Array+MIV,0.0,0.0,False
4,9,SOFTMAX,SOFTMAX,MAC,MAC,0.0,0.0,False
4,9,SOFTMAX,SOFTMAX,LOCAL_FABRIC,Fabric,0.0,0.0,False
4,9,SOFTMAX,SOFTMAX,INTER_REGION_NOC,NoC,0.0,0.0,False
4,9,SOFTMAX,SOFTMAX,EXTERNAL_BOUNDARY,Boundary,0.0,0.0,False
4,9,SOFTMAX,SOFTMAX,GPU_COMPUTE,GPU,1.71008e-05,1.0,True
5,10,ATTENTION_AV,AV,ARRAY,Array+MIV,1.5689445155626796e-05,0.37693266278173165,False
5,10,ATTENTION_AV,AV,MAC,MAC,3.052e-05,0.7332308283682492,False
5,10,ATTENTION_AV,AV,LOCAL_FABRIC,Fabric,2.694711826555444e-05,0.6473937695933702,False
5,10,ATTENTION_AV,AV,INTER_REGION_NOC,NoC,4.162399999999999e-05,1.0,True
