order,stage_index,operator,display_operator,executor,start_s,end_s,latency_s,dominant_resource,dominant_category,timeline_semantics
0,2,Q,Q,NMP,5.119999999999961e-08,1.801222352941176e-05,1.7961023529411763e-05,EXTERNAL_BOUNDARY,Boundary,EXACT_SIMULATED_START_END
1,3,K,K,NMP,1.801222352941176e-05,3.1459872468806224e-05,1.3447648939394463e-05,EXTERNAL_BOUNDARY,Boundary,EXACT_SIMULATED_START_END
2,4,V,V,NMP,3.1459872468806224e-05,4.4904883483357885e-05,1.3445011014551661e-05,EXTERNAL_BOUNDARY,Boundary,EXACT_SIMULATED_START_END
3,8,ATTENTION_QK,QK,NMP,4.510600805715934e-05,9.014209041010053e-05,4.503608235294118e-05,MAC,MAC,EXACT_SIMULATED_START_END
4,9,SOFTMAX,SOFTMAX,GPU,9.014209041010053e-05,0.00010724289041010052,1.71008e-05,GPU_COMPUTE,GPU,EXACT_SIMULATED_START_END
5,10,ATTENTION_AV,AV,NMP,0.00010724289041010052,0.0002067819021748064,9.953901176470588e-05,INTER_REGION_NOC,Fabric/NoC,EXACT_SIMULATED_START_END
6,11,AV_REDUCTION,AV Reduce,GPU,0.0002067819021748064,0.00021765336884147307,1.0871466666666667e-05,GPU_COMPUTE,GPU,EXACT_SIMULATED_START_END
7,12,O,O,NMP,0.00021765336884147307,0.00023559139237088483,1.7938023529411767e-05,EXTERNAL_BOUNDARY,Boundary,EXACT_SIMULATED_START_END
8,15,FFN_GATE,Gate,NMP,0.00023569379237088484,0.0002600166357834981,2.4322843412613264e-05,LOCAL_FABRIC,Fabric/NoC,EXACT_SIMULATED_START_END
9,16,FFN_UP,Up,NMP,0.0002600166357834981,0.00028449400454742075,2.447736876392262e-05,LOCAL_FABRIC,Fabric/NoC,EXACT_SIMULATED_START_END
10,18,FFN_DOWN,Down,NMP,0.00028477048454742074,0.0003858343485373726,0.00010106386398995191,LOCAL_FABRIC,Fabric/NoC,EXACT_SIMULATED_START_END
