path,path_label,wave,wave_batch,phase,start_s,end_s,duration_s,source,timing_semantics
HBM_BEST,HBM,0,4,Prefill,0.0,0.10707677628708571,0.10707677628708571,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_HBM_BEST.json,EXACT_CANONICAL_SCHEDULER
HBM_BEST,HBM,0,4,Decode,0.10707677628708571,1.46759327568914,1.3605164994020544,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_HBM_BEST.json,EXACT_CANONICAL_SCHEDULER
HBM_BEST,HBM,1,4,Queue,0.0,1.46759327568914,1.46759327568914,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_HBM_BEST.json,EXACT_CANONICAL_SCHEDULER
HBM_BEST,HBM,1,4,Admission,1.46759327568914,1.6287809204025954,0.16118764471345534,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_HBM_BEST.json,EXACT_CANONICAL_SCHEDULER
HBM_BEST,HBM,1,4,Prefill,1.6287809204025954,1.735857696689681,0.10707677628708571,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_HBM_BEST.json,EXACT_CANONICAL_SCHEDULER
HBM_BEST,HBM,1,4,Decode,1.735857696689681,3.0963741960917357,1.3605164994020544,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_HBM_BEST.json,EXACT_CANONICAL_SCHEDULER
M3D_GPU,M3D-GPU,0,8,Prefill,0.0,0.21415355257417143,0.21415355257417143,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_M3D_GPU.json,EXACT_CANONICAL_PHASE_CLOSURE
M3D_GPU,M3D-GPU,0,8,Decode,0.21415355257417143,2.151057841036719,1.9369042884625478,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_M3D_GPU.json,EXACT_CANONICAL_PHASE_CLOSURE
M3D_NMP_UNIFORM,DNS,0,8,Prefill,0.0,0.21415355257417143,0.21415355257417143,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.json,EXACT_CANONICAL_PHASE_CLOSURE
M3D_NMP_UNIFORM,DNS,0,8,Decode,0.21415355257417143,1.109711848776751,0.8955582962025795,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.json,EXACT_CANONICAL_PHASE_CLOSURE
M3D_NMP_CPA,CPA,0,8,Prefill,0.0,0.21415355257417143,0.21415355257417143,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.json,EXACT_CANONICAL_PHASE_CLOSURE
M3D_NMP_CPA,CPA,0,8,Decode,0.21415355257417143,1.003106635469172,0.7889530828950005,runs/formal_long_context_v3/candidates/Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.json,EXACT_CANONICAL_PHASE_CLOSURE
