path,operator,start_us,end_us,duration_us,exact_or_reconstructed,source_checkpoint,replay_used,validation_status
HBM_BEST,AGGREGATE_LAYER_REFERENCE,0.0,664.2324203797523,664.2324203797523,aggregate-only,runs\formal_long_context_v3\candidates\Qwen2.5-32B_LC64K_B8_HBM_BEST.json,False,PASS_AGGREGATE_STEP_CLOSURE
M3D_GPU,Q,0.0,15.439382134544926,15.439382134544923,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,K,15.439382134544926,25.680152127326156,10.240769992781232,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,V,25.680152127326156,35.920922120107385,10.240769992781232,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,ATTENTION_QK,36.29662885922009,345.70184683550036,309.40521797628026,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,SOFTMAX,345.70184683550036,362.8026468355003,17.1008,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,ATTENTION_AV,362.8026468355003,672.2078648117806,309.40521797628026,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,O,672.2078648117806,687.6472469463256,15.439382134544923,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,FFN_GATE,687.7496469463256,771.1223104728682,83.3726635265426,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,FFN_UP,771.1223104728682,854.4949739994107,83.3726635265426,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_GPU,FFN_DOWN,854.7714539994108,938.1441175259534,83.3726635265426,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_GPU.jsonl,True,PASS
M3D_NMP_UNIFORM,Q,0.0,22.46167428356531,22.46167428356531,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,K,22.46167428356531,35.90932322295978,13.447648939394464,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,V,35.90932322295978,49.35433423751144,13.44501101455166,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,ATTENTION_QK,49.55545881131289,95.96089662161339,46.405437810300505,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,SOFTMAX,95.96089662161339,113.0616966216134,17.1008,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,ATTENTION_AV,113.0616966216134,231.13006384367858,118.0683672220652,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,AV_REDUCTION,231.13006384367858,242.00153051034528,10.871466666666667,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,O,242.00153051034528,264.4399177684182,22.438387258072904,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,FFN_GATE,264.5423177684182,290.3027108728363,25.76039310441815,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,FFN_UP,290.3027108728363,316.2233539772545,25.92064310441815,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_UNIFORM,FFN_DOWN,316.49983397725447,439.1731643392511,122.67333036199666,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_UNIFORM.jsonl,True,PASS
M3D_NMP_CPA,Q,0.0,17.961023529411758,17.96102352941176,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,K,17.961023529411758,31.408672468806227,13.447648939394464,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,V,31.408672468806227,44.85368348335789,13.44501101455166,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,ATTENTION_QK,45.05480805715934,90.09089041010053,45.03608235294118,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,SOFTMAX,90.09089041010053,107.19169041010052,17.1008,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,ATTENTION_AV,107.19169041010052,206.7307021748064,99.53901176470588,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,AV_REDUCTION,206.7307021748064,217.60216884147306,10.871466666666667,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,O,217.60216884147306,235.54019237088482,17.938023529411765,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,FFN_GATE,235.64259237088484,259.9654357834981,24.322843412613263,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,FFN_UP,259.9654357834981,284.44280454742074,24.47736876392262,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
M3D_NMP_CPA,FFN_DOWN,284.7192845474207,385.7831485373726,101.06386398995191,exact,runs\formal_long_context_v3\checkpoints\Qwen2.5-32B_LC64K_B8_M3D_NMP_CPA.jsonl,True,PASS
