title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A 7-nm FinFET 1.2-TB/s/mm2 3D-Stacked SRAM Module With 0.7-pJ/b Inductive Coupling Interface Using Over-SRAM Coil and Manchester-Encoded Synchronous …,"K Shiba, M Okada, A Kosuge…",2022,21,"… Interchip communication at 0.7 pJ/bit, 8.5 Gb/s/link was confirmed … THE 3D-stacked memory plays an important role in … Our 4-hi 3D-SRAM is estimated to achieve 0.7 pJ/b, an energy …",6TQBqAdgMQUJ,"K Shiba, M Okada, A Kosuge… - IEEE Journal of Solid …, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9968287/,unknown,unknown
THz-TSI: A Terahertz Wireless Through-Silicon Interconnect Module for Advanced 3-D Integration Applications,"C Jiang, X Feng, X Shen, C Chen, Q Liu…",2026,0,"… In [17], an inductive coupling interface for 3-D-stacked SRAM … -Gb/s/link data rate with an energy consumption of 0.7 pJ/bit. It … 3D-stacked SRAM module with 0.7-pJ/b inductive coupling …",14Q3nRB0cnEJ,"C Jiang, X Feng, X Shen, C Chen, Q Liu… - IEEE Journal of Solid …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11649841/,unknown,unknown
A 7-nm FinFET 1.2-TB/s/mm2 3D-Stacked SRAM with an Inductive Coupling Interface Using Over-SRAM Coils and Manchester-Encoded Synchronous Transceivers,"K Shiba, M Okada, A Kosuge…",2022,3,"… -pJ/bit, 8.5-Gbps/link inductive coupling inter-chip wireless communication interface for a 3D-stacked … SRAM die area compared to TSV-based stacking. Inter-chip communication at 0.7-…",qJmLIj8OadkJ,"K Shiba, M Okada, A Kosuge… - 2022 IEEE Hot Chips …, 2022 - ieeexplore.ieee.org",['https://hc34.hotchips.org/assets/program/posters/HC2022.UTokyo.Kota_Shiba.v01.pdf'],https://ieeexplore.ieee.org/abstract/document/9895622/,unknown,unknown
"A 96-MB 3D-stacked SRAM using inductive coupling with 0.4-V transmitter, termination scheme and 12: 1 SerDes in 40-nm CMOS","K Shiba, T Omori, K Ueyoshi…",2020,35,"… 3D static random access memory (SRAM) stacked on a DNN inference engine [5], [6] using an inductive coupling wireless link… is 1.5 pJ/bit and the total energy consumption is 1.76 pJ/bit …",yYvVCmKeTfYJ,"K Shiba, T Omori, K Ueyoshi… - … on Circuits and …, 2020 - ieeexplore.ieee.org",['http://confcats-event-sessions.s3.amazonaws.com/iscas22/slides/2291.pdf'],https://ieeexplore.ieee.org/abstract/document/9272691/,unknown,unknown
Area-efficient multihop inductive coupling interface for 3D-stacked memory with 0.23-V transmitter and sub-10-μm coil design,"K Shiba, T Omori, M Usui, M Hamada…",2020,3,"… Using this interface, a memory module consisting of eight 8-µm-thick memory dies and a … 6.1-pJ/bit energy efficiency. We also estimate that a 41-Tbps/mm2 0.1-pJ/bit memory interface is …",pMTVwNg02aQJ,"K Shiba, T Omori, M Usui, M Hamada… - IEEE Solid-State …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9187832/,unknown,unknown
3D Contactless Chiplet Interconnects for CMOS Image Sensor,"Z XU, Y XU, T MA, L DU, Y DU",2023,0,"… power consumption of the receiver is 1.09 mW, and the energy efficiency of it is 5.45 pJ/bit. … 3D-stacked SRAM module with 0.7-pJ/b inductive coupling interface using over-SRAM coil …",HVxMSFGl6xcJ,"Z XU, Y XU, T MA, L DU, Y DU - Journal of Electronics & Information …, 2023 - sciengine.com",['https://www.sciengine.com/doi/pdf/BE7A41868C5D443098D4ED19BEAFA6C6'],https://www.sciengine.com/doi/10.11999/JEIT230382,unknown,unknown
Design of a Transmitter for Inductively-Coupled High-Bitrate Communication in Stacked Chips,"G Gonçalves, FL Cabrera",2021,3,"… of 3D integration is stacking DRAM memory chips for high density, high bandwidth memory [… Ov had the highest eye-opening while Cr2 had the lowest energy consumption of 1.3pJ/bit. …",56xG-X2apIgJ,"G Gonçalves, FL Cabrera - … on Circuits and Systems II: Express …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9432911/,unknown,unknown
Bus Control Methods for Inductive Coupling Interface,"H Kayashima, H Amano",2026,0,"… 270/m, the energy efficiency was 1.4pJ/bit. This will be useful … 3Dstacked memory using point-to-point TCI.[25] This work analyzed the crosstalk among seven stacked chips using a 3D …",i_GP42XkVngJ,"H Kayashima, H Amano - IEICE Transactions on Electronics, 2026 - jstage.jst.go.jp",['https://www.jstage.jst.go.jp/article/transele/advpub/0/advpub_2025LHP0004/_pdf'],https://www.jstage.jst.go.jp/article/transele/advpub/0/advpub_2025LHP0004/_article/-char/ja/,unknown,unknown
Automatic Test and Array Crosstalk Suppression Scheme for 3D-ICs With Inductively Coupled Interconnections,"Y Cui, Z Yang, J Xiong, P Zheng, H Gao…",2025,1,"… 8 Gb/s per link, with a BER below 10-15 and an energy efficiency of 1 pJ/bit per channel [3]. … In the conventional “uniform power mode”, all stacked chips transmit at the same power level…",seJ1EXA5Y6wJ,"Y Cui, Z Yang, J Xiong, P Zheng, H Gao… - IEEE Transactions …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10892300/,unknown,unknown
An Echo-Cancellation Hybrid Transceiver for Full-Duplex Signaling in 3D-Stacked ICs,"S Bakshi, VK Surya, BD Sahoo…",2025,0,"… links result in higher power consumption and increased area. … Hence, the approach in memory stacking for SSD in [6] uses … , and 120 µm for 1000 inductive coupling links. To achieve a …",eU3HK6mJAn8J,"S Bakshi, VK Surya, BD Sahoo… - 2025 IEEE 68th …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11244568/,unknown,unknown
